SN:3K60180500001584 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
03/11/2022 11:08:14.374, 03/11/2022 11:08:14.314, 4.16088e+0, 0.00000e+0, -2.11244e+2, 0.00000e+0, 2.06242e+0, 0.00000e+0, 3.45085e+3, 0.00000e+0, 4.95225e+2, 0.00000e+0, 1.03478e+0, 0.00000e+0, 2.48470e+2, 0.00000e+0, 4.99867e+2, 0.00000e+0, 1.99714e+1, 0.00000e+0, 2.13054e+1, 0.00000e+0, 2.81276e+0, 0.00000e+0, 2.78994e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
03/11/2022 11:08:24.319, 03/11/2022 11:08:24.259, 4.16095e+0, 2.13184e-4, 9.83556e+1, 3.17238e-2, 2.06639e+0, 4.09015e-3, 3.48453e+3, 2.26094e+2, 4.99767e+2, 1.84702e+0, 2.07361e+0, 4.11967e-3, 5.01515e+2, 1.87297e+0, 4.99669e+2, 2.21948e-1, 1.99544e+1, 2.02757e-2, 2.13264e+1, 7.57650e-2, 2.81229e+0, 7.19425e-4, 2.78932e+0, 6.36991e-4, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
03/11/2022 11:08:34.262, 03/11/2022 11:08:34.204, 4.16106e+0, 2.03307e-4, 9.83726e+1, 3.02540e-2, 2.06589e+0, 5.18555e-3, 3.65004e+3, 9.97455e+1, 5.03960e+2, 1.86513e+0, 2.07346e+0, 5.12360e-3, 5.05807e+2, 1.89855e+0, 4.99066e+2, 4.91376e-1, 1.99648e+1, 1.15510e-2, 2.13915e+1, 8.67646e-2, 2.81268e+0, 5.20201e-4, 2.78925e+0, 5.85363e-4, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, 1, 
03/11/2022 11:08:44.209, 03/11/2022 11:08:44.150, 4.16100e+0, 2.62405e-4, 9.83635e+1, 3.90484e-2, 2.06591e+0, 3.59291e-3, 3.78884e+3, 9.78556e+1, 5.03809e+2, 1.24106e+0, 2.07377e+0, 3.73286e-3, 5.05725e+2, 1.26508e+0, 4.99415e+2, 5.58574e-1, 1.99659e+1, 1.68581e-2, 2.15088e+1, 1.06419e-1, 2.81248e+0, 6.10592e-4, 2.78905e+0, 5.58662e-4, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, 1, 
03/11/2022 11:08:54.160, 03/11/2022 11:08:54.103, 4.16113e+0, 2.40907e-4, 9.83826e+1, 3.58493e-2, 2.06527e+0, 3.66714e-3, 3.89451e+3, 1.20118e+2, 5.04700e+2, 7.63602e-1, 2.07335e+0, 3.72706e-3, 5.06673e+2, 7.54984e-1, 5.00863e+2, 4.41200e-1, 1.99409e+1, 1.71443e-2, 2.15584e+1, 1.18219e-1, 2.81250e+0, 5.34437e-4, 2.78880e+0, 5.90935e-4, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, 1, 
03/11/2022 11:09:04.104, 03/11/2022 11:09:04.048, 4.16134e+0, 1.87041e-4, 9.84134e+1, 2.78335e-2, 2.06728e+0, 3.00076e-3, 3.83234e+3, 1.14172e+2, 5.03666e+2, 1.69120e+0, 2.07524e+0, 2.99681e-3, 5.05604e+2, 1.74637e+0, 4.99737e+2, 3.38343e-1, 1.99510e+1, 7.39789e-3, 2.16236e+1, 7.53599e-2, 2.81211e+0, 3.36262e-4, 2.78853e+0, 3.51737e-4, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, 2, 
03/11/2022 11:09:14.048, 03/11/2022 11:09:13.993, 4.16161e+0, 4.38963e-5, 9.84539e+1, 6.53219e-3, 2.06869e+0, 3.32282e-3, 3.76213e+3, 1.94896e+2, 5.00188e+2, 1.04401e+0, 2.07650e+0, 3.13710e-3, 5.02077e+2, 1.00920e+0, 4.99049e+2, 7.32732e-1, 1.99950e+1, 1.48169e-2, 2.16412e+1, 3.00016e-2, 2.81183e+0, 5.18356e-4, 2.78858e+0, 5.32157e-4, 2.00000e+1, 0.00000e+0, 1.93000e+1, 2.21359e+0, 3, 2, 
03/11/2022 11:09:23.999, 03/11/2022 11:09:23.938, 4.16152e+0, 1.86935e-4, 9.84410e+1, 2.78177e-2, 2.06592e+0, 6.42414e-3, 3.87649e+3, 2.12603e+2, 4.96649e+2, 1.69200e+0, 2.07396e+0, 6.61655e-3, 4.98582e+2, 1.72273e+0, 5.00689e+2, 5.33649e-1, 2.00421e+1, 4.04930e-2, 2.17794e+1, 9.90386e-2, 2.81149e+0, 8.18902e-4, 2.78867e+0, 7.97671e-4, 2.00000e+1, 0.00000e+0, 1.72000e+1, 3.61478e+0, 3, 2, 
03/11/2022 11:09:33.944, 03/11/2022 11:09:33.883, 4.16142e+0, 2.61959e-4, 9.84250e+1, 3.89820e-2, 2.06840e+0, 5.65670e-3, 3.79186e+3, 2.80401e+2, 4.95206e+2, 1.87463e+0, 2.07627e+0, 5.58618e-3, 4.97091e+2, 1.89376e+0, 4.99112e+2, 5.81693e-1, 2.00719e+1, 1.35401e-2, 2.18926e+1, 8.21222e-2, 2.81150e+0, 7.65541e-4, 2.78832e+0, 6.67224e-4, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, 2, 
03/11/2022 11:09:43.890, 03/11/2022 11:09:43.829, 4.16143e+0, 2.47084e-4, 9.84272e+1, 3.67685e-2, 2.06227e+0, 4.90756e-3, 3.77216e+3, 1.93385e+2, 4.90084e+2, 2.20869e+0, 2.07008e+0, 5.00501e-3, 4.91940e+2, 2.20842e+0, 5.00289e+2, 1.05652e+0, 2.00633e+1, 2.81708e-2, 2.20028e+1, 1.04984e-1, 2.81153e+0, 5.67067e-4, 2.78829e+0, 5.87100e-4, 2.00000e+1, 0.00000e+0, 1.65000e+1, 3.68932e+0, 3, 2, 
