SN:3K60180500001584 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
03/18/2022 12:40:48.298, 03/18/2022 12:40:48.250, 4.15862e+0, 6.23685e-5, 9.80084e+1, 9.28102e-3, 1.78959e+0, 3.89338e-3, 2.22133e+4, 9.25819e+2, 3.89647e+2, 1.92199e+0, 1.83025e+0, 5.08556e-3, 3.98500e+2, 2.12446e+0, 4.99396e+2, 1.17922e+0, 2.82364e+1, 1.83336e-2, 3.02743e+1, 2.91384e-2, 2.79024e+0, 6.49336e-4, 2.76544e+0, 5.67934e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
03/18/2022 12:40:58.247, 03/18/2022 12:40:58.194, 4.15872e+0, 3.13513e-5, 9.80241e+1, 4.66537e-3, 1.78179e+0, 3.67400e-3, 2.27492e+4, 1.87710e+2, 3.86040e+2, 1.00119e+0, 1.82327e+0, 3.82810e-3, 3.95027e+2, 1.04499e+0, 4.99442e+2, 1.01514e+0, 2.82564e+1, 1.69718e-2, 3.03855e+1, 2.59887e-2, 2.78995e+0, 5.78703e-4, 2.76600e+0, 4.56691e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
03/18/2022 12:41:08.207, 03/18/2022 12:41:08.140, 4.15876e+0, 5.82061e-5, 9.80305e+1, 8.66162e-3, 1.77254e+0, 3.31503e-3, 2.27374e+4, 1.16647e+2, 3.84592e+2, 5.90285e-1, 1.81378e+0, 3.32681e-3, 3.93540e+2, 5.85577e-1, 4.99512e+2, 1.10939e+0, 2.82821e+1, 1.06442e-2, 3.04824e+1, 3.01682e-2, 2.78973e+0, 7.72833e-4, 2.76517e+0, 5.30596e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
03/18/2022 12:41:18.155, 03/18/2022 12:41:18.086, 4.15880e+0, 2.69019e-5, 9.80351e+1, 4.00326e-3, 1.76824e+0, 3.23720e-3, 2.27562e+4, 1.50020e+2, 4.04795e+2, 7.00177e+0, 1.80942e+0, 3.38560e-3, 4.14221e+2, 7.16481e+0, 4.99437e+2, 9.95278e-1, 2.83121e+1, 1.99746e-2, 3.05649e+1, 2.83613e-2, 2.78971e+0, 5.48882e-4, 2.76461e+0, 4.82984e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
03/18/2022 12:41:28.094, 03/18/2022 12:41:28.030, 4.15891e+0, 5.62384e-5, 9.80516e+1, 8.36881e-3, 1.76231e+0, 3.35659e-3, 2.25014e+4, 1.85665e+2, 3.90613e+2, 3.57291e+0, 1.80288e+0, 3.50199e-3, 3.99604e+2, 3.68987e+0, 4.99481e+2, 9.36804e-1, 2.83290e+1, 1.46906e-2, 3.06502e+1, 2.90519e-2, 2.78997e+0, 4.94979e-4, 2.76471e+0, 4.07341e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/18/2022 12:41:38.033, 03/18/2022 12:41:37.976, 4.15897e+0, 6.68085e-5, 9.80608e+1, 9.94174e-3, 1.76606e+0, 3.57704e-3, 2.22567e+4, 1.66743e+2, 3.86914e+2, 1.62655e+0, 1.80627e+0, 3.73178e-3, 3.95721e+2, 1.67161e+0, 4.99519e+2, 1.17712e+0, 2.83755e+1, 1.12477e-2, 3.07370e+1, 1.51412e-2, 2.78962e+0, 4.62675e-4, 2.76465e+0, 3.54798e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/18/2022 12:41:47.982, 03/18/2022 12:41:47.922, 4.15900e+0, 6.93499e-5, 9.80652e+1, 1.03199e-2, 1.76952e+0, 3.18939e-3, 2.22334e+4, 2.00796e+2, 3.92413e+2, 9.30368e-1, 1.80975e+0, 3.22888e-3, 4.01336e+2, 9.33248e-1, 4.99330e+2, 1.01221e+0, 2.83820e+1, 2.21043e-2, 3.08059e+1, 2.55347e-2, 2.78962e+0, 7.59428e-4, 2.76468e+0, 8.09293e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/18/2022 12:41:57.922, 03/18/2022 12:41:57.868, 4.15901e+0, 6.77660e-5, 9.80671e+1, 1.00842e-2, 1.76969e+0, 3.58248e-3, 2.21455e+4, 1.51537e+2, 3.90536e+2, 8.55993e-1, 1.80977e+0, 3.58275e-3, 3.99381e+2, 8.93666e-1, 4.99462e+2, 1.20260e+0, 2.84247e+1, 1.04692e-2, 3.09011e+1, 2.90833e-2, 2.78925e+0, 8.01634e-4, 2.76451e+0, 5.74333e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/18/2022 12:42:07.875, 03/18/2022 12:42:07.812, 4.15900e+0, 3.74878e-5, 9.80661e+1, 5.57854e-3, 1.77168e+0, 3.51213e-3, 2.23375e+4, 1.69914e+2, 3.92772e+2, 1.62843e+0, 1.81216e+0, 3.47752e-3, 4.01746e+2, 1.67855e+0, 4.99325e+2, 8.56766e-1, 2.84536e+1, 3.44958e-2, 3.09917e+1, 2.83132e-2, 2.78906e+0, 5.29837e-4, 2.76437e+0, 6.77864e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/18/2022 12:42:17.814, 03/18/2022 12:42:17.758, 4.15902e+0, 7.02406e-5, 9.80678e+1, 1.04525e-2, 1.77604e+0, 2.71665e-3, 2.24956e+4, 1.44532e+2, 4.00811e+2, 1.36008e+0, 1.81691e+0, 2.79170e-3, 4.10035e+2, 1.39983e+0, 4.99420e+2, 1.18259e+0, 2.84848e+1, 4.20619e-2, 3.10880e+1, 3.16711e-2, 2.78894e+0, 5.49859e-4, 2.76394e+0, 4.41049e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
