SN:3K60180500001585 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [H2Oa]_ppm,  [H2Oa]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
10/25/2022 10:34:25.413, 10/25/2022 10:34:25.332, 3.39669e+0, 0.00000e+0, 4.06303e+1, 0.00000e+0, 1.87238e+0, 0.00000e+0, -3.08410e+2, 0.00000e+0, 7.40565e+2, 0.00000e+0, -2.30674e+0, 0.00000e+0, 9.35901e-1, 0.00000e+0, -1.15301e+0, 0.00000e+0, 5.05516e+2, 0.00000e+0, 2.29828e+1, 0.00000e+0, 2.63767e+1, 0.00000e+0, 3.19212e+0, 0.00000e+0, 2.66874e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:26.379, 10/25/2022 10:34:26.328, 3.40139e+0, 0.00000e+0, 8.13729e+1, 0.00000e+0, 1.88354e+0, 0.00000e+0, -1.91928e+2, 0.00000e+0, 8.53000e+2, 0.00000e+0, -1.23233e+1, 0.00000e+0, 1.88318e+0, 0.00000e+0, -1.23209e+1, 0.00000e+0, 5.05493e+2, 0.00000e+0, 2.29865e+1, 0.00000e+0, 2.62988e+1, 0.00000e+0, 3.19239e+0, 0.00000e+0, 2.66741e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:27.377, 10/25/2022 10:34:27.322, 3.39661e+0, 0.00000e+0, 8.12585e+1, 0.00000e+0, 1.89010e+0, 0.00000e+0, -1.58856e+2, 0.00000e+0, 1.00269e+3, 0.00000e+0, -8.80618e+0, 0.00000e+0, 1.88980e+0, 0.00000e+0, -8.80478e+0, 0.00000e+0, 5.05437e+2, 0.00000e+0, 2.29892e+1, 0.00000e+0, 2.64190e+1, 0.00000e+0, 3.19039e+0, 0.00000e+0, 2.66933e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:28.377, 10/25/2022 10:34:28.316, 3.40108e+0, 0.00000e+0, 8.13655e+1, 0.00000e+0, 1.89267e+0, 0.00000e+0, 3.37894e+1, 0.00000e+0, 1.11261e+3, 0.00000e+0, -8.80830e+0, 0.00000e+0, 1.89274e+0, 0.00000e+0, -8.80860e+0, 0.00000e+0, 5.05626e+2, 0.00000e+0, 2.29919e+1, 0.00000e+0, 2.63899e+1, 0.00000e+0, 3.19139e+0, 0.00000e+0, 2.66918e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:29.369, 10/25/2022 10:34:29.310, 3.39698e+0, 0.00000e+0, 8.12675e+1, 0.00000e+0, 1.88750e+0, 0.00000e+0, -1.51093e+2, 0.00000e+0, 8.98979e+2, 0.00000e+0, -5.94744e+0, 0.00000e+0, 1.88722e+0, 0.00000e+0, -5.94654e+0, 0.00000e+0, 5.05411e+2, 0.00000e+0, 2.29950e+1, 0.00000e+0, 2.64220e+1, 0.00000e+0, 3.19067e+0, 0.00000e+0, 2.66866e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:30.361, 10/25/2022 10:34:30.306, 3.40205e+0, 0.00000e+0, 8.13887e+1, 0.00000e+0, 1.88630e+0, 0.00000e+0, -2.31117e+2, 0.00000e+0, 7.11446e+2, 0.00000e+0, -1.22264e+1, 0.00000e+0, 1.88587e+0, 0.00000e+0, -1.22235e+1, 0.00000e+0, 5.05562e+2, 0.00000e+0, 2.29969e+1, 0.00000e+0, 2.64181e+1, 0.00000e+0, 3.19156e+0, 0.00000e+0, 2.66833e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:31.354, 10/25/2022 10:34:31.300, 3.39713e+0, 0.00000e+0, 8.12711e+1, 0.00000e+0, 1.89546e+0, 0.00000e+0, 1.89470e+1, 0.00000e+0, 9.26122e+2, 0.00000e+0, -1.44954e+1, 0.00000e+0, 1.89550e+0, 0.00000e+0, -1.44957e+1, 0.00000e+0, 5.05363e+2, 0.00000e+0, 2.30002e+1, 0.00000e+0, 2.63362e+1, 0.00000e+0, 3.19175e+0, 0.00000e+0, 2.66904e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:32.357, 10/25/2022 10:34:32.294, 3.39982e+0, 0.00000e+0, 8.13355e+1, 0.00000e+0, 1.90114e+0, 0.00000e+0, -1.15768e+2, 0.00000e+0, 7.40403e+2, 0.00000e+0, 1.21341e+1, 0.00000e+0, 1.90092e+0, 0.00000e+0, 1.21327e+1, 0.00000e+0, 5.05644e+2, 0.00000e+0, 2.30038e+1, 0.00000e+0, 2.64435e+1, 0.00000e+0, 3.19212e+0, 0.00000e+0, 2.66924e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:33.345, 10/25/2022 10:34:33.288, 3.39413e+0, 0.00000e+0, 8.11992e+1, 0.00000e+0, 1.91123e+0, 0.00000e+0, -1.96511e+2, 0.00000e+0, 7.72318e+2, 0.00000e+0, -1.12361e+1, 0.00000e+0, 1.91085e+0, 0.00000e+0, -1.12339e+1, 0.00000e+0, 5.05351e+2, 0.00000e+0, 2.30071e+1, 0.00000e+0, 2.64203e+1, 0.00000e+0, 3.19258e+0, 0.00000e+0, 2.66871e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
10/25/2022 10:34:34.342, 10/25/2022 10:34:34.284, 3.39010e+0, 0.00000e+0, 8.11029e+1, 0.00000e+0, 1.91913e+0, 0.00000e+0, 1.16063e+2, 0.00000e+0, 8.72825e+2, 0.00000e+0, 2.11368e+1, 0.00000e+0, 1.91935e+0, 0.00000e+0, 2.11393e+1, 0.00000e+0, 5.05685e+2, 0.00000e+0, 2.30114e+1, 0.00000e+0, 2.64764e+1, 0.00000e+0, 3.19176e+0, 0.00000e+0, 2.66844e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled
