SN:3K60180500001584 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
03/22/2022 13:50:05.379, 03/22/2022 13:50:05.322, 4.15637e+0, 0.00000e+0, -2.11579e+2, 0.00000e+0, 1.83552e+0, 0.00000e+0, -6.56192e+1, 0.00000e+0, 4.27855e+2, 0.00000e+0, 9.17701e-1, 0.00000e+0, 2.13913e+2, 0.00000e+0, 4.99337e+2, 0.00000e+0, 2.79301e+1, 0.00000e+0, 2.94400e+1, 0.00000e+0, 2.78801e+0, 0.00000e+0, 2.76354e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.65000e+1, 0.00000e+0, 2, 1, 
03/22/2022 13:50:15.358, 03/22/2022 13:50:15.268, 4.15616e+0, 2.34055e-4, 9.76422e+1, 3.48296e-2, 1.83134e+0, 3.82834e-3, -2.34694e+0, 5.89266e+1, 4.07414e+2, 8.36672e+0, 1.83134e+0, 3.79528e-3, 4.07413e+2, 8.36629e+0, 4.99439e+2, 1.26942e+0, 2.79464e+1, 9.86349e-3, 2.96135e+1, 9.62461e-2, 2.78771e+0, 8.38731e-4, 2.76341e+0, 6.11164e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
03/22/2022 13:50:25.272, 03/22/2022 13:50:25.215, 4.15639e+0, 2.14190e-4, 9.76772e+1, 3.18735e-2, 1.83450e+0, 3.54811e-3, -6.93877e+1, 6.93756e+1, 4.00447e+2, 1.34428e+0, 1.83438e+0, 3.51702e-3, 4.00419e+2, 1.33998e+0, 4.99306e+2, 1.19735e+0, 2.79694e+1, 1.02054e-2, 2.97036e+1, 8.24358e-2, 2.78745e+0, 7.85887e-4, 2.76312e+0, 6.56828e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
03/22/2022 13:50:35.218, 03/22/2022 13:50:35.159, 4.15634e+0, 2.20433e-4, 9.76691e+1, 3.28026e-2, 1.83493e+0, 3.20287e-3, -1.04971e+2, 8.56204e+1, 3.99098e+2, 1.51415e+0, 1.83474e+0, 3.13237e-3, 3.99056e+2, 1.51528e+0, 4.99491e+2, 1.04872e+0, 2.79869e+1, 1.18973e-2, 2.98086e+1, 7.10243e-2, 2.78719e+0, 3.83107e-4, 2.76307e+0, 6.84123e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
03/22/2022 13:50:45.168, 03/22/2022 13:50:45.111, 4.15643e+0, 2.53576e-4, 9.76826e+1, 3.77346e-2, 1.82963e+0, 2.46024e-3, -1.27491e+2, 8.40160e+1, 3.95049e+2, 1.30063e+0, 1.82939e+0, 2.50501e-3, 3.94999e+2, 1.28535e+0, 4.99356e+2, 1.08937e+0, 2.80105e+1, 4.44735e-3, 2.99448e+1, 9.10594e-2, 2.78711e+0, 5.11403e-4, 2.76253e+0, 5.88424e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
03/22/2022 13:50:55.114, 03/22/2022 13:50:55.056, 4.15644e+0, 2.34833e-4, 9.76838e+1, 3.49454e-2, 1.82992e+0, 2.68333e-3, -1.99246e+2, 1.01380e+2, 3.96678e+2, 2.06398e+0, 1.82956e+0, 2.68472e-3, 3.96599e+2, 2.05460e+0, 4.99396e+2, 1.24093e+0, 2.80242e+1, 4.86503e-3, 3.00797e+1, 1.05752e-1, 2.78641e+0, 3.51893e-4, 2.76264e+0, 5.17596e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/22/2022 13:51:05.063, 03/22/2022 13:51:05.003, 4.15645e+0, 1.90921e-4, 9.76853e+1, 2.84109e-2, 1.83149e+0, 3.46424e-3, -2.55225e+2, 9.12251e+1, 4.06681e+2, 2.89570e+0, 1.83102e+0, 3.42580e-3, 4.06578e+2, 2.90759e+0, 4.99306e+2, 1.12235e+0, 2.80403e+1, 5.82032e-3, 3.01965e+1, 7.73574e-2, 2.78657e+0, 5.07925e-4, 2.76214e+0, 7.04763e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/22/2022 13:51:15.003, 03/22/2022 13:51:14.947, 4.15652e+0, 2.32638e-4, 9.76968e+1, 3.46187e-2, 1.83275e+0, 3.71664e-3, -2.54629e+2, 5.56701e+1, 4.00599e+2, 2.98717e+0, 1.83228e+0, 3.69793e-3, 4.00497e+2, 2.99215e+0, 4.99471e+2, 1.19440e+0, 2.80645e+1, 9.11943e-3, 3.02723e+1, 9.86979e-2, 2.78627e+0, 5.79803e-4, 2.76171e+0, 7.64772e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/22/2022 13:51:24.947, 03/22/2022 13:51:24.892, 4.15652e+0, 1.98647e-4, 9.76959e+1, 2.95606e-2, 1.83285e+0, 2.65602e-3, -2.55856e+2, 9.08666e+1, 3.95803e+2, 8.98536e-1, 1.83239e+0, 2.63368e-3, 3.95702e+2, 9.15905e-1, 4.99325e+2, 1.26991e+0, 2.80992e+1, 9.90534e-3, 3.03921e+1, 6.92001e-2, 2.78627e+0, 8.45403e-4, 2.76176e+0, 5.79558e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
03/22/2022 13:51:34.916, 03/22/2022 13:51:34.838, 4.15658e+0, 1.58188e-4, 9.77047e+1, 2.35399e-2, 1.82783e+0, 2.70405e-3, -2.81299e+2, 1.03905e+2, 3.96872e+2, 6.56239e-1, 1.82731e+0, 2.78197e-3, 3.96761e+2, 6.67141e-1, 4.99516e+2, 1.14192e+0, 2.81331e+1, 1.47023e-2, 3.04770e+1, 5.89899e-2, 2.78611e+0, 6.78618e-4, 2.76173e+0, 3.85898e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 2, 
