DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2022-10-09                13:08:03.072              281.21392444              6749.134187               1665320883.072            0                         899                       2.1914287477E+00          2.2218869334E+00          4.9527833448E+02          5.0262996493E+02          1.2576377860E+00          7.0197302408E+02          3.8168407567E+01          -1.3630206198E+00         4.1869453430E+01          1.9035663718E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:06.946              281.21396928              6749.135263               1665320886.946            0                         899                       2.1914244228E+00          2.2218825202E+00          4.9456402838E+02          5.0190504927E+02          1.2576366364E+00          7.0195992294E+02          3.8168174744E+01          -1.3563159941E+00         4.1869453430E+01          1.9023756381E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:11.186              281.21401836              6749.136441               1665320891.186            0                         899                       2.1981285005E+00          2.2291736906E+00          4.9456271092E+02          5.0202250464E+02          1.2776853576E+00          7.0199327482E+02          3.8167857037E+01          -1.3428635842E+00         4.1869453430E+01          1.9038860043E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:14.755              281.21405966              6749.137432               1665320894.755            0                         899                       2.1981255666E+00          2.2291706959E+00          4.9534314707E+02          5.0281470791E+02          1.2776845679E+00          7.0203053415E+02          3.8167699599E+01          -1.3424216351E+00         4.1869453430E+01          1.9038031913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:18.852              281.21410709              6749.138570               1665320898.853            0                         899                       2.2008810380E+00          2.2317024391E+00          4.9534255115E+02          5.0275091277E+02          1.2670378566E+00          7.0202618166E+02          3.8167556106E+01          -1.4660047545E+00         4.1869453430E+01          1.9028518866E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:22.903              281.21415397              6749.139695               1665320902.903            0                         899                       2.2008794843E+00          2.2317008534E+00          4.9480406641E+02          5.0220437198E+02          1.2670374424E+00          7.0201945324E+02          3.8167472839E+01          -1.3813883287E+00         4.1869453430E+01          1.9038795875E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:26.523              281.21419588              6749.140701               1665320906.524            0                         899                       2.2008555832E+00          2.2330886267E+00          4.9480283384E+02          5.0254248442E+02          1.3242465706E+00          7.0200536624E+02          3.8167175748E+01          -1.3486304646E+00         4.1869453430E+01          1.9040791947E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:30.296              281.21423954              6749.141749               1665320910.296            0                         899                       2.2008497305E+00          2.2330826480E+00          4.9475624543E+02          5.0249515760E+02          1.3242449399E+00          7.0201733237E+02          3.8166862084E+01          -1.3397591809E+00         4.1869453430E+01          1.9040673060E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:34.326              281.21428619              6749.142869               1665320914.327            0                         899                       2.2137599294E+00          2.2439831265E+00          4.9475519324E+02          5.0196877126E+02          1.2356467154E+00          7.0202632636E+02          3.8166608444E+01          -1.3215208614E+00         4.1869453430E+01          1.9042499441E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:38.114              281.21433002              6749.143921               1665320918.114            0                         899                       2.2137593602E+00          2.2439825460E+00          4.9387524841E+02          5.0107599588E+02          1.2356465683E+00          7.0202430937E+02          3.8166578129E+01          -1.4082931067E+00         4.1869453430E+01          1.9030982933E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:41.805              281.21437275              6749.144946               1665320921.806            0                         899                       2.2147425284E+00          2.2473799168E+00          4.9387478304E+02          5.0164782577E+02          1.3323318380E+00          7.0202671238E+02          3.8166465759E+01          -1.3237952736E+00         4.1869453430E+01          1.9042397114E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:45.519              281.21441573              6749.145978               1665320925.519            0                         899                       2.2147383908E+00          2.2473756896E+00          4.9224711760E+02          4.9999453587E+02          1.3323306857E+00          7.0204929943E+02          3.8166245467E+01          -1.3348223208E+00         4.1869453430E+01          1.9040279313E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-10-09                13:08:49.492              281.21446171              6749.147081               1665320929.492            0                         899                       2.2242717920E+00          2.2548261786E+00          4.9224632001E+02          4.9946771566E+02          1.2431799678E+00          7.0201512419E+02          3.8166052256E+01          -1.3269966501E+00         4.1869453430E+01          1.9042136641E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
