DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2022-03-08                18:00:19.979              66.41689791               1594.005550               1646762419.979            4                         899                       2.0136083501E+00          2.0252795171E+00          -1.9631491968E+01         -1.9752946695E+01         5.2869209181E-01          7.4336352579E+02          2.1262527302E+01          -1.1762285004E+00         2.4437549591E+01          1.7960708201E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:24.062              66.41694516               1594.006684               1646762424.062            4                         899                       2.0136149785E+00          2.0252862005E+00          5.3880715994E+02          5.4214061874E+02          5.2869284176E-01          7.4336284835E+02          2.1262900586E+01          -1.3089415869E+00         2.4524955838E+01          1.7877717088E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:27.966              66.41699035               1594.007768               1646762427.966            4                         899                       2.0144337820E+00          2.0249233813E+00          5.3880844891E+02          5.4180309152E+02          4.7525183922E-01          7.4336326710E+02          2.1263177872E+01          -1.3792863776E+00         2.4485375651E+01          1.7871628907E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:31.892              66.41703580               1594.008859               1646762431.893            4                         899                       2.0144450160E+00          2.0249346991E+00          5.2535462990E+02          5.2827450460E+02          4.7525298129E-01          7.4337725709E+02          2.1263810253E+01          -1.1385660803E+00         2.4686574936E+01          1.8002753037E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:36.107              66.41708457               1594.010030               1646762436.107            4                         899                       2.0172688640E+00          2.0271691164E+00          5.2535659931E+02          5.2810849938E+02          4.4805340915E-01          7.4335934873E+02          2.1264244370E+01          -1.1638001204E+00         2.4686574936E+01          1.8019671169E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:40.273              66.41713279               1594.011187               1646762440.273            4                         899                       2.0172785397E+00          2.0271788601E+00          5.2607475743E+02          5.2883042504E+02          4.4805433514E-01          7.4332861490E+02          2.1264788230E+01          -1.1300505447E+00         2.4686574936E+01          1.8039045106E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:43.901              66.41717478               1594.012195               1646762443.901            4                         899                       2.0154866908E+00          2.0253092152E+00          5.2607654491E+02          5.2881299236E+02          4.4494392382E-01          7.4331919810E+02          2.1265181725E+01          -1.1450874450E+00         2.4686574936E+01          1.8058801916E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:47.599              66.41721759               1594.013222               1646762447.600            4                         899                       2.0154939255E+00          2.0253165005E+00          5.2679203679E+02          5.2953221021E+02          4.4494461205E-01          7.4331665726E+02          2.1265588760E+01          -1.1793544379E+00         2.4686574936E+01          1.8053560194E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:51.707              66.41726514               1594.014363               1646762451.708            4                         899                       2.0180412163E+00          2.0278087593E+00          5.2679470637E+02          5.2951609598E+02          4.4190797759E-01          7.4331372434E+02          2.1266175668E+01          -1.1396224151E+00         2.4686574936E+01          1.8072260004E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-03-08                18:00:55.688              66.41731122               1594.015469               1646762455.689            4                         899                       2.0180519353E+00          2.0278195527E+00          5.2547255333E+02          5.2818711902E+02          4.4190898897E-01          7.4331355902E+02          2.1266777935E+01          -1.1723587702E+00         2.4820159091E+01          1.8080306299E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
