Date,Plot,Measurement,temp,soil temp,pH,spcond,HDO (mg/L),HDO %,System Time,Salinity,Notes,,,,,,,,,,,,,,,,
10/18/22,FLM 30,surface 1,30.54,,8.05,47430,4.58,74.5,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,29.71,,8.07,47670,4.79,77,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,29.67,,8.06,47820,4.84,77.8,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,pore water 1,30.66,,6.88,90890,0.1,2.2,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,surface 2,30.47,,8.12,48720,5.57,90.9,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,30.3,,8.13,48700,6.29,102.5,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,30.43,,8.14,48410,7.27,118.8,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,pore water 2,30.4,,6.81,93080,0.14,2.9,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,surface 3,30.45,,8.16,48740,8.03,130.9,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,30.94,,8.13,48850,6.43,105.7,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,30.49,,8.19,48840,7.51,122.7,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,pore water 3,30.47,,6.71,85400,0.09,1.9,,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,surface,35.37,,8.09,49150,5.6,,11:45:36,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,34.14,,8.13,49800,6,,12:00:00,,,,,,,,,,,,,,,,,,
10/18/22,FLM 30,,34.45,,8.05,50400,5.2,,12:00:00,,,,,,,,,,,,,,,,,,
10/25/22,BL60,surface,22.57,,7.7,23540,0.05,0.6,,14.27,,,,,,,,,,,,,,,,,
10/25/22,BL60,surface,23.92,,7.58,25570,0.05,0.8,,15.67,,,,,,,,,,,,,,,,,
10/25/22,BL60,surface,23.98,,7.51,25560,0.04,0.7,,15.55,,,,,,,,,,,,,,,,,
10/25/22,BL60,porewater,25.58,,7.27,52400,0.11,1.7,,34.53,,,,,,,,,,,,,,,,,
10/25/22,BL60,porewater,25.66,,7.33,61200,0.04,0.7,,41.1,,,,,,,,,,,,,,,,,
