Determination start,Ident,Sample type,Method name,User (short name),Info 1,Anions.F.Component name,Anions.F.Retention time,Anions.F.Height,Anions.F.Area,Anions.F.Concentration,Anions.Cl.Component name,Anions.Cl.Retention time,Anions.Cl.Height,Anions.Cl.Area,Anions.Cl.Concentration,Anions.NO2-N.Component name,Anions.NO2-N.Retention time,Anions.NO2-N.Height,Anions.NO2-N.Area,Anions.NO2-N.Concentration,Anions.Br.Component name,Anions.Br.Retention time,Anions.Br.Height,Anions.Br.Area,Anions.Br.Concentration,Anions.NO3-N.Component name,Anions.NO3-N.Retention time,Anions.NO3-N.Height,Anions.NO3-N.Area,Anions.NO3-N.Concentration,Anions.PO4-P.Component name,Anions.PO4-P.Retention time,Anions.PO4-P.Height,Anions.PO4-P.Area,Anions.PO4-P.Concentration,Anions.SO4.Component name,Anions.SO4.Retention time,Anions.SO4.Height,Anions.SO4.Area,Anions.SO4.Concentration
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-19 17:32:33 UTC-5,Std1,Standard 1,ASupp5-150-2 17min,Gabriel,,F,4.17,0.22762,0.03742,0.117,Cl,5.92,3.04734,0.51094,2.1,NO2-N,6.98,0.26276,0.05165,0.127,Br,8.72,0.03492,0.00911,0.108,NO3-N,9.93,0.40278,0.11075,0.228,PO4-P,12.58,0.01203,0.00414,0.023,SO4,14.51,0.48565,0.16466,1.143
2025-11-19 17:53:25 UTC-5,Std2,Standard 2,ASupp5-150-2 17min,Gabriel,,F,4.17,0.48151,0.07855,0.205,Cl,5.92,6.52066,1.08545,4.057,NO2-N,6.98,0.56977,0.10978,0.212,Br,8.72,0.07105,0.01826,0.205,NO3-N,9.91,0.90526,0.24443,0.41,PO4-P,12.58,0.02182,0.00728,0.039,SO4,14.51,1.04896,0.34927,2.032
2025-11-19 18:13:50 UTC-5,Std3,Standard 3,ASupp5-150-2 17min,Gabriel,,F,4.17,1.30358,0.20561,0.478,Cl,5.92,16.74157,2.78055,9.828,NO2-N,6.97,1.55428,0.29366,0.48,Br,8.7,0.18111,0.04543,0.488,NO3-N,9.87,2.46836,0.64877,0.959,PO4-P,12.58,0.05712,0.0189,0.097,SO4,14.5,2.83709,0.93018,4.821
2025-11-19 18:34:16 UTC-5,Std4,Standard 4,ASupp5-150-2 17min,Gabriel,,F,4.17,2.80116,0.44334,0.987,Cl,5.92,34.47634,5.75321,19.933,NO2-N,6.97,3.34929,0.63442,0.976,Br,8.69,0.38516,0.09487,0.991,NO3-N,9.84,5.33511,1.40824,1.982,PO4-P,12.58,0.12118,0.04,0.199,SO4,14.5,6.0474,1.99456,9.902
2025-11-19 18:54:42 UTC-5,Std5,Standard 5,ASupp5-150-2 17min,Gabriel,,F,4.17,5.79691,0.92492,2.015,Cl,5.93,70.20023,11.70069,40.091,NO2-N,6.96,6.96305,1.33796,2,Br,8.68,0.82582,0.19968,2.008,NO3-N,9.8,11.11855,2.94862,4.023,PO4-P,12.57,0.25848,0.084,0.402,SO4,14.49,12.47093,4.15806,20.114
2025-11-19 19:15:08 UTC-5,Std6,Standard 6,ASupp5-150-2 17min,Gabriel,,F,4.17,14.08339,2.33423,4.998,Cl,5.97,168.29085,29.5087,99.99,NO2-N,6.95,16.77161,3.40227,5.006,Br,8.65,2.22681,0.54479,4.999,NO3-N,9.77,28.46292,7.64276,9.998,PO4-P,12.58,0.72312,0.23062,1,SO4,14.49,31.39855,10.67318,49.988
2025-11-19 19:35:35 UTC-5,ch,Sample,ASupp5-150-2 17min,Gabriel,,F,4.17,0.00996,0.00265,0.042,Cl,5.92,39.74684,6.64733,22.969,,,,,,,,,,,NO3-N,9.8,15.21833,4.08744,5.505,PO4-P,12.56,10.47516,3.3915,7.459,SO4,14.51,0.07398,0.02428,0.467
2025-11-19 19:56:02 UTC-5,ac,Sample,ASupp5-150-2 17min,Gabriel,,F,4.18,0.01248,0.00328,0.044,Cl,5.93,40.49795,6.76737,23.376,,,,,,,,,,,NO3-N,9.8,16.18231,4.35396,5.849,PO4-P,12.56,13.60998,4.42274,8.816,SO4,14.52,0.06795,0.02212,0.456
2025-11-19 20:16:30 UTC-5,Blank (Jonathan),Sample,ASupp5-150-2 17min,Gabriel,,,,,,,Cl,5.92,0.00874,0.00151,0.364,,,,,,,,,,,,,,,,,,,,,,,,,
