Depth (cm),Value,Site,ORP,pH,%DO,ppmDO,SpCond,Tds ppt,PSU,TempC,Sulfide,Total Iron,Label
Surface,Surface,BL60,-243,6.78,31.3,2.52,6.257,3.13,3.40,24.96,2.20,0.10,"Everglades Porewater
Oct 2025 - Gewirtzman
BL60 - Surface"
0-5,0,BL60,-262,6.69,31.0,2.07,5451,26.85,35.44,25.82,2.58,1.20,"Everglades Porewater
Oct 2025 - Gewirtzman
BL60 - 0"
15-20,15,BL60,-243,6.71,32.6,2.18,5454,26.72,35.27,25.99,3.05,0.33,"Everglades Porewater
Oct 2025 - Gewirtzman
BL60 - 15"
45-50,45,BL60,-296,6.72,30.2,2.02,5153,25.78,33.85,25.87,3.65,0.06,"Everglades Porewater
Oct 2025 - Gewirtzman
BL60 - 45"
90-95,90,BL60,-368,6.69,30.5,2.04,5052,25.24,33.46,26.28,8.05,0.03,"Everglades Porewater
Oct 2025 - Gewirtzman
BL60 - 90"
Surface,Surface,CP40,-113,8.43,118.0,11.76,3364,16.81,20.84,33.81,18.32,0.02,"Everglades Porewater
Oct 2025 - Gewirtzman
CP40 - Surface"
0-5,0,CP40,-376,6.92,30.8,1.83,6179,30.88,41.36,30.29,26.91,0.20,"Everglades Porewater
Oct 2025 - Gewirtzman
CP40 - 0"
15-20,15,CP40,-375,6.74,30.8,1.68,7857,39.28,54.50,30.38,10.00,0.19,"Everglades Porewater
Oct 2025 - Gewirtzman
CP40 - 15"
45-50,45,CP40,-392,6.77,30.5,1.71,7513,37.53,51.68,30.54,15.64,0.13,"Everglades Porewater
Oct 2025 - Gewirtzman
CP40 - 45"
90-95,90,CP40,-392,6.94,30.5,1.67,7390,36.69,50.32,31.17,17.06,0.13,"Everglades Porewater
Oct 2025 - Gewirtzman
CP40 - 90"
Surface,Surface,SRS5,,,,,,,,,,,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS5 - Surface"
0-5,0,SRS5,-233,6.77,49.1,3.35,2249,11.24,13.42,30.18,4.49,0.10,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS5 - 0"
15-20,15,SRS5,-268,6.64,36.3,2.54,2583,12.91,15.70,28.01,15.80,0.06,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS5 - 15"
45-50,45,SRS5,-271,6.83,36.1,2.40,4189,20.95,26.80,27.65,25.44,0.06,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS5 - 45"
90-95,90,SRS5,-291,6.44,31.5,2.16,3717,18.60,23.49,27.52,29.22,0.04,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS5 - 90"
Surface,Surface,SRS6,,,,,,,,,,,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS6 - Surface"
0-5,0,SRS6,-93,6.82,73.8,4.96,4048,20.24,25.78,28.07,1.74,1.14,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS6 - 0"
15-20,15,SRS6,-188,6.78,54.0,3.60,4108,20.53,26.70,27.88,3.97,0.72,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS6 - 15"
45-50,45,SRS6,-240,6.75,52.6,3.37,4677,23.39,30.30,28.03,37.32,0.07,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS6 - 45"
90-95,90,SRS6,-308,6.42,30.0,1.88,5237,26.68,35.08,28.61,32.92,0.14,"Everglades Porewater
Oct 2025 - Gewirtzman
SRS6 - 90"
