Sample,Depth (cm),Alkalinty
SRS 5 ,Surface water,3723.4333
SRS 5 ,5,8095.9086
SRS 5,15,12172.7575
SRS 5,45,12778.0739
SRS 5,90,11417.0225
SRS 5.5,Surface water,3724.1425
SRS 6,Surface water,3722.902385
SRS 6,5,10385.58653
SRS 6,15,11056.91236
SRS 6,45,12540.99591
SRS 6,90,10653.76957
SRS B3,Surface water,3255.0005
SRS 4,Surface water,3188.4282
SRS 7,Surface water,3444.9447
BL ,Surface water,6119.793344
BL ,5,33974.04658
BL ,15,34051.57771
BL ,45,32703.41435
BL ,90,29378.52925
Cp,Surface water,4664.158286
Cp,5,17038.82069
Cp,15,15841.45076
Cp,45,14920.40556
Cp,90,17383.89696
