"","segment_class","height_bin","height_bin_numeric","Total_volume_m3","Total_surface_area_m2"
"1","branch","[0.5,1)",0.5,0.0309112578373353,3.66986100873258
"2","branch","[1,1.5)",1,0.0423663557066319,4.01099543374791
"3","branch","[1.5,2)",1.5,0.0402813257945644,3.35389287715552
"4","branch","[2,2.5)",2,0.0594902271149261,4.33801342633359
"5","branch","[2.5,3)",2.5,0.0642156875146434,4.45381718110203
"6","branch","[3,3.5)",3,0.0863326659641757,5.70285139982071
"7","branch","[3.5,4)",3.5,0.0878130955658122,6.141860698826
"8","branch","[4,4.5)",4,0.0896823585759357,5.70847158341427
"9","branch","[4.5,5)",4.5,0.100145124297504,6.0386456828116
"10","branch","[5,5.5)",5,0.0955784953610695,5.89816616288183
"11","branch","[5.5,6)",5.5,0.0623533024027411,3.92214013509825
"12","branch","[6,6.5)",6,0.0718753483320653,4.47187964240014
"13","branch","[6.5,7)",6.5,0.0720408848934072,4.58918407314736
"14","branch","[7,7.5)",7,0.0564788970350098,3.63432777369674
"15","branch","[7.5,8)",7.5,0.0402013549796294,2.6435067100434
"16","branch","[8,8.5)",8,0.0416487927941558,2.40283558003719
"17","branch","[8.5,9)",8.5,0.017527306201161,0.977885807229605
"18","branch","[9,9.5)",9,0.00892262359818791,0.461448187365409
"19","branch","[9.5,10)",9.5,0.00451962558011577,0.225184209197364
"20","branch","[10,10.5)",10,0.00367136980258677,0.171887843811451
"21","branch","[10.5,11]",10.5,0.00404961660303481,0.166994499094219
"22","root","[0,0.5)",0,0.368356141145109,42.6181507041449
"23","root","[0.5,1)",0.5,0.0474313311126082,6.00377846541832
"24","trunk","[0,0.5)",0,1.41347371631498,59.12687936162
"25","trunk","[0.5,1)",0.5,0.790620712910221,32.6096879504605
"26","trunk","[1,1.5)",1,0.683568494622145,29.1748017987664
"27","trunk","[1.5,2)",1.5,0.605788016026815,25.6905288052484
"28","trunk","[2,2.5)",2,0.584545253578979,22.6431030666714
"29","trunk","[2.5,3)",2.5,0.552968446366034,21.3489345287764
"30","trunk","[3,3.5)",3,0.442830301540216,18.3843689875882
"31","trunk","[3.5,4)",3.5,0.441186322368618,17.0713728220883
"32","trunk","[4,4.5)",4,0.398936131618228,15.0187430786856
"33","trunk","[4.5,5)",4.5,0.299211773108447,12.3559711800126
"34","trunk","[5,5.5)",5,0.254708853180849,10.6978368809878
"35","trunk","[5.5,6)",5.5,0.226821002519263,9.24235711077268
"36","trunk","[6,6.5)",6,0.16571573695183,6.72661658634036
"37","trunk","[6.5,7)",6.5,0.122421233051179,4.82871706696702
"38","trunk","[7,7.5)",7,0.0886509799501068,3.54408407958976
"39","trunk","[7.5,8)",7.5,0.0635478411855562,2.31182546298643
"40","trunk","[8,8.5)",8,0.035822953502035,1.25376124752082
"41","trunk","[8.5,9)",8.5,0.0135336933409371,0.439619082139353
"42","trunk","[9,9.5)",9,0.00873855500483556,0.237138534730951
"43","trunk","[9.5,10)",9.5,0.00516873327663482,0.140264132337444
"44","trunk","[10,10.5)",10,0.00425599614338647,0.13908484128714
