UniqueID,best.flux,model,quality.check,LM.flux,HM.flux,LM.r2,HM.r2,LM.p.val,g.fact,HM.k,nb.obs
Oct_22_256_BL60_stem,12.661526248735012,HM,SE,12.437516342833513,12.661526248735012,0.9994103723367023,0.9994302372057982,0,1.0180108230394866,1.772913497912054e-4,204
Oct_22_257_BL60_stem,12.65293780407485,HM,SE,12.436063831398034,12.65293780407485,0.9993567401631019,0.9993723268956282,2.2781838054e-313,1.017439117040334,1.7950096604900644e-4,197
Oct_22_260_BL60_stem,9.820737201747022,HM,SE,7.473694797959399,9.820737201747022,0.9541460151658548,0.9592287391195122,4.3415087582898227e-144,1.31404044013524,0.0026519723952635713,214
Oct_22_263_BL60_stem,9.188261244360875,HM,SE,7.950754684215282,9.188261244360875,0.9981078941852707,0.999536939181133,6.854171174425426e-231,1.1556464272004805,0.001746674820912263,170
Oct_22_264_BL60_stem,7.405360581119157,HM,,7.270122157644301,7.405360581119157,0.9999053713139909,0.9999265803762449,0,1.0186019465068628,1.7214920709984608e-4,217
Oct_22_265_BL60_stem,6.566372010491024,HM,,6.061353705654297,6.566372010491024,0.999383055920784,0.9998178880139047,0,1.0833177421020033,6.838774327275011e-4,238
Oct_22_259_BL60_stem,6.184113046743035,HM,SE,5.285708558398563,6.184113046743035,0.9961458666200571,0.9978526043105455,2.903802120258474e-253,1.1699686008826538,0.0015339605906676314,210
Oct_22_258_BL60_stem,5.78010444417821,HM,SE,3.7259805045829864,5.78010444417821,0.9793601183499383,0.9937181142311565,1.363470023780586e-160,1.5512975543131895,0.004892729125571051,190
Oct_22_247_BL60_stem,5.482516992304233,HM,SE,4.537262179189323,5.482516992304233,0.9960107354592735,0.9985040195589243,6.504157992960827e-265,1.2083315391053289,0.0017741981114642363,221
Oct_22_248_BL60_stem,5.283301688884161,HM,SE,4.06512685178892,5.283301688884161,0.9925717127497143,0.9974846211685544,4.214440520338397e-215,1.299664655374571,0.0026923963796980695,202
