UniqueID,DATE,TIME,start.time,Area,offset,Vcham,Vtube,Vinst,Vtot,Tcham,Pcham
SW_057,2022-10-20,14:42:30,2022-10-20 14:42:30,433.7,0,38700,29,919,39.648,18.057142857142857,101.325
SW_058,2022-10-20,14:57:30,2022-10-20 14:57:30,433.7,0,38700,29,919,39.648,18.14,101.325
SW_059,2022-10-20,15:08:00,2022-10-20 15:08:00,433.7,0,38700,29,919,39.648,18.575000000000003,101.325
SW_060,2022-10-20,15:19:00,2022-10-20 15:19:00,433.7,0,38700,29,919,39.648,18.56,101.325
SW_061,2022-10-20,15:30:30,2022-10-20 15:30:30,433.7,0,38700,29,919,39.648,18.52,101.325
SW_062,2022-10-20,15:45:30,2022-10-20 15:45:30,433.7,0,38700,29,919,39.648,18.5,101.325
SW_063,2022-10-20,15:55:30,2022-10-20 15:55:30,433.7,0,38700,29,919,39.648,18.5,101.325
SW_064,2022-10-20,16:09:45,2022-10-20 16:09:45,433.7,0,38700,29,919,39.648,18.5,101.325
SW_075,2022-10-23,11:28:00,2022-10-23 11:28:00,324.3,0,3370,29,919,4.318,28,101.325
SW_076,2022-10-23,11:42:45,2022-10-23 11:42:45,324.3,0,3370,29,919,4.318,28.34,101.325
SW_077,2022-10-23,11:47:00,2022-10-23 11:47:00,324.3,0,3370,29,919,4.318,28.34,101.325
SW_078,2022-10-23,12:01:45,2022-10-23 12:01:45,324.3,0,3370,29,919,4.318,29.18,101.325
SW_079,2022-10-23,12:09:00,2022-10-23 12:09:00,324.3,0,3370,29,919,4.318,29.733333333333334,101.325
SW_085,2023-03-11,11:31:00,2023-03-11 11:31:00,433.7,0,12300,29,919,13.248,26.7,101.325
SW_086,2023-03-11,11:47:00,2023-03-11 11:47:00,433.7,0,12300,29,919,13.248,26.7,101.325
SW_087,2023-03-11,11:52:30,2023-03-11 11:52:30,433.7,0,12300,29,919,13.248,26.7,101.325
SW_088,2023-03-11,11:59:30,2023-03-11 11:59:30,433.7,0,12300,29,919,13.248,26.7,101.325
SW_089,2023-03-11,12:08:00,2023-03-11 12:08:00,433.7,0,12300,29,919,13.248,26.7,101.325
SW_090,2023-03-11,12:13:00,2023-03-11 12:13:00,433.7,0,12300,29,919,13.248,27.1,101.325
SW_091,2023-03-11,12:20:00,2023-03-11 12:20:00,433.7,0,12300,29,919,13.248,26.52,101.325
SW_092,2023-03-11,12:25:00,2023-03-11 12:25:00,433.7,0,12300,29,919,13.248,26.84,101.325
SW_093,2023-03-11,12:34:00,2023-03-11 12:34:00,433.7,0,12300,29,919,13.248,27.083333333333332,101.325
SW_094,2023-03-11,12:44:00,2023-03-11 12:44:00,433.7,0,12300,29,919,13.248,27.16,101.325
SW_095,2023-03-11,13:16:00,2023-03-11 13:16:00,324.3,0,3370,29,919,4.318,27.275,101.325
SW_096,2023-03-11,13:31:00,2023-03-11 13:31:00,324.3,0,3370,29,919,4.318,28.3,101.325
SW_097,2023-03-11,13:45:00,2023-03-11 13:45:00,324.3,0,3370,29,919,4.318,26.950000000000003,101.325
SW_143,2023-03-17,09:21:00,2023-03-17 09:21:00,324.3,0,3370,29,919,4.318,26.6,101.325
