UniqueID,DATE,TIME,start.time,Area,offset,Vcham,Vtube,Vinst,Vtot,Tcham,Pcham
SW_001,2022-03-18,13:30:00,2022-03-18 13:30:00,324.3,0,3530,29,312,3.871,25.6,101.325
SW_002,2022-03-18,13:50:00,2022-03-18 13:50:00,324.3,0,3530,29,312,3.871,25.6,101.325
SW_003,2022-03-18,13:54:00,2022-03-18 13:54:00,324.3,0,3530,29,312,3.871,25.6,101.325
SW_004,2022-03-18,14:00:00,2022-03-18 14:00:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_005,2022-03-18,14:12:00,2022-03-18 14:12:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_006,2022-03-18,14:16:00,2022-03-18 14:16:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_007,2022-03-18,14:23:00,2022-03-18 14:23:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_008,2022-03-18,14:34:00,2022-03-18 14:34:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_009,2022-03-18,14:39:00,2022-03-18 14:39:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_010,2022-03-18,14:44:00,2022-03-18 14:44:00,324.3,0,3530,29,312,3.871,26.6,101.325
SW_041,2022-10-17,08:55:47,2022-10-17 08:55:47,182.4,0,1680,29,884,2.593,27.1,101.325
SW_042,2022-10-17,09:09:00,2022-10-17 09:09:00,182.4,0,1680,29,884,2.593,27.1,101.325
SW_043,2022-10-17,09:18:18,2022-10-17 09:18:18,182.4,0,1680,29,884,2.593,27.1,101.325
SW_044,2022-10-17,09:44:10,2022-10-17 09:44:10,182.4,0,1680,29,884,2.593,27.1,101.325
SW_045,2022-10-17,09:50:30,2022-10-17 09:50:30,182.4,0,1680,29,884,2.593,27.1,101.325
SW_046,2022-10-17,10:30:40,2022-10-17 10:30:40,182.4,0,1680,29,884,2.593,27.1,101.325
SW_047,2022-10-17,10:56:20,2022-10-17 10:56:20,182.4,0,1680,29,884,2.593,27.1,101.325
SW_048,2022-10-17,11:06:00,2022-10-17 11:06:00,182.4,0,1680,29,884,2.593,27.1,101.325
SW_049,2022-10-17,11:39:20,2022-10-17 11:39:20,182.4,0,1680,29,884,2.593,27.1,101.325
SW_050,2022-10-17,11:51:35,2022-10-17 11:51:35,182.4,0,1680,29,884,2.593,26.1,101.325
SW_051,2022-10-18,08:57:00,2022-10-18 08:57:00,324.3,0,3370,29,884,4.283,25.9,101.325
SW_052,2022-10-18,11:23:00,2022-10-18 11:23:00,324.3,0,3370,29,884,4.283,26.725,101.325
SW_053,2022-10-18,12:06:00,2022-10-18 12:06:00,324.3,0,3370,29,884,4.283,27.357142857142858,101.325
SW_054,2022-10-20,12:50:00,2022-10-20 12:50:00,324.3,0,3370,29,884,4.283,20.788888888888888,101.325
SW_055,2022-10-20,13:01:00,2022-10-20 13:01:00,324.3,0,3370,29,884,4.283,20.6,101.325
SW_056,2022-10-20,13:11:00,2022-10-20 13:11:00,324.3,0,3370,29,884,4.283,20.522222222222226,101.325
SW_080,2022-10-25,10:56:00,2022-10-25 10:56:00,324.3,0,3370,29,884,4.283,24.771428571428572,101.325
SW_081,2022-10-25,11:13:00,2022-10-25 11:13:00,324.3,0,3370,29,884,4.283,24.9,101.325
SW_082,2022-10-25,11:28:30,2022-10-25 11:28:30,324.3,0,3370,29,884,4.283,24.944444444444443,101.325
SW_083,2022-10-25,11:57:30,2022-10-25 11:57:30,324.3,0,3370,29,884,4.283,24.96,101.325
SW_084,2022-10-25,12:33:00,2022-10-25 12:33:00,433.7,0,25600,29,884,26.513,26.02,101.325
