date,plot,surface,collar_notes,collar_location_notes,analyzer_id,chamber_id,soil_temp_c,water_temp_c,water_depth_cm,start_time,end_time,temp_start,temp_end,pressure_start,pressure_end,rh_start,rh_end,pneumatophore_count,notes_1,notes_2,...22,...23,...24,...25,...26,...27,datetime,date_only,flux_id,air_temp,temp_source
3/18/22,MI,Soil,1,north of tree plot,Picarro,Soil 8 in,26.5,NA,NA,13:30:00,13:44:00,NA,NA,NA,NA,NA,NA,NA,"system time 13:45:00, real time 15:50:00",NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:30:00.000000Z,2022-03-18,Mar_18_22_MI_S_1_Soil8in_Picarro,25.6,Weather station
3/18/22,MI,Soil,2,north of tree plot,Picarro,Soil 8 in,26.7,NA,NA,13:50:00,13:52:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:50:00.000000Z,2022-03-18,Mar_18_22_MI_S_2_Soil8in_Picarro,25.6,Weather station
3/18/22,MI,Soil,3,north of tree plot,Picarro,Soil 8 in,27,NA,NA,13:54:00,13:56:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:54:00.000000Z,2022-03-18,Mar_18_22_MI_S_3_Soil8in_Picarro,25.6,Weather station
3/18/22,MI,Soil,4,north of tree plot,Picarro,Soil 8 in,27,NA,NA,14:00:00,14:02:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:00:00.000000Z,2022-03-18,Mar_18_22_MI_S_4_Soil8in_Picarro,26.6,Weather station
3/18/22,MI,Soil,5,north of tree plot,Picarro,Soil 8 in,26.6,NA,NA,14:12:00,14:14:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:12:00.000000Z,2022-03-18,Mar_18_22_MI_S_5_Soil8in_Picarro,26.6,Weather station
3/18/22,MI,Soil,6,north of tree plot,Picarro,Soil 8 in,27.6,NA,NA,14:16:00,14:18:30,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:16:00.000000Z,2022-03-18,Mar_18_22_MI_S_6_Soil8in_Picarro,26.6,Weather station
3/18/22,MI,Soil,7,north of tree plot,Picarro,Soil 8 in,27.5,NA,NA,14:23:00,14:25:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:23:00.000000Z,2022-03-18,Mar_18_22_MI_S_7_Soil8in_Picarro,26.6,Weather station
3/18/22,MI,Soil,8,north of tree plot,Picarro,Soil 8 in,27.6,NA,NA,14:34:00,14:36:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:34:00.000000Z,2022-03-18,Mar_18_22_MI_S_8_Soil8in_Picarro,26.6,Weather station
3/18/22,MI,Soil,9,north of tree plot,Picarro,Soil 8 in,28.1,NA,NA,14:39:00,14:41:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:39:00.000000Z,2022-03-18,Mar_18_22_MI_S_9_Soil8in_Picarro,26.6,Weather station
3/18/22,MI,Soil,10,north of tree plot,Picarro,Soil 8 in,27.6,NA,NA,14:44:00,14:46:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:44:00.000000Z,2022-03-18,Mar_18_22_MI_S_10_Soil8in_Picarro,26.6,Weather station
