"no","index","flux_id","plot","date","start_time","end_time","component","status","species","analyzer","analyzer_id","chamber","chamber_class","chamber_vol","chamber_area","height","diameter","stem_temp","air_temp","soil_temp","lenticels","above","water_depth","datetime","date_only"
286,"Mar_23_286","Mar_23_286_SRS6_stem","SRS6","3/10/23","16:19:00","16:21:00","stem","dead","RHMA","LGR","LGR3","B5","B",NA,NA,"180",12,27.5,28.3,26.3,"","sediment",30,2023-03-10 16:19:00,2023-03-10
294,"Mar_23_294","Mar_23_294_SRS6_root","SRS6","3/10/23","14:57:59","15:00:57","root","alive","RHMA","LGR","LGR2","B3","B",NA,NA,"14",11.6,28.3,30.2,25,"","sediment",11,2023-03-10 14:57:59,2023-03-10
276,"Mar_23_276","Mar_23_276_SRS6_stem","SRS6","3/10/23","14:20:00","14:23:00","stem","alive","RHMA","LGR","LGR3","C2","C",NA,NA,"80",39.5,27,30.2,25.8,"","sediment",15,2023-03-10 14:20:00,2023-03-10
277,"Mar_23_277","Mar_23_277_SRS6_stem","SRS6","3/10/23","14:39:30","14:42:30","stem","alive","RHMA","LGR","LGR3","C2","C",NA,NA,"130",38.9,27.1,30.2,25.8,"","sediment",15,2023-03-10 14:39:30,2023-03-10
278,"Mar_23_278","Mar_23_278_SRS6_stem","SRS6","3/10/23","14:46:00","14:49:00","stem","alive","RHMA","LGR","LGR3","C2","C",NA,NA,"180",34.5,26.6,30.2,25.8,"","sediment",15,2023-03-10 14:46:00,2023-03-10
279,"Mar_23_279","Mar_23_279_SRS6_root","SRS6","3/10/23","15:00:00","15:03:00","root","alive","RHMA","LGR","LGR3","B5","B",NA,NA,"60",8.5,28.9,30.2,25.8,"","sediment",15,2023-03-10 15:00:00,2023-03-10
280,"Mar_23_280","Mar_23_280_SRS6_stem","SRS6","3/10/23","15:16:15","15:19:15","stem","alive","RHMA","LGR","LGR3","C2","C",NA,NA,"85",26.5,27.9,28.3,26.4,"","sediment",22,2023-03-10 15:16:15,2023-03-10
281,"Mar_23_281","Mar_23_281_SRS6_stem","SRS6","3/10/23","15:25:00","15:28:00","stem","alive","RHMA","LGR","LGR3","C2","C",NA,NA,"135",25,27.6,28.3,26.4,"","sediment",22,2023-03-10 15:25:00,2023-03-10
282,"Mar_23_282","Mar_23_282_SRS6_stem","SRS6","3/10/23","15:32:00","15:35:00","stem","alive","RHMA","LGR","LGR3","C2","C",NA,NA,"185",25,27.5,28.3,26.4,"","sediment",22,2023-03-10 15:32:00,2023-03-10
283,"Mar_23_283","Mar_23_283_SRS6_root","SRS6","3/10/23","15:44:00","15:47:00","root","alive","RHMA","LGR","LGR3","B5","B",NA,NA,"60",11.5,28.8,28.3,26.4,"","sediment",22,2023-03-10 15:44:00,2023-03-10
284,"Mar_23_284","Mar_23_284_SRS6_stem","SRS6","3/10/23","16:02:00","16:05:00","stem","dead","RHMA","LGR","LGR3","B5","B",NA,NA,"80",15,27.5,28.3,26.3,"","sediment",30,2023-03-10 16:02:00,2023-03-10
285,"Mar_23_285","Mar_23_285_SRS6_stem","SRS6","3/10/23","16:09:30","16:12:30","stem","dead","RHMA","LGR","LGR3","B5","B",NA,NA,"130",13,27.9,28.3,26.3,"","sediment",30,2023-03-10 16:09:30,2023-03-10
287,"Mar_23_287","Mar_23_287_SRS6_root","SRS6","3/10/23","16:27:00","16:30:00","root","dead","RHMA","LGR","LGR3","B5","B",NA,NA,"40",10.5,25.5,28.3,26.3,"","sediment",30,2023-03-10 16:27:00,2023-03-10
288,"Mar_23_288","Mar_23_288_SRS6_root","SRS6","3/10/23","16:33:30","16:36:30","root","dead","RHMA","LGR","LGR3","A4","A",NA,NA,"70",7.5,27.3,28.3,26.3,"","sediment",30,2023-03-10 16:33:30,2023-03-10
289,"Mar_23_289","Mar_23_289_SRS6_stem","SRS6","3/10/23","16:08:28","16:11:28","stem","dead","LARA","LGR","LGR2","D2","D",NA,NA,"58",27.1,25.9,28.3,26.3,"","sediment",36,2023-03-10 16:08:28,2023-03-10
290,"Mar_23_290","Mar_23_290_SRS6_stem","SRS6","3/10/23","16:21:10","16:24:10","stem","dead","LARA","LGR","LGR2","D2","D",NA,NA,"116",26.4,27,28.3,26.3,"","sediment",36,2023-03-10 16:21:10,2023-03-10
291,"Mar_23_291","Mar_23_291_SRS6_stem","SRS6","3/10/23","14:19:49","14:22:49","stem","alive","RHMA","LGR","LGR2","C3","C",NA,NA,"83",21.9,30,30.2,25,"","sediment",11,2023-03-10 14:19:49,2023-03-10
292,"Mar_23_292","Mar_23_292_SRS6_stem","SRS6","3/10/23","14:30:39","14:33:39","stem","alive","RHMA","LGR","LGR2","C3","C",NA,NA,"124",20.6,27.8,30.2,25,"","sediment",11,2023-03-10 14:30:39,2023-03-10
296,"Mar_23_296","Mar_23_296_SRS6_stem","SRS6","3/10/23","15:36:20","15:39:20","stem","dead","LARA","LGR","LGR2","D2","D",NA,NA,"94",30.1,27.9,28.3,26.4,"","sediment",32,2023-03-10 15:36:20,2023-03-10
297,"Mar_23_297","Mar_23_297_SRS6_stem","SRS6","3/10/23","15:48:40","15:51:40","stem","dead","LARA","LGR","LGR2","D2","D",NA,NA,"139",28.5,NA,28.3,26.4,"","sediment",32,2023-03-10 15:48:40,2023-03-10
295,"Mar_23_295","Mar_23_295_SRS6_stem","SRS6","3/10/23","15:20:00","15:23:00","stem","dead","LARA","LGR","LGR2","D2","D",NA,NA,"49",34.1,28.1,28.3,26.4,"","sediment",32,2023-03-10 15:20:00,2023-03-10
293,"Mar_23_293","Mar_23_293_SRS6_stem","SRS6","3/10/23","14:44:26","14:47:32","stem","alive","RHMA","LGR","LGR2","C3","C",NA,NA,"158",21.5,28.7,30.2,25,"","sediment",11,2023-03-10 14:44:26,2023-03-10
