index,flux_id,date,plot,surface,collar_notes,collar_location_notes,analyzer_id,chamber_id,soil_temp_c,water_temp_c,water_depth_cm,start_time,end_time,temp_start,temp_end,pressure_start,pressure_end,rh_start,rh_end,pneumatophore_count,notes_1,notes_2,...24,...25,...26,...27,...28,...29,datetime,date_only,air_temp,temp_source,date_parsed,year,month,time_period,Diameter_cm,Height_cm,Chamber_Volume_cm3,Chamber_Volume_L,Offset_cm,Collar_Volume_cm3,Collar_Volume_L,Chamber+Collar_Volume_L,Ground_Surface_Area_cm2,analyzer_cell_volume_cm3,tubing_volume_cm3,filter_volume_cm3,chamber_volume_L,chamber_volume_cm3,surface_area_cm2,analyzer_cell_volume_L,tubing_volume_L,filter_volume_L,total_system_volume_cm3,total_system_volume_L
1,44638_MI_Soil_1,3/18/22,MI,Soil,1,north of tree plot,Picarro,Soil 8 in,26.5,NA,NA,13:30:00,13:44:00,NA,NA,NA,NA,NA,NA,NA,"system time 13:45:00, real time 15:50:00",NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:30:00Z,2022-03-18,25.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
2,44638_MI_Soil_2,3/18/22,MI,Soil,2,north of tree plot,Picarro,Soil 8 in,26.7,NA,NA,13:50:00,13:52:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:50:00Z,2022-03-18,25.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
3,44638_MI_Soil_3,3/18/22,MI,Soil,3,north of tree plot,Picarro,Soil 8 in,27,NA,NA,13:54:00,13:56:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:54:00Z,2022-03-18,25.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
4,44638_MI_Soil_4,3/18/22,MI,Soil,4,north of tree plot,Picarro,Soil 8 in,27,NA,NA,14:00:00,14:02:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:00:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
5,44638_MI_Soil_5,3/18/22,MI,Soil,5,north of tree plot,Picarro,Soil 8 in,26.6,NA,NA,14:12:00,14:14:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:12:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
6,44638_MI_Soil_6,3/18/22,MI,Soil,6,north of tree plot,Picarro,Soil 8 in,27.6,NA,NA,14:16:00,14:18:30,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:16:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
7,44638_MI_Soil_7,3/18/22,MI,Soil,7,north of tree plot,Picarro,Soil 8 in,27.5,NA,NA,14:23:00,14:25:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:23:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
8,44638_MI_Soil_8,3/18/22,MI,Soil,8,north of tree plot,Picarro,Soil 8 in,27.6,NA,NA,14:34:00,14:36:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:34:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
9,44638_MI_Soil_9,3/18/22,MI,Soil,9,north of tree plot,Picarro,Soil 8 in,28.1,NA,NA,14:39:00,14:41:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:39:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
10,44638_MI_Soil_10,3/18/22,MI,Soil,10,north of tree plot,Picarro,Soil 8 in,27.6,NA,NA,14:44:00,14:46:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:44:00Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871
11,44639_RB10_Soil_11,3/19/22,RB10,Soil,1,NA,LGR3,Soil 6 in,24.5,NA,NA,11:42:00,11:44:00,NA,NA,NA,NA,NA,NA,NA,bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T11:42:00Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
12,44639_RB10_Soil_12,3/19/22,RB10,Soil,2,NA,LGR3,Soil 6 in,24.4,NA,NA,11:52:30,11:54:30,NA,NA,NA,NA,NA,NA,NA,bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T11:52:30Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
13,44639_RB10_Soil_13,3/19/22,RB10,Soil,3,NA,LGR3,Soil 6 in,24.4,NA,NA,11:56:00,11:58:00,NA,NA,NA,NA,NA,NA,2,n=2,NA,NA,NA,NA,NA,NA,NA,2022-03-19T11:56:00Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
14,44639_RB10_Soil_14,3/19/22,RB10,Soil,8,NA,LGR3,Soil 6 in,24.2,NA,NA,12:00:30,12:02:30,NA,NA,NA,NA,NA,NA,2,n=2,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:00:30Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
15,44639_RB10_Soil_15,3/19/22,RB10,Soil,10,NA,LGR3,Soil 6 in,24.3,NA,NA,12:10:00,12:13:00,NA,NA,NA,NA,NA,NA,3,n=3,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:10:00Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
16,44639_RB10_Soil_16,3/19/22,RB10,Soil,3,NA,LGR3,Soil 6 in,24.7,NA,NA,12:32:51,12:36:10,NA,NA,NA,NA,NA,NA,0,bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:32:51Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
17,44639_RB10_Soil_17,3/19/22,RB10,Soil,NA,NA,LGR3,Soil 6 in,24.2,NA,NA,12:35:00,12:42:20,NA,NA,NA,NA,NA,NA,2,"bare soil, pnew n=2",NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:35:00Z,2022-03-19,29.6,Tree same-day,2022-03-19,2022,03,March_2022,14.3,7.14,765.6,0.77,5,912.1,0.91,1.68,182.4,70,29,277,1.68,1680,182.4,0.07,0.029,0.277,2056,2.056
