UniqueID,rescued_analyzer,rescued_gas,best.flux,quality.check
44854_SRS5_Water_54,Picarro,CO2,0.5684092599828697,NA
44854_SRS5_Water_55,Picarro,CO2,1.1916024104269147,RMSE | MAE | AICc
44854_SRS5_Water_56,Picarro,CO2,0.9579274157248155,AICc
45003_FLM30_Water_146,LGR1,CO2,0.10173641904572428,AICc
Oct_22_1_FLM30_stem,LGR2,CO2,2.093963978671449,RMSE | MAE | AICc
Oct_22_2_FLM30_stem,LGR2,CO2,3.3764780964181083,RMSE | MAE | SE | AICc
Oct_22_3_FLM30_stem,LGR2,CO2,2.674886279861919,
Oct_22_4_FLM30_stem,LGR2,CO2,1.6689832282794703,RMSE | MAE | AICc
Oct_22_5_FLM30_stem,LGR2,CO2,5.999019676455391,
Oct_22_6_FLM30_stem,LGR2,CO2,1.4110644281504527,
Mar_23_154_CP40_stem,LGR3,CO2,1.696166361986213,
Mar_23_38_BL60_stem,LGR3,CO2,3.4060193121931683,SE | AICc | nb.obs
Oct_22_236_BL60_stem,LGR3,CO2,1.8126079430858295,
Oct_22_240_BL60_stem,LGR3,CO2,3.632313244901618,SE | AICc
Oct_22_241_BL60_stem,LGR3,CO2,2.1125585443769523,SE
Oct_22_242_BL60_CWD,LGR3,CO2,4.001292129993225,SE | AICc
Oct_22_243_BL60_CWD,LGR3,CO2,11.51250278481842,RMSE | SE | AICc
Oct_22_251_BL60_stem,LGR3,CO2,2.363458847053048,SE | AICc
Oct_22_252_BL60_stem,LGR3,CO2,6.502461504689568,SE | AICc
Oct_22_253_BL60_CWD,LGR3,CO2,9.16463172126386,
Oct_22_254_BL60_stem,LGR3,CO2,-1011.5454265789368,HM.flux is NA
Oct_22_255_BL60_stem,LGR3,CO2,17.256176409799444,SE
Oct_22_278_SRS5_stem,LGR3,CO2,2.439286553337125,
Oct_22_279_SRS5_stem,LGR3,CO2,2.70884013399296,RMSE | MAE | AICc
Oct_22_280_SRS5_stem,LGR3,CO2,2.3979195272220157,
Oct_22_281_SRS5_stem,LGR3,CO2,2.365720191458422,
Oct_22_282_SRS5_stem,LGR3,CO2,2.5446050960535596,RMSE | MAE | SE | AICc
Oct_22_283_SRS5_stem,LGR3,CO2,4.511923324075072,RMSE | MAE | AICc
Oct_22_56_SRS6_stem,LGR3,CO2,1.442307925585098,
44854_SRS5_Water_54,Picarro,CH4,1.083882649017893,NA
44854_SRS5_Water_55,Picarro,CH4,0.12923269153985317,AICc
44854_SRS5_Water_56,Picarro,CH4,0.1085458350617071,g-fact. > 2
45003_FLM30_Water_146,LGR1,CH4,1.8787279557666032,RMSE | MAE | AICc
Oct_22_1_FLM30_stem,LGR2,CH4,16.067628424962507,
Oct_22_2_FLM30_stem,LGR2,CH4,8.04237948317531,RMSE | MAE | AICc
Oct_22_3_FLM30_stem,LGR2,CH4,1.2530778106842773,
Oct_22_4_FLM30_stem,LGR2,CH4,2.085310553663205,RMSE | MAE | AICc
Oct_22_5_FLM30_stem,LGR2,CH4,15.67641528837983,
Oct_22_6_FLM30_stem,LGR2,CH4,0.1680594079373966,g-fact. > 2
Mar_23_154_CP40_stem,LGR3,CH4,0.264780267297391,AICc
Mar_23_38_BL60_stem,LGR3,CH4,2.5251992748270875,SE | g-fact. > 2 | nb.obs
Oct_22_236_BL60_stem,LGR3,CH4,0.2389970261596839,
Oct_22_240_BL60_stem,LGR3,CH4,0.2816076593974469,SE | AICc
Oct_22_241_BL60_stem,LGR3,CH4,0.2313592764941311,SE | AICc | g-fact. > 2
Oct_22_242_BL60_CWD,LGR3,CH4,-3.15641017113149,SE | AICc | g-fact. > 2
Oct_22_243_BL60_CWD,LGR3,CH4,0.2180943007194882,SE | AICc
Oct_22_251_BL60_stem,LGR3,CH4,7.17297805723644,SE | AICc
Oct_22_252_BL60_stem,LGR3,CH4,7.554888496314146,SE | AICc
Oct_22_253_BL60_CWD,LGR3,CH4,0.2240296135670313,
Oct_22_254_BL60_stem,LGR3,CH4,56.00627247445376,SE | AICc
Oct_22_255_BL60_stem,LGR3,CH4,37.442595662469365,RMSE | MAE | SE | AICc
Oct_22_278_SRS5_stem,LGR3,CH4,0.06150498951511149,AICc
Oct_22_279_SRS5_stem,LGR3,CH4,0.0665776910780686,AICc
Oct_22_280_SRS5_stem,LGR3,CH4,0.03654268765188963,AICc
Oct_22_281_SRS5_stem,LGR3,CH4,0.03177526635816422,AICc
Oct_22_282_SRS5_stem,LGR3,CH4,-0.01375752089664871,AICc
Oct_22_283_SRS5_stem,LGR3,CH4,0.03146427872526091,AICc
Oct_22_56_SRS6_stem,LGR3,CH4,-4.860378861154706,
