no,index,flux_id,plot,date,start_time,end_time,component,status,species,analyzer,chamber,chamber_class,chamber_vol,chamber_area,height,diameter,stem_temp,air_temp,soil_temp,lenticels,above,water_depth,datetime,date_only,time_period,analyzer_cell_volume_cm3,tubing_volume_cm3,filter_volume_cm3,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,analyzer_cell_volume_L,tubing_volume_L,chamber_volume_L,filter_volume_L,total_system_volume_L,CH4_LM.flux,CH4_LM.C0,CH4_LM.Ct,CH4_LM.slope,CH4_LM.MAE,CH4_LM.RMSE,CH4_LM.AICc,CH4_LM.SE,CH4_LM.se.rel,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.C0,CH4_HM.Ci,CH4_HM.slope,CH4_HM.MAE,CH4_HM.RMSE,CH4_HM.AICc,CH4_HM.SE,CH4_HM.se.rel,CH4_HM.r2,CH4_HM.k,CH4_C0,CH4_Ct,CH4_MDF,CH4_prec,CH4_flux.term,CH4_nb.obs,CH4_k.max,CH4_k.mult,CH4_g.fact,CH4_HM.diagnose,CH4_LM.diagnose,CH4_best.flux,CH4_model,CH4_quality.check,CH4_HM.score,CH4_LM.score,CH4_RMSE.lim,CH4_MAE.lim,CH4_SE.lim,CH4_g.limit,CH4_g.reverse,CH4_k.ratio.lim,CH4_p.val.lim,CH4_MDF.lim,CH4_warn.nb.obs,CO2_LM.flux,CO2_LM.C0,CO2_LM.Ct,CO2_LM.slope,CO2_LM.MAE,CO2_LM.RMSE,CO2_LM.AICc,CO2_LM.SE,CO2_LM.se.rel,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.C0,CO2_HM.Ci,CO2_HM.slope,CO2_HM.MAE,CO2_HM.RMSE,CO2_HM.AICc,CO2_HM.SE,CO2_HM.se.rel,CO2_HM.r2,CO2_HM.k,CO2_C0,CO2_Ct,CO2_MDF,CO2_prec,CO2_flux.term,CO2_nb.obs,CO2_k.max,CO2_k.mult,CO2_g.fact,CO2_HM.diagnose,CO2_LM.diagnose,CO2_best.flux,CO2_model,CO2_quality.check,CO2_HM.score,CO2_LM.score,CO2_RMSE.lim,CO2_MAE.lim,CO2_SE.lim,CO2_g.limit,CO2_g.reverse,CO2_k.ratio.lim,CO2_p.val.lim,CO2_MDF.lim,CO2_warn.nb.obs,processing_date,timestamp_correction,primary_gas,notes
1,T1_1,Mar_22_T1_1_RB10_stem,RB10,3/19/22,08:19:00,08:28:00,stem,alive,RHMA,Picarro,R2,NA,NA,NA,50,NA,30.2,29.6,NA,NA,sediment,NA,2022-03-19T08:19:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
2,T1_2,Mar_22_T1_2_RB10_stem,RB10,3/19/22,08:42:00,08:48:00,stem,alive,RHMA,Picarro,R2,NA,NA,NA,100,NA,35.7,29.6,NA,NA,sediment,NA,2022-03-19T08:42:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
3,T1_3,Mar_22_T1_3_RB10_root,RB10,3/19/22,09:00:00,09:05:00,root,alive,RHMA,Picarro,R2,NA,NA,NA,NA,NA,28.1,29.6,NA,NA,sediment,NA,2022-03-19T09:00:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
4,T1_4,Mar_22_T1_4_RB10_root,RB10,3/19/22,09:07:00,09:09:00,root,alive,RHMA,Picarro,R2,NA,NA,NA,NA,NA,28.1,29.6,NA,NA,sediment,NA,2022-03-19T09:07:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
5,T1_5,Mar_22_T1_5_RB10_root,RB10,3/19/22,09:12:00,09:21:00,root,alive,RHMA,Picarro,R2,NA,NA,NA,NA,NA,28.4,29.6,NA,NA,sediment,NA,2022-03-19T09:12:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
6,T1_6,Mar_22_T1_6_RB10_stem,RB10,3/19/22,10:04:00,10:18:00,stem,alive,AVGE,Picarro,R2,NA,NA,NA,26,NA,30.2,29.6,NA,NA,sediment,NA,2022-03-19T10:04:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
7,T1_7,Mar_22_T1_7_RB10_stem,RB10,3/19/22,10:23:00,10:33:00,stem,alive,AVGE,Picarro,R2,NA,NA,NA,50,NA,30.4,29.6,NA,NA,sediment,NA,2022-03-19T10:23:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
8,T1_8,Mar_22_T1_8_RB10_stem,RB10,3/19/22,10:46:00,10:56:00,stem,alive,AVGE,Picarro,R2,NA,NA,NA,100,NA,34.5,29.6,NA,NA,sediment,NA,2022-03-19T10:46:00.000000Z,2022-03-19,March_2022,35,29,277,NA,NA,NA,0.035,0.029,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
32,T1_32,Mar_22_T1_32_SRS6_stem,SRS6,3/22/22,11:46:00,11:56:00,stem,alive,RHMA,Picarro,S3,B,NA,NA,0,25.5,27.2,25.5,23.5,NA,sediment,NA,2022-03-22T11:46:00.000000Z,2022-03-22,March_2022,35,29,277,418.99555555555554,107.68,759.9955555555555,0.035,0.029,0.4189955555555556,0.277,0.7599955555555555,0.1408836771721538,2007.5932095493547,2033.7643964799036,0.04891810641224106,1.1976063280761278,1.4835600992980418,615.4430983305261,0.002126550030516486,1.5094367730890024,0.9633373538285777,2.589857025647745e-121,0.17505050252800353,2006.593359551618,2079.7221271780877,0.0607816269568075,1.178617251935802,1.4195592951845373,602.7251591573091,0.009533916678097044,5.446380638965526,0.9664323765841134,8.311589122801929e-4,2007.3548185000002,2034.2688366,5.373116430066048e-4,0.1,2.8799904065154016,168,0.4891810641224105,1,1.2425179839258407,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.17505050252800353,HM,,0,4,0.1,0.1,0.007715167498104596,2,0.5,1,0.05,5.4e-4,60,1.7283791108815258,683.0818056329689,1004.1533002565991,0.6001336348105237,4.681179811877613,6.1564338973222785,1093.5889148586775,0.008824694529340593,0.5105763240126022,0.9956652643644588,2.7768970397130567e-198,2.115378444611211,671.7184271805666,1623.0768518123307,0.734508851080056,2.8081094005638336,3.6809239430186897,922.87178008886394,0.024444364014872665,1.155555124291972,0.9984504062269958,7.720632225066567e-4,664.52989881,997.73976573,1.343279107516512e-4,0.025,2.8799904065154016,168,24.005345392420946,1,1.2239088237604907,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.115378444611211,HM,SE,1,3,0.025,0.025,0.001928791874526149,2,0.5,1,0.05,1.3e-4,60,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
33,T1_33,Mar_22_T1_33_SRS6_stem,SRS6,3/22/22,12:00:00,12:07:00,stem,alive,RHMA,Picarro,S1,C,NA,NA,50,32.8,31,29,NA,NA,sediment,NA,2022-03-22T12:00:00.000000Z,2022-03-22,March_2022,35,29,277,1064.6016666666667,213.35,1405.6016666666667,0.035,0.029,1.064601666666667,0.277,1.4056016666666666,0.25545667007626,1979.3539086514481,2026.0893379780464,0.09616343482839133,1.6358202976345542,2.0259981913960856,673.4071912939324,0.0030501219093534843,1.1939879700314535,0.9782413187216614,5.765449088947349e-131,0.2987517787796386,1978.0827314343874,2150.236565904006,0.11246133130900618,1.5600270864882244,1.9454246930750219,662.77067291222545,0.013176523278236416,4.410525464337239,0.9799375802729837,6.532606819678658e-4,1977.7032207,2026.2701156,5.454793548825657e-4,0.1,2.6564844582780944,157,0.9616343482839131,1,1.1694812223554545,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.2987517787796386,HM,,0,4,0.1,0.1,0.007980868844676222,2,0.5,1,0.05,5.5e-4,60,2.9888641017360387,500.1451566244026,1046.953532979545,1.1251201159570832,4.322235900257699,5.565134365534133,990.6911967357998,0.008378259333546051,0.28031583398789056,0.9987756900354786,7.970162849683939e-228,3.3633072282003007,489.06459804531306,3069.999649401126,1.2660744984671815,2.0798318135514,2.5978994253607453,753.586663743376,0.01709626251147615,0.5083170032202002,0.999733200664886,4.905487636359114e-4,480.76924682,1037.1546466,1.3636983872064142e-4,0.025,2.6564844582780944,157,45.00480463828332,1,1.1252794084036046,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),3.3633072282003007,HM,SE,1,3,0.025,0.025,0.0019952172111690554,2,0.5,1,0.05,1.4e-4,60,2025-09-07,-25220 seconds,CH4dry_ppb,"Timestamps corrected by -25220 seconds, CH4 focus"
