UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,p.val.lim,MDF.lim,warn.nb.obs
44854_SRS5_Soil_57,0.8233611904747948,426.9826762604471,436.43277530816613,0.02152642152100015,0.3865258905201422,0.491543669363153,632.5756850186184,0.0070631161384293204,0.8578393322566423,0.9685651566060003,0,1.0848855114447349,426.5105660440501,448.447924927924,0.0283638615610704,0.35164149319443816,0.4461226094158427,548.9024696608769,0.0315150948660232,2.904923564151461,0.9741062140086559,0.0012929478754126866,425.544,435.003,0.03042523351478121,0.35,38.24886499001067,442,0.06150406148857186,1,1.3176301287884735,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),1.0848855114447349,HM,SE | Intercept,1,3,0.35,0.35,0.016647802295407292,2,0.5,1,0.05,0.03,60
44854_SRS5_Soil_58,0.9141583646606676,428.3612192893972,434.9594596554085,0.023906667992794804,0.3337664691640896,0.425368439262265,319.7488549488758,0.012266124201845063,1.341794231287071,0.9524894589965717,7.444014433517485e-185,0.932851972798496,428.33885426896666,594.2062553187308,0.02439553502132586,0.33288965188773245,0.4252484477647896,321.6509205849195,0.04961610114941266,5.318753949843462,0.9525162600572933,1.4707853904340508e-4,428.323,434.712,0.048315965500054556,0.35,38.23863555290032,278,0.06830476569369945,1,1.020448982211925,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE),0.932851972798496,HM,SE | AICc,2,2,0.35,0.35,0.020991605036642352,2,0.5,1,0.05,0.048,60
44854_SRS5_Soil_59,1.385188050238655,428.2827256646441,437.3538614417465,0.03628454310840963,0.37354163724734235,0.4686220036780022,339.2305608349191,0.01564411995187618,1.1293860028016298,0.9689739821623172,9.085267062386624e-191,1.4042148683677362,428.2617737322058,754.3658943121727,0.036782944320072966,0.3742556444328881,0.46915801451331435,341.8718767870661,0.06310812195251288,4.494192689034119,0.9689034875950955,1.127950921155352e-4,427.592,436.742,0.05323305618251149,0.35,38.17570600517253,252,0.10367012316688468,1,1.0137359098108036,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),1.4042148683677362,HM,SE | AICc,2,2,0.35,0.35,0.02204792759220492,2,0.5,1,0.05,0.053,60
44854_SRS5_Soil_60,1.5321512309355407,427.3913705013744,441.4372626911022,0.04013112054207933,0.353295192345993,0.4280729978585466,408.8255235582784,0.008597267082062742,0.5611239222653758,0.9890380728953133,0,1.5570515721228868,427.3531488958159,866.2933794876916,0.04078332678226759,0.3535311762414458,0.4280936065902895,410.90568634067677,0.034722359770849594,2.2300070461705435,0.9890370982342376,9.291316662242271e-5,427.473,440.585,0.03806985967689459,0.35,38.17863070454286,353,0.11466034440594096,1,1.0162518821148887,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE),1.5570515721228868,HM,SE | AICc,2,2,0.35,0.35,0.01862862033943223,2,0.5,1,0.05,0.038,60
44854_SRS5_Soil_61,1.1043458864034634,440.7809374060588,450.64449951798656,0.028925402087764625,0.3742000519738529,0.46832323892685734,459.06540379342476,0.009821650151044367,0.8893635836350741,0.9736593675639474,1.383333664099564e-271,1.4402818196115785,440.3089596598681,463.84967327425045,0.037724350011063286,0.34048689607101024,0.42477419512758197,394.1586529864366,0.04336018120901355,3.010534509191202,0.9783303931485658,0.001602515141597719,440.15,450.438,0.03907218075267681,0.35,38.17910233547277,343,0.0826440059650418,1,1.3041944895563127,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),1.4402818196115785,HM,SE,1,3,0.35,0.35,0.018898223650461357,2,0.5,1,0.05,0.039,60
44854_SRS5_Soil_62,1.0572635510198836,438.28183837245774,444.92834407797653,0.027693773772994878,0.3336288591417484,0.41287960779382554,265.78931730354833,0.01454310847074172,1.375542404418727,0.9562076995914193,6.191763817457491e-166,1.0921356961512323,438.2455793666336,544.0328466496925,0.028607208552161357,0.3339949404757993,0.4125346076810764,267.4506972158517,0.059649000876012256,5.461684027563588,0.9562808542644263,2.704220393142021e-4,438.19,443.943,0.05544368939003099,0.35,38.1769404085642,243,0.07912506792284252,1,1.0329833986026564,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE),1.0921356961512323,HM,SE | AICc,2,2,0.35,0.35,0.022452510468485443,2,0.5,1,0.05,0.055,60
44854_SRS5_Soil_63,1.0984754991252266,426.13222221925423,435.4260124718091,0.028773344435154283,0.32058602296324407,0.4051889542749467,342.20450578388125,0.009177739117270942,0.8354978444744244,0.9778149201374458,3.1349270424914273e-270,1.1079467241739225,426.11928946524154,948.9911460185373,0.02902143264537473,0.32179910851375393,0.40667994570407673,346.6493715816831,0.036875999847474604,3.3283188661412484,0.9776515035342944,5.550391033986854e-5,426.155,435.549,0.041240418549460305,0.35,38.17684460007183,326,0.08220955552901224,1,1.0086221541183562,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE),1.1079467241739225,HM,SE | AICc,2,2,0.35,0.35,0.019384707146759893,2,0.5,1,0.05,0.041,60
44854_SRS5_Soil_64,1.2300536002984137,424.27558126264694,432.71941672100365,0.03222837961204856,0.3562887024821912,0.440704265587559,322.6585648073991,0.013703429856503862,1.1140514407810669,0.9683867618073739,9.233643905934227e-199,1.3828770805975306,424.10514609680695,464.17144034939537,0.03623247596648342,0.3509476065288503,0.43418501419137473,316.8517508149285,0.058857609239500855,4.2561707085396865,0.9693151407881903,9.043131300854628e-4,424.174,433.109,0.050792297973963306,0.35,38.16678390614957,264,0.09208108460585301,1,1.1242413178271593,Noise (HM.RMSE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),1.3828770805975306,HM,SE,1,3,0.35,0.35,0.021541010921383226,2,0.5,1,0.05,0.051,60
44857_CP40_Water_76,0.6573113592801691,423.7849383181758,455.9457215578469,0.12228434691890144,0.5513014208496806,0.6768244418154031,553.3042365023764,0.0029315559704330848,0.4459919837143044,0.9947564507336653,2.9218984650457323e-303,0.7022318823833904,423.42419811620306,682.0868724803134,0.13064123403697647,0.5281819914396603,0.6562717505849869,538.960625131306,0.011978071795549574,1.7057146073880518,0.9950700705318529,5.050641123932608e-4,424.517,455.198,0.007126304683747683,0.35,5.375269818598253,266,0.3493838483397185,1,1.0683397943288464,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.7022318823833904,HM,,0,4,0.35,0.35,0.021459876881973802,2,0.5,1,0.05,0.0071,60
44857_CP40_Water_77,0.544264447211337,423.41366367357716,443.4863987774213,0.1013774500194147,0.4227491750779771,0.540040475856965,327.25338748460115,0.003595774597815428,0.6606668166989776,0.9913884575921539,1.2921761905739798e-206,0.5497698566459326,423.37935008185013,1368.4386166925929,0.10240291543912344,0.42659194904400666,0.5445395033424061,332.6546256933,0.014544558681824752,2.645572234636331,0.9912454426338755,1.083560778218387e-4,423.146,444.276,0.00944242558453888,0.35,5.368693403780678,200,0.2896498571983277,1,1.0101153207100038,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.5497698566459326,HM,MAE | AICc,2,2,0.35,0.35,0.024748737341529162,2,0.5,1,0.05,0.0094,60
