UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,p.val.lim,MDF.lim,warn.nb.obs
44638_MI_Soil_1,2.233741859900476,468.36460647172777,820.719886723913,0.45879593782836614,3.515713455601198,4.060614158142644,1184.991089298779,0.006342467299727254,0.2839391343102574,0.9983258684364957,1.5466305465925328e-289,2.557681955629116,460.33018207791434,1891.3306612507263,0.5253311103512349,1.3564155633259478,1.6965983092976669,822.2777405914023,0.011315619538836407,0.4424169906634498,0.9997077434890839,3.671075712391808e-4,460.17214188,810.22309846,1.5828038127207965e-4,0.025,4.86870452792917,209,18.351837513134644,1,1.1450212764258594,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.557681955629116,HM,SE,1,3,0.025,0.025,0.0017292861596651867,2,0.5,1,0.05,1.6e-4,60
44638_MI_Soil_10,3.648627774408698,452.9542126145266,614.2393522887221,0.753668876982222,2.8647566590102578,3.315492925976374,169.1766690561362,0.04704397454269775,1.2893607529017335,0.9950365759631431,3.4939567374535784e-35,4.196859358300208,449.1122633431828,1103.6481760377176,0.866912843674511,2.5664460215630043,2.7627466839490387,160.51862293043274,0.1709957332181237,4.074373683262514,0.9965535871496478,0.00132446948572414,449.2633139,606.9877176,5.629249880062419e-4,0.025,4.841154896853681,31,30.146755079288877,1,1.1502569233663078,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),4.196859358300208,HM,SE | nb.obs,1,3,0.025,0.025,0.004490132550669373,2,0.5,1,0.05,5.6e-4,60
44638_MI_Soil_2,3.9649796724387003,468.7862814875375,615.3810757150882,0.8144155234863926,2.1447129224524573,2.260811911456855,163.2005709864889,0.03572438722892971,0.9009979919255695,0.9972472631024275,4.809907116056626e-44,4.073303508391733,468.12928581407016,3285.0666411764205,0.8366654770427704,2.1443325682289793,2.239585736226168,165.09939432817941,0.14524460096383632,3.56576917640943,0.9972987099150192,2.9701245412862504e-4,470.46932886,615.0349748,6.724443606907686e-4,0.025,4.868497171401164,35,32.576620939455694,1,1.0273201491311574,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),4.073303508391733,HM,SE | AICc | nb.obs,2,2,0.025,0.025,0.004225771273642583,2,0.5,1,0.05,6.7e-4,60
44638_MI_Soil_3,3.206484294015497,473.42661085713496,691.4303189167236,0.658621474500268,2.714168633385941,3.328352917296598,315.76346289380365,0.022022922115969578,0.6868245747241806,0.9972713144157958,5.3959939447976775e-75,3.7351167514308954,467.89186680605746,1275.920293877596,0.767204164027687,1.876934519767206,1.9975030096680335,257.81944049309146,0.05797313561635251,1.5521104017469718,0.9990171898309606,9.494766994871616e-4,469.70012885,685.0253607,3.6660227448043507e-4,0.025,4.868478205100177,59,26.344858980010716,1,1.1648635729799224,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),3.7351167514308954,HM,SE | nb.obs,1,3,0.025,0.025,0.0032547227745205972,2,0.5,1,0.05,3.7e-4,60
44638_MI_Soil_4,2.284756627090878,462.82612988942776,713.8105179661826,0.4708900339151123,2.3874776830963267,3.0395127939411575,502.25993019203116,0.00972814384042118,0.42578468643322315,0.9982445169446078,2.661081181977202e-134,2.589754113433802,457.37211129895013,1582.3730069007102,0.5337502418624732,1.5329344950385282,1.8456591067941388,406.65800485288497,0.025859481374267464,0.9985303716722321,0.9993527207720599,4.7444428173274615e-4,459.24969739,703.75191611,2.2715337735775383e-4,0.025,4.851996140361622,98,18.835601356604492,1,1.1334923303105895,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.589754113433802,HM,SE,1,3,0.025,0.025,0.0025253813613805272,2,0.5,1,0.05,2.3e-4,60
44638_MI_Soil_5,2.536275641407475,460.60568382146664,568.3255835888885,0.5229121347933104,1.2946259627977255,1.3981743436077942,146.99513695029137,0.01813130694618937,0.7148791972834476,0.9980107590384902,3.7180298989285285e-53,2.57140449901637,460.36171914502387,4319.095569814701,0.5301547647445738,1.295116324152724,1.4123703611532628,150.27949180818607,0.07311202409486436,2.843271998739663,0.9979704698308228,1.373908606452778e-4,459.99259793,569.18514504,5.857838494852444e-4,0.025,4.850290273737823,40,20.916485391732415,1,1.0138505677519343,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.536275641407475,LM,RMSE | SE | AICc | nb.obs,3,1,0.025,0.025,0.003952847075210474,2,0.5,1,0.05,5.9e-4,60
44638_MI_Soil_6,3.8573810484572153,452.8765677417157,615.1677789751769,0.7955451531052022,2.3034908053958394,2.6191004980423265,173.49805649539348,0.036504763346160304,0.94636134951616,0.9969639340357913,2.422202099343748e-43,4.087831362644475,451.3429283812209,1916.4692342965407,0.8430731593301954,2.3134345001921086,2.509051986694741,173.05237976552553,0.14408636458852364,3.5247629318865097,0.9972137107679374,5.754269484660545e-4,454.45465258,615.09390404,5.913081377549168e-4,0.025,4.848726729590317,35,31.821806124208088,1,1.0597426884438679,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),4.087831362644475,HM,MAE | SE | nb.obs,2,2,0.025,0.025,0.004225771273642583,2,0.5,1,0.05,5.9e-4,60
44638_MI_Soil_7,4.815248416921646,559.0348252869513,991.2206578953217,0.9935306496744146,8.361959433238772,9.826273998302604,465.709588700872,0.048240687663145765,1.0018317537599792,0.9939142808761724,2.1199036266814605e-68,6.251040791675387,539.6467104308815,1568.2648245500707,1.2897778226912138,3.4786184293518527,3.700844614422827,346.91170490656725,0.08613341642212734,1.3779052047913782,0.9991367514324001,0.0012538937483087755,543.97717131,970.26149899,2.7790153602338187e-4,0.025,4.84660278824778,62,39.74122598697659,1,1.2981761791786504,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),6.251040791675387,HM,SE,1,3,0.025,0.025,0.0031750031750047624,2,0.5,1,0.05,2.8e-4,60
44638_MI_Soil_8,3.7486374609910738,553.7325176531815,744.1091512976446,0.7738887546522891,4.7631611894378585,5.873677739442131,236.38820416394077,0.06683215732927059,1.7828386453674647,0.9889941417375896,4.254053513413288e-35,5.137818117655721,543.0704428416739,942.478417216123,1.0606786348582622,2.873949068692942,3.38406596859311,199.22750835035458,0.19339400695757264,3.764127155318886,0.9963467337376506,0.002655627085361758,544.73860233,736.4194176,4.902729814627519e-4,0.025,4.843897056851988,36,30.95555018609156,1,1.3705828240582572,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),5.137818117655721,HM,SE | nb.obs,1,3,0.025,0.025,0.004166666666666667,2,0.5,1,0.05,4.9e-4,60
44638_MI_Soil_9,5.256588298575752,519.4461468785437,667.092611459934,1.0856357689808107,3.9672513773283886,4.64077017911184,119.84511715675131,0.13305539716754963,2.53121206398455,0.9885915993755006,3.612820106343173e-18,5.2909131073767,519.2918608098314,10734.802578446808,1.0927248233409996,3.9562163296673374,4.670878442493742,123.34799909667433,0.5209535765992007,9.84619414506877,0.9884442413153524,1.0696722401303159e-4,517.09812898,665.18893659,8.83566541148936e-4,0.025,4.841944645496169,19,43.42543075923243,1,1.006529864400879,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),5.256588298575752,LM,RMSE | SE | AICc | nb.obs,3,1,0.025,0.025,0.005735393346764044,2,0.5,1,0.05,8.8e-4,60
