UniqueID,best.flux,model,quality.check,LM.flux,HM.flux,LM.r2,HM.r2,LM.p.val,g.fact,HM.k,nb.obs
45003_FLM30_Water_156,0.769976750669384,HM,,0.54085546097906545,0.769976750669384,0.9869011433753515,0.9959151775374533,0,1.4236275793084523,0.0010686802856209778,690
45003_FLM30_Water_155,0.6948096484701762,HM,,0.6804560056450242,0.6948096484701762,0.998132751197532,0.9981516034325618,0,1.0210941526065977,6.656096182695193e-5,640
45003_FLM30_Water_154,0.6699548052135335,LM,RMSE | MAE | AICc,0.6699548052135335,0.6740790711006408,0.9954873579271775,0.9953135554212421,0,1.0061560359818493,2.2756352211200208e-5,613
45003_FLM30_Water_150,0.5027425330541611,HM,,0.4737184903324946,0.5027425330541611,0.9861864332535761,0.9864340564544252,0,1.0612685451676058,2.1878850263478558e-4,551
45003_FLM30_Water_145,0.5004426729077596,HM,,0.4345367640491971,0.5004426729077596,0.9891569836287217,0.9905992879568782,0,1.1516693506998656,4.719734169668046e-4,611
45003_FLM30_Water_149,0.49310459125993733,HM,,0.4750634470058268,0.49310459125993733,0.9868057282924172,0.9869023686139332,0,1.0379762837318216,1.3555738822057322e-4,556
45003_FLM30_Water_151,0.48237246526184174,HM,,0.4090497653156029,0.48237246526184174,0.972747075139376,0.9747074265906578,1.6145631786402405e-220,1.1792512944963227,0.0012017549476873,281
45003_FLM30_Water_153,0.4676142402787565,LM,RMSE | MAE | AICc,0.4676142402787565,0.4717152540901599,0.9885173728021304,0.9883642769730789,0,1.008770078962862,5.165017303381272e-5,373
45003_FLM30_Water_147,0.39522811957345705,HM,,0.3436536973831663,0.39522811957345705,0.9885587025432934,0.9899015596500186,0,1.1500767271908219,5.406597312192904e-4,529
45003_FLM30_Water_152,0.39010315031383774,HM,AICc,0.3842932601221128,0.39010315031383774,0.9637235891084327,0.9636878196311858,1.2581082379371214e-173,1.0151183764968421,1.289310658114672e-4,240
45003_FLM30_Water_148,0.3247659627353386,HM,AICc,0.3207217299451079,0.3247659627353386,0.9409254861447229,0.9408479876500123,1.1850601776963745e-141,1.0126097872785946,1.1490154784321906e-4,229
