index,flux_id,date,plot,surface,collar_notes,collar_location_notes,chamber_id,soil_temp_c,water_temp_c,water_depth_cm,start_time,end_time,temp_start,temp_end,pressure_start,pressure_end,rh_start,rh_end,pneumatophore_count,notes_1,notes_2,...24,...25,...26,...27,...28,...29,datetime,date_only,air_temp,temp_source,date_parsed,year,month,time_period,Diameter_cm,Height_cm,Chamber_Volume_cm3,Chamber_Volume_L,Offset_cm,Collar_Volume_cm3,Collar_Volume_L,Chamber+Collar_Volume_L,Ground_Surface_Area_cm2,analyzer_cell_volume_cm3,tubing_volume_cm3,filter_volume_cm3,chamber_volume_L,chamber_volume_cm3,surface_area_cm2,analyzer_cell_volume_L,tubing_volume_L,filter_volume_L,total_system_volume_cm3,total_system_volume_L,CH4_LM.flux,CH4_LM.C0,CH4_LM.Ct,CH4_LM.slope,CH4_LM.MAE,CH4_LM.RMSE,CH4_LM.AICc,CH4_LM.SE,CH4_LM.se.rel,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.C0,CH4_HM.Ci,CH4_HM.slope,CH4_HM.MAE,CH4_HM.RMSE,CH4_HM.AICc,CH4_HM.SE,CH4_HM.se.rel,CH4_HM.r2,CH4_HM.k,CH4_C0,CH4_Ct,CH4_MDF,CH4_prec,CH4_flux.term,CH4_nb.obs,CH4_k.max,CH4_k.mult,CH4_g.fact,CH4_HM.diagnose,CH4_LM.diagnose,CH4_best.flux,CH4_model,CH4_quality.check,CH4_HM.score,CH4_LM.score,CH4_RMSE.lim,CH4_MAE.lim,CH4_SE.lim,CH4_g.limit,CH4_g.reverse,CH4_k.ratio.lim,CH4_p.val.lim,CH4_MDF.lim,CH4_warn.nb.obs,CO2_LM.flux,CO2_LM.C0,CO2_LM.Ct,CO2_LM.slope,CO2_LM.MAE,CO2_LM.RMSE,CO2_LM.AICc,CO2_LM.SE,CO2_LM.se.rel,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.C0,CO2_HM.Ci,CO2_HM.slope,CO2_HM.MAE,CO2_HM.RMSE,CO2_HM.AICc,CO2_HM.SE,CO2_HM.se.rel,CO2_HM.r2,CO2_HM.k,CO2_C0,CO2_Ct,CO2_MDF,CO2_prec,CO2_flux.term,CO2_nb.obs,CO2_k.max,CO2_k.mult,CO2_g.fact,CO2_HM.diagnose,CO2_LM.diagnose,CO2_best.flux,CO2_model,CO2_quality.check,CO2_HM.score,CO2_LM.score,CO2_RMSE.lim,CO2_MAE.lim,CO2_SE.lim,CO2_g.limit,CO2_g.reverse,CO2_k.ratio.lim,CO2_p.val.lim,CO2_MDF.lim,CO2_warn.nb.obs,processing_date,timestamp_correction,primary_gas,measurement_type,notes
1,44638_MI_Soil_1,3/18/22,MI,Soil,1,north of tree plot,Soil 8 in,26.5,NA,NA,13:30:00,13:44:00,NA,NA,NA,NA,NA,NA,NA,"system time 13:45:00, real time 15:50:00",NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:30:00.000000Z,2022-03-18,25.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,4.960881291465231,2018.1136016453777,2800.653764021139,1.0189325030934393,8.338134747742343,9.728550655219665,1550.2105202906666,0.01519548817036444,0.30630622418857245,0.9980522543232649,9.858504307950186e-283,5.765868481854479,1998.2110915183234,4898.717036855633,1.1842715960228756,2.758966919148341,3.4310969602743757,1116.6562351504313,0.02314421671854011,0.4014003578364005,0.9997577287153949,4.0829828255537425e-4,2002.9722594,2783.8323129,6.331215250883186e-4,0.1,4.86870452792917,209,10.189325030934395,1,1.1622669729618726,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),5.765868481854479,HM,,0,4,0.1,0.1,0.006917144638660747,2,0.5,1,0.05,6.3e-4,60,2.233741859900476,468.36460647172777,820.719886723913,0.45879593782836614,3.515713455601198,4.060614158142644,1184.991089298779,0.006342467299727254,0.2839391343102574,0.9983258684364957,1.5466305465925328e-289,2.557681955629116,460.33018207791434,1891.3306612507263,0.5253311103512349,1.3564155633259478,1.6965983092976669,822.2777405914023,0.011315619538836407,0.4424169906634498,0.9997077434890839,3.671075712391808e-4,460.17214188,810.22309846,1.5828038127207965e-4,0.025,4.86870452792917,209,18.351837513134644,1,1.1450212764258594,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.557681955629116,HM,SE,1,3,0.025,0.025,0.0017292861596651867,2,0.5,1,0.05,1.6e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
2,44638_MI_Soil_2,3/18/22,MI,Soil,2,north of tree plot,Soil 8 in,26.7,NA,NA,13:50:00,13:52:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:50:00.000000Z,2022-03-18,25.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,6.633237688548143,1971.846179348241,2217.0928626476452,1.3624815738855782,3.405521218676839,3.7556401060915756,198.72800255761112,0.05934502590091963,0.8946615316284382,0.9972857437297357,3.812856199273688e-44,6.736417369503082,1971.213603223244,10024.7689665887,1.3836749067195877,3.42235386554764,3.7539608828375663,201.25583691636652,0.24143953253526243,3.584094026422719,0.9972882775589631,1.7180920032085946e-4,1972.1162951,2211.8091262,0.0026897774427630744,0.1,4.868497171401164,35,13.624815738855778,1,1.0155549500559993,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),6.736417369503082,HM,SE | AICc | nb.obs,2,2,0.1,0.1,0.016903085094570332,2,0.5,1,0.05,0.0027,60,3.9649796724387003,468.7862814875375,615.3810757150882,0.8144155234863926,2.1447129224524573,2.260811911456855,163.2005709864889,0.03572438722892971,0.9009979919255695,0.9972472631024275,4.809907116056626e-44,4.073303508391733,468.12928581407016,3285.0666411764205,0.8366654770427704,2.1443325682289793,2.239585736226168,165.09939432817941,0.14524460096383632,3.56576917640943,0.9972987099150192,2.9701245412862504e-4,470.46932886,615.0349748,6.724443606907686e-4,0.025,4.868497171401164,35,32.576620939455694,1,1.0273201491311574,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),4.073303508391733,HM,SE | AICc | nb.obs,2,2,0.025,0.025,0.004225771273642583,2,0.5,1,0.05,6.7e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
3,44638_MI_Soil_3,3/18/22,MI,Soil,3,north of tree plot,Soil 8 in,27,NA,NA,13:54:00,13:56:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T13:54:00.000000Z,2022-03-18,25.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,4.378176240115703,1977.0350172625485,2274.700175537295,0.8992905083829197,4.123051829558412,5.076886558156814,365.5854971454609,0.033592554647935126,0.767272782217816,0.9965969155856863,2.923538569428109e-72,5.154361486953451,1968.9265933284994,3010.2879969005694,1.0587212820535552,2.690943902171257,3.25707513536549,315.51337985888296,0.0952800109138823,1.8485317949672702,0.9985993379635917,0.0010166703686366112,1966.8957145,2261.4692768,0.0014664090979217403,0.1,4.868478205100177,59,8.992905083829196,1,1.1772850621511834,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),5.154361486953451,HM,SE | nb.obs,1,3,0.1,0.1,0.013018891098082389,2,0.5,1,0.05,0.0015,60,3.206484294015497,473.42661085713496,691.4303189167236,0.658621474500268,2.714168633385941,3.328352917296598,315.76346289380365,0.022022922115969578,0.6868245747241806,0.9972713144157958,5.3959939447976775e-75,3.7351167514308954,467.89186680605746,1275.920293877596,0.767204164027687,1.876934519767206,1.9975030096680335,257.81944049309146,0.05797313561635251,1.5521104017469718,0.9990171898309606,9.494766994871616e-4,469.70012885,685.0253607,3.6660227448043507e-4,0.025,4.868478205100177,59,26.344858980010716,1,1.1648635729799224,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),3.7351167514308954,HM,SE | nb.obs,1,3,0.025,0.025,0.0032547227745205972,2,0.5,1,0.05,3.7e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
4,44638_MI_Soil_4,3/18/22,MI,Soil,4,north of tree plot,Soil 8 in,27,NA,NA,14:00:00,14:02:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:00:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,5.60362420217869,1940.16682636498,2555.734442941575,1.15491110051894,9.301362605502565,10.672043406881844,748.4222727362437,0.0341565179591657,0.6095433370761308,0.9964088409133655,2.216510087878832e-119,5.638530164549983,1939.5040321929287,46432.20627856828,1.1621052452300056,9.55312712562554,10.932924598485677,755.3307130157106,0.14025300714834452,2.4874036859841517,0.9962326483347089,2.611900798461118e-5,1958.0343324,2561.7503059,9.086135094310153e-4,0.1,4.851996140361622,98,11.549111005189399,1,1.006229176174541,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),5.60362420217869,LM,RMSE | MAE | SE | AICc,4,0,0.1,0.1,0.010101525445522109,2,0.5,1,0.05,9.1e-4,60,2.284756627090878,462.82612988942776,713.8105179661826,0.4708900339151123,2.3874776830963267,3.0395127939411575,502.25993019203116,0.00972814384042118,0.42578468643322315,0.9982445169446078,2.661081181977202e-134,2.589754113433802,457.37211129895013,1582.3730069007102,0.5337502418624732,1.5329344950385282,1.8456591067941388,406.65800485288497,0.025859481374267464,0.9985303716722321,0.9993527207720599,4.7444428173274615e-4,459.24969739,703.75191611,2.2715337735775383e-4,0.025,4.851996140361622,98,18.835601356604492,1,1.1334923303105895,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.589754113433802,HM,SE,1,3,0.025,0.025,0.0025253813613805272,2,0.5,1,0.05,2.3e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
5,44638_MI_Soil_5,3/18/22,MI,Soil,5,north of tree plot,Soil 8 in,26.6,NA,NA,14:12:00,14:14:00,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:12:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,2.5358229265805137,1960.3319263785108,2068.0325985844693,0.5228187971163032,1.8858473931652384,2.3218282324608435,187.57014184926035,0.030109106601432928,1.1873505159145405,0.994531072897847,8.243180483145801e-45,2.5602344708408724,1960.1603996453314,7308.4797041308575,0.527851803984477,1.8977190430052246,2.3426989383480237,190.76223237362834,0.12091801781943609,4.722927497328879,0.9944331077165803,9.869489346714555e-5,1960.8223103999999,2067.0341717,0.0023431353979409776,0.1,4.850290273737823,40,5.228187971163032,1,1.0096266754292962,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.5602344708408724,HM,SE | AICc | nb.obs,2,2,0.1,0.1,0.015811388300841896,2,0.5,1,0.05,0.0023,60,2.536275641407475,460.60568382146664,568.3255835888885,0.5229121347933104,1.2946259627977255,1.3981743436077942,146.99513695029137,0.01813130694618937,0.7148791972834476,0.9980107590384902,3.7180298989285285e-53,2.57140449901637,460.36171914502387,4319.095569814701,0.5301547647445738,1.295116324152724,1.4123703611532628,150.27949180818607,0.07311202409486436,2.843271998739663,0.9979704698308228,1.373908606452778e-4,459.99259793,569.18514504,5.857838494852444e-4,0.025,4.850290273737823,40,20.916485391732415,1,1.0138505677519343,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.536275641407475,LM,RMSE | SE | AICc | nb.obs,3,1,0.025,0.025,0.003952847075210474,2,0.5,1,0.05,5.9e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
6,44638_MI_Soil_6,3/18/22,MI,Soil,6,north of tree plot,Soil 8 in,27.6,NA,NA,14:16:00,14:18:30,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:16:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,2.7081703260766594,1946.3298385760656,2060.2704207804823,0.5585322657079255,1.8070755405513605,2.1342237180961674,159.16709964640876,0.02974659880943719,1.0984020658896756,0.9959142115099591,3.2533953202395664e-41,2.7865183171113186,1945.8052274487607,3984.3043663192643,0.5746907327455758,1.777175352950722,2.1183328221821465,161.20308688487742,0.11903014832429354,4.27164420895276,0.9959748285151714,2.819185555624035e-4,1944.5929513,2055.3198132,0.002365232551019667,0.1,4.848726729590317,35,5.585322657079254,1,1.0289302302297072,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.7865183171113186,HM,SE | AICc | nb.obs,2,2,0.1,0.1,0.016903085094570332,2,0.5,1,0.05,0.0024,60,3.8573810484572153,452.8765677417157,615.1677789751769,0.7955451531052022,2.3034908053958394,2.6191004980423265,173.49805649539348,0.036504763346160304,0.94636134951616,0.9969639340357913,2.422202099343748e-43,4.087831362644475,451.3429283812209,1916.4692342965407,0.8430731593301954,2.3134345001921086,2.509051986694741,173.05237976552553,0.14408636458852364,3.5247629318865097,0.9972137107679374,5.754269484660545e-4,454.45465258,615.09390404,5.913081377549168e-4,0.025,4.848726729590317,35,31.821806124208088,1,1.0597426884438679,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),4.087831362644475,HM,MAE | SE | nb.obs,2,2,0.025,0.025,0.004225771273642583,2,0.5,1,0.05,5.9e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
7,44638_MI_Soil_7,3/18/22,MI,Soil,7,north of tree plot,Soil 8 in,27.5,NA,NA,14:23:00,14:25:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:23:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,1.8606828567793952,1979.3771814609618,2146.3801478814185,0.38391486533438374,2.03303480222828,2.6144158849458528,301.53121822025287,0.012835101092135814,0.6898059519047613,0.9971056867655754,4.39200078213222e-78,2.0633654331060276,1976.5461266549935,2848.875134180058,0.4257343799886699,1.8081895814393316,2.225368141283698,283.84050498071366,0.046029941018932506,2.230818655793931,0.9979029928274102,4.8804336014979683e-4,1976.374733,2144.0377860000003,0.0011116061440935275,0.1,4.84660278824778,62,3.8391486533438375,1,1.108929136197584,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),2.0633654331060276,HM,,0,4,0.1,0.1,0.01270001270001905,2,0.5,1,0.05,0.0011,60,4.815248416921646,559.0348252869513,991.2206578953217,0.9935306496744146,8.361959433238772,9.826273998302604,465.709588700872,0.048240687663145765,1.0018317537599792,0.9939142808761724,2.1199036266814605e-68,6.251040791675387,539.6467104308815,1568.2648245500707,1.2897778226912138,3.4786184293518527,3.700844614422827,346.91170490656725,0.08613341642212734,1.3779052047913782,0.9991367514324001,0.0012538937483087755,543.97717131,970.26149899,2.7790153602338187e-4,0.025,4.84660278824778,62,39.74122598697659,1,1.2981761791786504,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),6.251040791675387,HM,SE,1,3,0.025,0.025,0.0031750031750047624,2,0.5,1,0.05,2.8e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
8,44638_MI_Soil_8,3/18/22,MI,Soil,8,north of tree plot,Soil 8 in,27.6,NA,NA,14:34:00,14:36:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:34:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,1.211344140250755,1995.2371452665138,2056.7559296263425,0.250076359186295,2.769778553344218,3.22773840239587,193.28185729284974,0.03672600545959437,3.031839114852356,0.9688028337370062,2.114737201519152e-27,1.9011447860968897,1990.113780418384,2091.7216802098033,0.3924824916350368,1.9827272844848443,2.367133849806381,173.49484813156155,0.14953672541612867,7.865614786927002,0.9832210754754482,0.0038627163088768225,1990.2783296999999,2056.6176482,0.0019610919258510077,0.1,4.843897056851988,36,2.5007635918629494,1,1.5694505986575724,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),1.9011447860968897,HM,SE | nb.obs,1,3,0.1,0.1,0.016666666666666666,2,0.5,1,0.05,0.002,60,3.7486374609910738,553.7325176531815,744.1091512976446,0.7738887546522891,4.7631611894378585,5.873677739442131,236.38820416394077,0.06683215732927059,1.7828386453674647,0.9889941417375896,4.254053513413288e-35,5.137818117655721,543.0704428416739,942.478417216123,1.0606786348582622,2.873949068692942,3.38406596859311,199.22750835035458,0.19339400695757264,3.764127155318886,0.9963467337376506,0.002655627085361758,544.73860233,736.4194176,4.902729814627519e-4,0.025,4.843897056851988,36,30.95555018609156,1,1.3705828240582572,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),5.137818117655721,HM,SE | nb.obs,1,3,0.025,0.025,0.004166666666666667,2,0.5,1,0.05,4.9e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
9,44638_MI_Soil_9,3/18/22,MI,Soil,9,north of tree plot,Soil 8 in,28.1,NA,NA,14:39:00,14:41:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:39:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,2.1927661075778735,1971.1603538959087,2032.7505232316903,0.4528688921748658,2.291928144778503,2.7329333468707935,99.7239339603383,0.07835585858938761,3.573379683250367,0.9775040548940918,1.1651625787605371e-15,2.1996716826569718,1971.126907211259,9240.911817530274,0.4542950908583889,2.3045461703926726,2.746626491675803,103.17099739543139,0.30581982281877723,13.9029758499859,0.9772808857970313,6.249085722103619e-5,1974.7226966,2034.9057683999997,0.003534266164595744,0.1,4.841944645496169,19,4.528688921748658,1,1.0031492529254413,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.1996716826569718,HM,SE | AICc | nb.obs,2,2,0.1,0.1,0.022941573387056175,2,0.5,1,0.05,0.0035,60,5.256588298575752,519.4461468785437,667.092611459934,1.0856357689808107,3.9672513773283886,4.64077017911184,119.84511715675131,0.13305539716754963,2.53121206398455,0.9885915993755006,3.612820106343173e-18,5.2909131073767,519.2918608098314,10734.802578446808,1.0927248233409996,3.9562163296673374,4.670878442493742,123.34799909667433,0.5209535765992007,9.84619414506877,0.9884442413153524,1.0696722401303159e-4,517.09812898,665.18893659,8.83566541148936e-4,0.025,4.841944645496169,19,43.42543075923243,1,1.006529864400879,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),5.256588298575752,LM,RMSE | SE | AICc | nb.obs,3,1,0.025,0.025,0.005735393346764044,2,0.5,1,0.05,8.8e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
10,44638_MI_Soil_10,3/18/22,MI,Soil,10,north of tree plot,Soil 8 in,27.6,NA,NA,14:44:00,14:46:00,NA,NA,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,2022-03-18T14:44:00.000000Z,2022-03-18,26.6,Weather station,2022-03-18,2022,03,March_2022,19.38,9.68,1905.7,1.91,5,1621.5,1.62,3.53,324.3,35,29,277,3.53,3530,324.3,0.035,0.029,0.277,3871,3.871,2.20537897887969,1952.4206137294939,2049.9079099502737,0.4555481131812142,2.7536158391853127,3.236481127889812,167.68125136122987,0.04592286552490014,2.0823117461756384,0.9871534721300521,3.415401146189846e-29,2.233935798385401,1952.2124126909564,5686.516610574649,0.46144687496722325,2.7588719102135832,3.243531710387435,170.46574235070824,0.18299632146852116,8.19165535557394,0.9870978365078229,1.235697068355424e-4,1951.7591293,2047.2225595000002,0.0022516999520249678,0.1,4.841154896853681,31,4.555481131812142,1,1.0129487130235628,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.233935798385401,HM,SE | AICc | nb.obs,2,2,0.1,0.1,0.01796053020267749,2,0.5,1,0.05,0.0023,60,3.648627774408698,452.9542126145266,614.2393522887221,0.753668876982222,2.8647566590102578,3.315492925976374,169.1766690561362,0.04704397454269775,1.2893607529017335,0.9950365759631431,3.4939567374535784e-35,4.196859358300208,449.1122633431828,1103.6481760377176,0.866912843674511,2.5664460215630043,2.7627466839490387,160.51862293043274,0.1709957332181237,4.074373683262514,0.9965535871496478,0.00132446948572414,449.2633139,606.9877176,5.629249880062419e-4,0.025,4.841154896853681,31,30.146755079288877,1,1.1502569233663078,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),4.196859358300208,HM,SE | nb.obs,1,3,0.025,0.025,0.004490132550669373,2,0.5,1,0.05,5.6e-4,60,2025-09-08,-25220 seconds,CH4dry_ppb,soil water,"Timestamps corrected by -25220 seconds, CH4 focus, soil water measurements"
