no,index,flux_id,plot,date,start_time,end_time,component,status,species,analyzer,analyzer_id,chamber,chamber_class,chamber_vol,chamber_area,height,diameter,stem_temp,air_temp,soil_temp,lenticels,above,water_depth,datetime,date_only,time_period,analyzer_cell_volume_cm3,tubing_volume_cm3,filter_volume_cm3,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,analyzer_cell_volume_L,tubing_volume_L,chamber_volume_L,filter_volume_L,total_system_volume_L,CO2_LM.flux,CO2_LM.C0,CO2_LM.Ct,CO2_LM.slope,CO2_LM.MAE,CO2_LM.RMSE,CO2_LM.AICc,CO2_LM.SE,CO2_LM.se.rel,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.C0,CO2_HM.Ci,CO2_HM.slope,CO2_HM.MAE,CO2_HM.RMSE,CO2_HM.AICc,CO2_HM.SE,CO2_HM.se.rel,CO2_HM.r2,CO2_HM.k,CO2_C0,CO2_Ct,CO2_MDF,CO2_prec,CO2_flux.term,CO2_nb.obs,CO2_k.max,CO2_k.mult,CO2_g.fact,CO2_HM.diagnose,CO2_LM.diagnose,CO2_best.flux,CO2_model,CO2_quality.check,CO2_HM.score,CO2_LM.score,CO2_RMSE.lim,CO2_MAE.lim,CO2_SE.lim,CO2_g.limit,CO2_g.reverse,CO2_k.ratio.lim,CO2_p.val.lim,CO2_MDF.lim,CO2_warn.nb.obs,CH4_LM.flux,CH4_LM.C0,CH4_LM.Ct,CH4_LM.slope,CH4_LM.MAE,CH4_LM.RMSE,CH4_LM.AICc,CH4_LM.SE,CH4_LM.se.rel,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.C0,CH4_HM.Ci,CH4_HM.slope,CH4_HM.MAE,CH4_HM.RMSE,CH4_HM.AICc,CH4_HM.SE,CH4_HM.se.rel,CH4_HM.r2,CH4_HM.k,CH4_C0,CH4_Ct,CH4_MDF,CH4_prec,CH4_flux.term,CH4_nb.obs,CH4_k.max,CH4_k.mult,CH4_g.fact,CH4_HM.diagnose,CH4_LM.diagnose,CH4_best.flux,CH4_model,CH4_quality.check,CH4_HM.score,CH4_LM.score,CH4_RMSE.lim,CH4_MAE.lim,CH4_SE.lim,CH4_g.limit,CH4_g.reverse,CH4_k.ratio.lim,CH4_p.val.lim,CH4_MDF.lim,CH4_warn.nb.obs
286,Mar_23_286,Mar_23_286_SRS6_stem,SRS6,3/10/23,16:19:00,16:21:00,stem,dead,RHMA,LGR,LGR3,B5,B,NA,NA,180,12,27.5,28.3,26.3,NA,sediment,30,2023-03-10T16:19:00.000000Z,2023-03-10,March_2023,70,29,849,418.99555555555554,107.68,1366.9955555555557,0.07,0.029,0.4189955555555556,0.849,1.3669955555555555,0.49797876481984227,507.89483982003054,522.9288116782266,0.09699336682707098,0.5374453304586548,0.6620519660055464,322.20643669611786,0.006077744953993772,1.220482756165831,0.9772869910316242,1.6062155891890378e-129,0.5046040111692218,507.8613221383202,1063.8958286286802,0.09828379323655365,0.5387204941502003,0.6631688932687153,324.8420251197428,0.024482710793928886,4.851866067651703,0.977210843078837,1.7675844230767646e-4,508.081,523.524,0.01151893253965753,0.35,5.134152789104499,157,0.2771239052202028,1,1.0133042748354468,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.5046040111692218,HM,AICc,1,3,0.35,0.35,0.027933040956366773,2,0.5,1,0.05,0.012,60,-0.3633363967698423,2052.290748382494,2041.3216277091005,-0.07076852047350456,1.7021027235894037,2.1352166880601047,689.8939564882272,0.019601637209596172,-5.394900534011997,0.6871140159427664,3.6446925496579956e-41,-0.5414860851429568,2053.1113579113653,2033.4796817150939,-0.10546746608166349,1.6746532470353694,2.105438132015746,687.590262760214,0.1037941623621721,-19.168389587475655,0.6957804164843749,0.0053723108015450325,2051.56,2042.78,0.02962011224483365,0.9,5.134152789104499,157,0.07863168941500506,1,1.49031610913994,Noise (HM.RMSE) | Noise (HM.MAE) | Intercept (HM),Noise (LM.RMSE) | Noise (LM.MAE),-0.5414860851429568,HM,Intercept (HM),0,4,0.9,0.9,0.071827819602086,2,0.5,1,0.05,0.03,60
276,Mar_23_276,Mar_23_276_SRS6_stem,SRS6,3/10/23,14:20:00,14:23:00,stem,alive,RHMA,LGR,LGR3,C2,C,NA,NA,80,39.5,27,30.2,25.8,NA,sediment,15,2023-03-10T14:20:00.000000Z,2023-03-10,March_2023,70,29,849,1064.6016666666667,213.35,2012.6016666666667,0.07,0.029,1.064601666666667,0.849,2.012601666666667,0.23102235373731897,592.1733436368814,607.6603737394144,0.06097255945879094,0.7296404867944676,0.8809076094774108,670.2527680243625,0.0028313476929060347,1.225573043951142,0.9629664953910427,9.670687374137946e-185,0.27362192737220964,591.7195034160474,644.8117204568335,0.07221564911809664,0.7039344309109199,0.8574674972476741,658.4543257871227,0.012468258296647038,4.556746755053146,0.964911126686858,0.0013601927578691913,591.213,606.809,0.005200528039895755,0.35,3.7889561433526224,257,0.1742073127394027,1,1.1843958947943538,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.27362192737220964,HM,,0,4,0.35,0.35,0.021832400154313186,2,0.5,1,0.05,0.0052,60,0.7934866242512187,2068.9993513139393,2122.1922611641635,0.20942090492214288,6.652809204110988,7.950943493367841,1801.100636145561,0.025555330972482165,3.2206379025730523,0.7900067612059305,1.2978135214595015e-88,0.7939416646405358,2068.9927202772747,16950.82807359975,0.20954100142685314,6.657076687872694,7.955922670248785,1803.4862898373565,0.10218945485486491,12.871154066606657,0.7897463118210962,1.4080319829641955e-5,2076.17,2122.65,0.013372786388303373,0.9,3.7889561433526224,257,0.23268989435793655,1,1.0005734695146833,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.7939416646405358,HM,AICc | Intercept,1,3,0.9,0.9,0.05614045753966248,2,0.5,1,0.05,0.013,60
277,Mar_23_277,Mar_23_277_SRS6_stem,SRS6,3/10/23,14:39:30,14:42:30,stem,alive,RHMA,LGR,LGR3,C2,C,NA,NA,130,38.9,27.1,30.2,25.8,NA,sediment,15,2023-03-10T14:39:30.000000Z,2023-03-10,March_2023,70,29,849,1064.6016666666667,213.35,2012.6016666666667,0.07,0.029,1.064601666666667,0.849,2.012601666666667,0.30469842675638953,571.9912448902879,587.7456591310995,0.08037966449393663,0.7892907288418195,0.9714604545251613,556.5573027247183,0.00462662120033938,1.5184263501427346,0.9565431303392355,1.196433497393701e-135,0.30570897228964616,571.9817234158922,2373.7707714345856,0.08064624713364274,0.7911511790901643,0.974044077341233,559.6926189568359,0.018616432021120434,6.089592949035909,0.9563145139805012,4.475898397890919e-5,573.249,588.087,0.006734817642874697,0.35,3.79074021613233,198,0.22965618426839043,1,1.0033165433245397,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.30570897228964616,HM,AICc,1,3,0.35,0.35,0.02487341690815455,2,0.5,1,0.05,0.0067,60,0.16474577315794017,2007.116233717784,2015.6344042327507,0.04346005364778843,2.1831488607627976,2.673284006811968,957.4132124515114,0.012731627317233292,7.72804489801848,0.45795813762330595,4.361495527133618e-28,0.1766554300710181,2007.0155452696988,2071.979436522479,0.0466018297215995,2.181619084860525,2.6728919229304133,959.4386704077273,0.053640531117711575,30.364496067937047,0.4581171258149044,7.173497280245697e-4,2007.3400000000001,2016.5000000000002,0.017318102510249223,0.9,3.79074021613233,198,0.0482889484975427,1,1.0722911227692637,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.1766554300710181,HM,AICc,1,3,0.9,0.9,0.06396021490668313,2,0.5,1,0.05,0.017,60
278,Mar_23_278,Mar_23_278_SRS6_stem,SRS6,3/10/23,14:46:00,14:49:00,stem,alive,RHMA,LGR,LGR3,C2,C,NA,NA,180,34.5,26.6,30.2,25.8,NA,sediment,15,2023-03-10T14:46:00.000000Z,2023-03-10,March_2023,70,29,849,1064.6016666666667,213.35,2012.6016666666667,0.07,0.029,1.064601666666667,0.849,2.012601666666667,0.38620009988402276,586.652045508864,608.0452840290526,0.10187256438185044,0.6561518048669907,0.8078168310995426,517.2552679884002,0.003476579435352191,0.9002015888644824,0.983187453571869,1.6551146117751555e-188,0.38976194957818844,586.6181483171554,1666.4505296404836,0.10281211556890692,0.6584669499918677,0.8113024202735231,521.158670728034,0.014012839490040058,3.5952302437950023,0.9830438154041936,9.521118031569981e-5,586.943,608.353,0.006288408300268581,0.35,3.7910118610190593,212,0.2910644696624298,1,1.009222808837272,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.38976194957818844,HM,AICc,1,3,0.35,0.35,0.02403809869102058,2,0.5,1,0.05,0.0063,60,0.5979582871060404,2031.7243430897045,2064.8477531173676,0.1577305239412529,1.8761041369660294,2.3782998645639473,975.0929399689138,0.010235424767010176,1.7117288927538605,0.9417601859285193,7.666897683050094e-132,0.6911362570507423,2030.8923101431935,2161.058953460705,0.18230917823215634,1.859486596174019,2.349885802097669,972.0746692140125,0.04490604072197382,6.497422217957361,0.9431434803023255,0.001400582926514091,2033.5,2064.4300000000003,0.01617019277211921,0.9,3.7910118610190593,212,0.17525613771250323,1,1.155826872800206,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.6911362570507423,HM,,0,4,0.9,0.9,0.06181225377691006,2,0.5,1,0.05,0.016,60
279,Mar_23_279,Mar_23_279_SRS6_root,SRS6,3/10/23,15:00:00,15:03:00,root,alive,RHMA,LGR,LGR3,B5,B,NA,NA,60,8.5,28.9,30.2,25.8,NA,sediment,15,2023-03-10T15:00:00.000000Z,2023-03-10,March_2023,70,29,849,418.99555555555554,107.68,1366.9955555555557,0.07,0.029,0.4189955555555556,0.849,1.3669955555555555,0.009815909221273547,491.0032209245929,491.40919100037155,0.0019240287951595967,0.5979747845782086,0.75241338907671,491.66708047999543,0.0042808098002199944,43.61093510260263,0.01959820033457249,0.022828464876142762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.194,492.759,0.008422696452147068,0.35,5.101747565300511,214,0.00549722512902742,1,NA,HM.flux is NA,NA,0.009815909221273547,LM,HM.flux is NA,NA,NA,0.35,0.35,0.023925507445863213,2,0.5,1,0.05,0.0084,60,0.0017539776460734704,2001.7136341010057,2001.7861757700289,3.437993792564597e-4,2.1675557298474435,2.7050327453940155,1039.3287775148735,0.01539011779230596,877.4409312888872,-0.004655428650196303,0.9093711801794231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999.5,1998.77,0.021658362305521036,0.9,5.101747565300511,214,3.819993102849553e-4,1,NA,HM.flux is NA,NA,0.0017539776460734704,LM,HM.flux is NA,NA,NA,0.9,0.9,0.061522733432219694,2,0.5,1,0.05,0.022,60
280,Mar_23_280,Mar_23_280_SRS6_stem,SRS6,3/10/23,15:16:15,15:19:15,stem,alive,RHMA,LGR,LGR3,C2,C,NA,NA,85,26.5,27.9,28.3,26.4,NA,sediment,22,2023-03-10T15:16:15.000000Z,2023-03-10,March_2023,70,29,849,1064.6016666666667,213.35,2012.6016666666667,0.07,0.029,1.064601666666667,0.849,2.012601666666667,0.7261927136765831,480.06195658516117,523.6529292576208,0.1903535924561559,0.5749173149840944,0.7203762733920933,510.1278292979033,0.0027366096811043314,0.37684345072114106,0.9967443345461491,5.044596376112436e-287,0.7436299161957922,479.8888159539298,1415.3605798573615,0.1949243270275788,0.571229528682423,0.717214268039186,510.16673625773024,0.011087303496048551,1.4909706097850624,0.9967728665025455,2.0837008079668855e-4,480.074,523.606,0.0058053848859869065,0.35,3.8149672107913957,231,0.5438674070175882,1,1.0240118114528136,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.7436299161957922,HM,AICc,1,3,0.35,0.35,0.023028309323591914,2,0.5,1,0.05,0.0058,60,0.21341984043051618,2019.723155856336,2032.5340506185087,0.05594277188721717,1.9404024273486185,2.4227787025551724,1070.4861080275984,0.009203800704548112,4.312532839487631,0.7000106619854531,5.125502108281683e-62,0.409858710677867,2018.015809805339,2035.6046859734956,0.10743439930977647,1.819179133546602,2.3151679694908016,1051.567389258748,0.057343413097281005,13.991019735176666,0.7260676421920678,0.0061080877642585235,2018.66,2036.0299999999997,0.014928132563966332,0.9,3.8149672107913957,231,0.06215863543024129,1,1.9204339664535832,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.409858710677867,HM,,0,4,0.9,0.9,0.059215652546379206,2,0.5,1,0.05,0.015,60
281,Mar_23_281,Mar_23_281_SRS6_stem,SRS6,3/10/23,15:25:00,15:28:00,stem,alive,RHMA,LGR,LGR3,C2,C,NA,NA,135,25,27.6,28.3,26.4,NA,sediment,22,2023-03-10T15:25:00.000000Z,2023-03-10,March_2023,70,29,849,1064.6016666666667,213.35,2012.6016666666667,0.07,0.029,1.064601666666667,0.849,2.012601666666667,0.5879350196494895,534.5117164439188,561.4820785158778,0.15411635469690846,0.6756148840374381,0.8862553685070085,465.6974182436122,0.005019737395936519,0.8537911891911366,0.9873319217328228,3.574228382721014e-168,0.6437378568574865,534.0975551797917,695.153966265787,0.168744042391662,0.676577365723384,0.8665057515284579,459.8133664976517,0.02098782602776247,3.260306319441587,0.9878902304239289,0.0010477325382692278,534.638,561.323,0.007586404193309721,0.35,3.8148775372071744,177,0.440332441991167,1,1.0949132733091238,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.6437378568574865,HM,,0,4,0.35,0.35,0.026307610980099008,2,0.5,1,0.05,0.0076,60,0.16304266594832645,1994.707119879821,2002.186381340425,0.04273863691773656,1.921842883760921,2.436609025650811,823.7179635902149,0.01380091774895591,8.464605058242775,0.44050301690653226,4.6667449326530605e-24,0.29495635328029784,1993.8191326779984,2004.560838864362,0.07731738447788597,1.899361746239513,2.4030782287044543,820.906479725938,0.08475181076054523,28.73367866736722,0.4557958245390741,0.007197868116709286,1994.49,2002.9599999999998,0.019507896497082143,0.9,3.8148775372071744,177,0.047487374353040616,1,1.8090746465945249,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.29495635328029784,HM,,0,4,0.9,0.9,0.0676481425202546,2,0.5,1,0.05,0.02,60
282,Mar_23_282,Mar_23_282_SRS6_stem,SRS6,3/10/23,15:32:00,15:35:00,stem,alive,RHMA,LGR,LGR3,C2,C,NA,NA,185,25,27.5,28.3,26.4,NA,sediment,22,2023-03-10T15:32:00.000000Z,2023-03-10,March_2023,70,29,849,1064.6016666666667,213.35,2012.6016666666667,0.07,0.029,1.064601666666667,0.849,2.012601666666667,0.6165609787662317,558.9325314693691,597.717210632617,0.16160282984686625,0.6709036101562404,0.8477316648109442,612.9145852917014,0.003007153677086215,0.4877301322415302,0.9942996204669784,1.6009012814277736e-271,0.6931774616274352,558.1498362315366,742.0727746484505,0.18168428305212792,0.6234324831880963,0.7724397372932407,569.9656053592623,0.011913825301361817,1.7187265831451957,0.9952672215345965,9.878282970897767e-4,559.109,596.274,0.00554087146512322,0.35,3.8152857802705604,242,0.4617223709910465,1,1.1242642423049813,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.6931774616274352,HM,,0,4,0.35,0.35,0.022498852128662875,2,0.5,1,0.05,0.0055,60,0.12173709390241778,1993.0082058546898,2000.6660601333037,0.03190772616089189,1.9590552465088034,2.4366946468886157,1123.93804492833,0.008643672958661426,7.100278708468295,0.45022078657753806,3.0713438743173726e-33,0.12332314390883602,1992.9914384509702,2285.3589884154403,0.03232343551997056,1.958837232428349,2.4367252525952368,1126.0120601285707,0.034772418552338584,28.196182363014806,0.4502071043332255,1.1055753459608858e-4,1990.1,1999.23,0.014247955196031139,0.9,3.8152857802705604,242,0.035453029067657654,1,1.0130284858589576,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.12332314390883602,HM,AICc | Intercept,1,3,0.9,0.9,0.057854191187990255,2,0.5,1,0.05,0.014,60
283,Mar_23_283,Mar_23_283_SRS6_root,SRS6,3/10/23,15:44:00,15:47:00,root,alive,RHMA,LGR,LGR3,B5,B,NA,NA,60,11.5,28.8,28.3,26.4,NA,sediment,22,2023-03-10T15:44:00.000000Z,2023-03-10,March_2023,70,29,849,418.99555555555554,107.68,1366.9955555555557,0.07,0.029,0.4189955555555556,0.849,1.3669955555555555,0.7300890003214688,581.4054785554429,615.8187035700892,0.14220340915143106,0.6687353599725837,0.852677272213441,620.7674202256247,0.004015273465706481,0.5499704096265657,0.9927034483900867,8.544590313707635e-261,0.7550350679540159,581.2116062909544,1108.8512114965934,0.14706229054905298,0.6636373400963168,0.8481721164265644,620.2495804256354,0.016359674335744926,2.1667436427921363,0.9927803479679705,2.787173083637985e-4,580.93,615.028,0.007394819331382794,0.35,5.1341174215029115,244,0.4062954547183745,1,1.0341685296197627,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.7550350679540159,HM,,0,4,0.35,0.35,0.022406453988256796,2,0.5,1,0.05,0.0074,60,0.5842980308774475,2011.5671437358897,2039.1084155580193,0.11380690835590702,1.9344537110698155,2.537162899479997,1152.892690370976,0.011947548269947142,2.0447695591247097,0.9077352309870461,1.9185686695004953e-127,0.6175199564701465,2011.3100114968438,2272.953255401178,0.12027772366168042,1.9310998206085375,2.5343262732689382,1154.4141501421545,0.04968453043547683,8.045817777207139,0.9079414253597827,4.5970124000472223e-4,2012.1000000000001,2036.1,0.019015249709270043,0.9,5.1341174215029115,244,0.12645212039545223,1,1.0568578428080773,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.6175199564701465,HM,AICc,1,3,0.9,0.9,0.057616595969803196,2,0.5,1,0.05,0.019,60
284,Mar_23_284,Mar_23_284_SRS6_stem,SRS6,3/10/23,16:02:00,16:05:00,stem,dead,RHMA,LGR,LGR3,B5,B,NA,NA,80,15,27.5,28.3,26.3,NA,sediment,30,2023-03-10T16:02:00.000000Z,2023-03-10,March_2023,70,29,849,418.99555555555554,107.68,1366.9955555555557,0.07,0.029,0.4189955555555556,0.849,1.3669955555555555,0.06700524569939978,541.7228424888674,543.8629094418328,0.013049188737593673,0.5888997414146694,0.7463448778683641,380.1033368709539,0.006281880104196145,9.3752064314158865,0.405989304780353,1.6543594574569117e-20,0.08568124247114763,541.6291417943854,547.0469915257764,0.01668631601312892,0.5874091597277423,0.7453580103865358,381.7643526705708,0.030179972459390348,35.22354670516499,0.4075591481417269,0.0030798779664279767,541.269,543.524,0.010892044112511852,0.35,5.134820795898445,166,0.037283396393124786,1,1.2787243980200067,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.08568124247114763,HM,AICc | Intercept,1,3,0.35,0.35,0.027165268399721648,2,0.5,1,0.05,0.011,60,0.9772645992358052,2054.238525893163,2085.451181727753,0.19032107216213223,1.8165629672270156,2.3403347840760125,759.5333456044319,0.01969826946389033,2.015653639689174,0.9371505377444319,1.1270146924368225e-100,1.3282735304567983,2052.4977407879146,2119.3931728480015,0.25867962744051104,1.7463428748340952,2.2207588948639816,744.2219022535784,0.09411688149383897,7.085655125678205,0.9434088640380696,0.003866925131870878,2051.37,2085.87,0.02800811343217334,0.9,5.134820795898445,166,0.21146785795792467,1,1.359174916901188,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),1.3282735304567983,HM,,0,4,0.9,0.9,0.06985354731356995,2,0.5,1,0.05,0.028,60
