id,budget_item,quantity,value_as_published,value_units,species,site,region,method,class,tier,source_short,doi,source_location,corrections_applied,notes
LR-01,leaf_Rd,leaf dark respiration,1.62 ± 1.32,umol CO2 m-2 leaf s-1,Rhizophora mangle,Shark River SRS-6,Florida neotropical,LI-6400 cuvette; Farquhar A-PAR/A-Ci fit intercept,mangrove,A,Barr et al. 2009,10.1029/2008JG000843,Farquhar-parameter table + Results sec 3,C-01;C-02,Primary site value for dominant species; Rd/Vcmax=0.021
LR-02,leaf_Rd,leaf dark respiration R_area25,1.28-1.54,umol CO2 m-2 leaf s-1,Avicennia germinans,N Florida fertilization plots,Florida neotropical,night cuvette; R-T curve; std to 25C,mangrove,A,Sturchio et al. 2022,10.1007/s12237-022-01120-7,R_area25/R_mass25 table by date and leaf age,C-01,New leaves 1.54 old 1.28
LR-02b,leaf_Rd,leaf dark respiration R_mass25,5.75-8.73,nmol CO2 g-1 leaf s-1,Avicennia germinans,N Florida fertilization plots,Florida neotropical,night cuvette; R-T curve; std to 25C,mangrove,A,Sturchio et al. 2022,10.1007/s12237-022-01120-7,R_mass25 table,C-01,Q10=2.39 (20-30C)
LR-03,leaf_Rd,leaf dark respiration R_area25,0.86-1.71,umol CO2 m-2 leaf s-1,Avicennia germinans,GTMNERR marsh-mangrove ecotone NE Florida,Florida neotropical,night cuvette; Arrhenius/exp R-T fits,mangrove,A,Sturchio et al. 2021,10.1111/gcb.15938,Results sec 3 + Figure 1,,Varies by site/season/warming; mass 4.36-13.6 nmol g-1 s-1
LR-04,leaf_Rd,Q10 of leaf R,~2.0,dimensionless,Rhizophora mangle + Avicennia germinans,FL and Belize provenances,neotropical,"short-term R-T curves; b,c polynomial",mangrove,B,Chieppa et al. 2023,10.1093/jxb/erad093,Fig 4 (magnitudes figure-only),,"Confirms Heskel b,c formulation applies to both genera"
LR-05,leaf_Rd,Rd25 PFT mean (PROXY),0.43,umol CO2 m-2 leaf s-1,tropical evergreen broadleaf,pantropical (GlobResp),global,leaf cuvette database,proxy,D,Atkin et al. 2015,10.1111/nph.13253,TrpEvBl PFT row / Fig 5,,Low-end cross-check; basis of gap-fill C-04
LR-X,leaf_Rd,leaf Rd (SUPERSEDED proxy),0.17-0.41,umol CO2 m-2 leaf s-1,Rhizophora stylosa / Avicennia marina,New Caledonia,Indo-Pacific,night cuvette,proxy,A,Jacotot et al. 2018,10.1007/s11120-018-0570-4,Table 3,,EXCLUDED: ~8x lower than neotropical site values; retained for audit
LAI-01,LAI,leaf area index (ground optical),2.29 ± 0.18 / 2.80 ± 1.38,m2 m-2,mixed riverine,Shark River SRS-6,Florida neotropical,canopy analyzer / hemispherical,mangrove,A,Barr et al. 2010 / Troxler et al. 2015,10.1029/2009JG001186,measured 2008,,Likely hurricane-suppressed (post-Wilma); disturbed-state bound
LAI-02,LAI,leaf area index (MODIS),5.55,m2 m-2,tall riverine,Shark River SRS-6,Florida neotropical,MODIS 500m 8-day,mangrove,A,Charkowicz et al. 2025,10.1111/gcb.70124,Table 2,,Satellite (reads high); recovered-canopy upper bound; scrub=2.87
LAI-03,LAI,leaf area index (riverine corroboration),4.66,m2 m-2,Rhizophora/Laguncularia,Agua Brava Mexican Pacific,neotropical,LAI-2000,mangrove,A,Kovacs et al. 2005,10.1016/j.ecss.2004.09.027,healthy riverine+fringe mean,,R. mangle 2.49 L. racemosa 1.74; Belize fringe 2.3 (Cheeseman 2004)
