flux_id,index,plot,date,start_time,end_time,measurement_type,component,analyzer_source,data_source,species,status,height,height_corrected,diameter,lenticels,above,chamber_class,surface_type,collar_id,collar_location,chamber_id,pneumatophore_count,collar_offset_cm,collar_volume_cm3,air_temp,stem_temp,soil_temp,water_temp,water_depth,pressure_start,rh_start,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,total_system_volume_L,analyzer_cell_volume_cm3,tubing_volume_cm3,CH4_best.flux,CH4_model,CH4_quality.check,CH4_flux_status,CH4_below_MDF,CH4_flagged,CH4_SNR,CH4_LM.flux,CH4_LM.SE,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.SE,CH4_HM.r2,CH4_MDF,CH4_prec,CH4_nb.obs,CH4_flux.term,CH4_LM.diagnose,CH4_HM.diagnose,CH4_LM.score,CH4_HM.score,CH4_g.fact,CH4_k.ratio.lim,CH4_MDF.lim,CH4_warn.nb.obs,CO2_best.flux,CO2_model,CO2_quality.check,CO2_flux_status,CO2_below_MDF,CO2_flagged,CO2_SNR,CO2_LM.flux,CO2_LM.SE,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.SE,CO2_HM.r2,CO2_MDF,CO2_prec,CO2_nb.obs,CO2_flux.term,CO2_LM.diagnose,CO2_HM.diagnose,CO2_LM.score,CO2_HM.score,CO2_g.fact,CO2_k.ratio.lim,CO2_MDF.lim,CO2_warn.nb.obs,year,month,month_year,season,disturbance_level,pneumatophore_density,flux_status,notes,source_file,CH4_ebull_flux,CH4_diffusive_flux,CH4_ebullitive_fraction,CH4_n_ebull_events,ebullition_reprocessed
Mar_23_309_BL60_leaves,Mar_23_309,BL60,2023-03-19,13:39:00,13:40:00,tree,leaves,LGR,original,LARA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,2190.644,212,3138.644,3.138644,70,29,0.07066799542628237,HM,AICc | Intercept,valid,FALSE,TRUE,1.274029210687575,0.07046585834833459,0.01384701098901222,0.0915669726812436,7.155512398781806e-7,0.07066799542628237,0.05546811237408276,0.09154454099851228,0.02182399981703984,0.9,248,5.989475505343155,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),3,1,1.0028685817881982,1,0.022,60,-2.9396512435868996,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,315.36146058666765,-2.9396512435868996,0.00932152977132418,0.9975225395552452,9e-307,-3.447396262579792,0.05238893467342916,0.9961563003503114,0.00848711103995993,0.35,248,5.989475505343155,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),0,4,1.1727228765999305,1,0.0085,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_306_BL60_leaves,Mar_23_306,BL60,2023-03-19,13:09:00,13:11:00,tree,leaves,LGR,original,RHMA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,2190.644,428,3138.644,3.138644,70,29,-0.01618458011477975,HM,AICc | p-value | MDF | Intercept,valid,TRUE,TRUE,0.2211625897694784,-0.01033735763116805,0.01500591058447392,-0.00361187795101392,0.491995944606316,-0.01618458011477975,0.07317955596219602,-0.00219909416859853,0.01831967095199282,0.9,147,2.9718577322121686,Noise (LM.RMSE) | Noise (LM.MAE) | No detect. flux (p-val.) | MDF (LM),Noise (HM.RMSE) | Noise (HM.MAE) | MDF (HM),3,1,1.5656399529007106,1,0.018,60,-1.3294013022328632,HM,NA,valid,FALSE,FALSE,39.580142516959874,-1.1705086588091205,0.00831871245863245,0.9926793998338584,6.099624879063863e-157,-1.3294013022328632,0.03358758250208983,0.9937715644131644,0.00712431648133054,0.35,147,2.9718577322121686,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.1357466621267036,1,0.0071,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_298_BL60_leaves,Mar_23_298,BL60,2023-03-19,10:00:00,10:03:00,tree,leaves,LGR,original,RHMA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA,NA,2190.644,428,3138.644,3.138644,70,29,0.00400245782321616,LM,HM.flux is NA,valid,TRUE,TRUE,1.3461559267925451,0.00400245782321616,0.00297324978745421,0.00143029042778097,0.1787910664818903,NA,NA,NA,0.00475115671060291,0.9,568,2.9826706016562743,NA,HM.flux is NA,NA,NA,NA,1,0.0048,60,-0.959210756109229,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,516.2689629621101,-0.959210756109229,0.00185796711583382,0.9978771972722384,0,-1.1641339610826402,0.01533700399548016,0.9932854671898038,0.00184767205412335,0.35,568,2.9826706016562743,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),0,4,1.213637309286048,1,0.0018,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_301_BL60_leaves,Mar_23_301,BL60,2023-03-19,11:28:00,11:31:00,tree,leaves,LGR,original,RHMA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA,NA,2190.644,428,3138.644,3.138644,70,29,-0.01334504031260862,HM,AICc | p-value | Intercept,valid,FALSE,TRUE,0.3768486008364132,-0.01097254280721834,0.00766951496937197,0.00407247401419508,0.15374908741635104,-0.01334504031260862,0.03541220607689503,0.0040988183724302,0.01047738702684244,0.9,257,2.9802345320796286,Noise (LM.RMSE) | Noise (LM.MAE) | No detect. flux (p-val.),Noise (HM.RMSE) | Noise (HM.MAE),3,1,1.2162213032178395,1,0.01,60,-1.489618675182263,HM,Intercept (LM),valid,FALSE,TRUE,82.24008719505758,-0.9564974347410616,0.00777660492281031,0.9833584850460976,4.866452066970523e-229,-1.489618675182263,0.01811304834404146,0.9970842503578728,0.00407453939932761,0.35,257,2.9802345320796286,Noise (LM.RMSE) | Noise (LM.MAE) | Intercept (LM),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.557368186340746,1,0.0041,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_303_BL60_leaves,Mar_23_303,BL60,2023-03-19,12:26:00,12:29:00,tree,leaves,LGR,original,RHMA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,2190.644,428,3138.644,3.138644,70,29,0.00788390800664379,LM,HM.flux is NA,valid,TRUE,TRUE,0.8352882404319709,0.00788390800664379,0.00943854782699516,-0.00136971705295252,0.4044615810661151,NA,NA,NA,0.0121244444576175,0.9,222,2.977224694592743,NA,HM.flux is NA,NA,NA,NA,1,0.012,60,0.2630983165137844,HM,NA,valid,FALSE,FALSE,14.87013797555869,0.17566467040079278,0.00356644195262172,0.9164790816279148,8.506103892002804e-121,0.2630983165137844,0.01769306491615788,0.9292925814888692,0.00471506173351791,0.35,222,2.977224694592743,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.4977303968607054,1,0.0047,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_304_BL60_leaves,Mar_23_304,BL60,2023-03-19,12:45:00,12:48:00,tree,leaves,LGR,original,AVGE,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA,NA,2190.644,134,3138.644,3.138644,70,29,0.0249597125779382,HM,AICc | Intercept,valid,FALSE,TRUE,0.5593461598044416,0.02497323946522708,0.01125173093962365,0.0097927982395074,0.02701848886312806,0.0249597125779382,0.04462301589174154,0.00978822773194476,0.02161280660577858,0.9,398,9.509634906542576,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),3,1,0.9994583447090344,1,0.022,60,-5.1828184101329535,HM,SE,valid,FALSE,TRUE,199.2867400062493,-4.1901772414442355,0.01262391316269296,0.9964094952372284,0,-5.1828184101329535,0.02600684024421509,0.9993067162113084,0.00840498034669167,0.35,398,9.509634906542576,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),3,1,1.236897179162422,1,0.0084,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_305_BL60_leaves,Mar_23_305,BL60,2023-03-19,12:50:30,12:53:30,tree,leaves,LGR,original,AVGE,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,NA,2190.644,134,3138.644,3.138644,70,29,-0.00720618529231516,HM,AICc | p-value | MDF | Intercept,valid,TRUE,TRUE,0.05633516696626894,-0.00563560047615824,0.03051415554119151,-0.00459873072915217,0.8536519338206245,-0.00720618529231516,0.12791628533966912,-0.00452919449283251,0.0406393491366722,0.9,212,9.527669630930928,Noise (LM.RMSE) | Noise (LM.MAE) | No detect. flux (p-val.) | MDF (LM),Noise (HM.RMSE) | Noise (HM.MAE) | MDF (HM),3,1,1.278689879242039,1,0.041,60,0.5606807734893257,HM,SE | AICc,valid,FALSE,TRUE,15.119391039691576,0.5545673782768789,0.00922641884610121,0.9448046652460635,2.726342651655782e-134,0.5606807734893257,0.03708355528456278,0.9447062109365189,0.01580419133092808,0.35,212,9.527669630930928,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),2,2,1.011023719482819,1,0.016,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_307_BL60_leaves,Mar_23_307,BL60,2023-03-19,13:26:00,13:29:00,tree,leaves,LGR,original,LARA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,27.3125,NA,NA,NA,NA,NA,NA,2190.644,212,3138.644,3.138644,70,29,0.06744031183433079,LM,g-fact. > 2 | Intercept,valid,FALSE,TRUE,4.875089905309657,0.06744031183433079,0.01383365499800913,0.08598707890379342,1.974423873929114e-6,0.2683062392681954,0.1430815207549679,0.12294223359941792,0.02244462754564595,0.9,243,6.010172487222972,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Exaggerated curvature (g-fact),4,0,3.978425247013952,1,0.022,60,-4.616874801226017,HM,SE,valid,FALSE,TRUE,178.74875620170351,-3.716992778777105,0.01458423947733213,0.9962881431126168,4.268969234701222e-292,-4.616874801226017,0.02582884994184937,0.9994740236658716,0.0087284662677512,0.35,243,6.010172487222972,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),3,1,1.242099480953249,1,0.0087,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_308_BL60_leaves,Mar_23_308,BL60,2023-03-19,13:32:30,13:35:30,tree,leaves,LGR,original,LARA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,27.3125,NA,NA,NA,NA,NA,NA,2190.644,212,3138.644,3.138644,70,29,0.0249739275073683,LM,HM.flux is NA,valid,TRUE,TRUE,1.2961978949134445,0.0249739275073683,0.01926706377581023,0.00330673274902848,0.19637175275775692,NA,NA,NA,0.02638123277877322,0.9,206,6.0090585773872345,NA,HM.flux is NA,NA,NA,NA,1,0.026,60,0.9564020124975962,HM,SE,valid,FALSE,TRUE,36.39784645382511,0.8154403640954673,0.00629478181068096,0.98793067167508,7.31561054027571e-198,0.9564020124975962,0.02627633515930408,0.9896726652304816,0.01025936830285625,0.35,206,6.0090585773872345,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),3,1,1.1728656743138923,1,0.01,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
Mar_23_299_BL60_leaves,Mar_23_299,BL60,2023-03-19,10:40:00,10:43:00,tree,leaves,LGR,original,RHMA,alive,NA,NA,NA,NA,sediment,LB,NA,NA,NA,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,NA,2190.644,428,3138.644,3.138644,70,29,0.00640311428646614,LM,HM.flux is NA,valid,TRUE,TRUE,1.28908914267589,0.00640311428646614,0.00496716175358871,0.00217923585874046,0.1983536339124077,NA,NA,NA,0.00885805906079979,0.9,304,2.982213217135932,NA,HM.flux is NA,NA,NA,NA,1,0.0089,60,-0.16099237018630214,HM,RMSE | AICc,valid,FALSE,TRUE,20.99600402560057,-0.15829303974296266,0.00189324814938528,0.958450485991847,7.200607779380584e-211,-0.16099237018630214,0.00766776239850226,0.9581927995000468,0.00344480074586658,0.35,304,2.982213217135932,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),2,2,1.0170527424814295,1,0.0034,60,2023,3,2023-03,dry,regenerating,NA,valid,NA,LGR1_final_complete_dataset.csv,0,NA,0,0,FALSE
