Contributor_name,Country,Location,Site,Lat,Long,GeoSet_ecotype,Species,Chamber_type,Chamber_method,Gas_sampling,Dark_light,Interface,Tide,Tree_tissue_surface,Wood_density_g_cm3,Lenticels_density_lent_cm2,Pneumatophore_density_pneu_m2,Timescale,Season,Year,CO2_mean,CO2_se,CO2_mdn,CO2_range,CO2_units,CH4_mean,CH4_se,CH4_mdn,CH4_range,CH4_units,N2O_mean,N2O_se,N2O_mdn,N2O_range,N2O_units,Comments
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Avicennia germinans,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,NA,NA,seasonal,dry,2023,2.407,0.616,1.51,0.586 to 5.674,umol m-2 s-1,0.0897,0.0208,0.0839,0.0219 to 0.214,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=9; n_CO2=9; CH4_below_MDF=0/9; CH4_flagged=9/9; CH4_median_SNR=7; CO2_below_MDF=0/9; CO2_flagged=5/9; CO2_median_SNR=414.9; mean_height_cm=75; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Avicennia germinans,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,no,NA,seasonal,wet,2022,1.466,0.308,1.052,0.584 to 2.908,umol m-2 s-1,0.2198,0.0621,0.1391,0.0538 to 0.5464,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=9; n_CO2=9; CH4_below_MDF=0/9; CH4_flagged=9/9; CH4_median_SNR=13.7; CO2_below_MDF=0/9; CO2_flagged=3/9; CO2_median_SNR=229.7; mean_height_cm=50; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Laguncularia racemosa,rigid,closed chamber,field,light,variable (tidal),variable,root,NA,NA,NA,seasonal,dry,2023,6.9,NA,6.9,6.9 to 6.9,umol m-2 s-1,0.6501,NA,0.6501,0.6501 to 0.6501,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=1; n_CO2=1; CH4_below_MDF=0/1; CH4_flagged=1/1; CH4_median_SNR=22.7; CO2_below_MDF=0/1; CO2_flagged=1/1; CO2_median_SNR=172; mean_height_cm=2; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Laguncularia racemosa,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,no,NA,seasonal,dry,2023,2.736,0.259,2.492,1.275 to 5.021,umol m-2 s-1,0.0721,0.0234,0.0422,-0.0138 to 0.285,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=14; n_CO2=14; CH4_below_MDF=1/14; CH4_flagged=14/14; CH4_median_SNR=8.1; CO2_below_MDF=0/14; CO2_flagged=5/14; CO2_median_SNR=617.3; mean_height_cm=88; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,prop root,NA,NA,NA,seasonal,dry,2023,2.476,0.878,1.301,-0.049 to 12.594,umol m-2 s-1,1.2625,0.7744,0.4604,0.0979 to 11.2481,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=14; n_CO2=14; CH4_below_MDF=0/14; CH4_flagged=11/14; CH4_median_SNR=22.8; CO2_below_MDF=0/14; CO2_flagged=12/14; CO2_median_SNR=175; mean_height_cm=24; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,prop root,NA,no/yes,NA,seasonal,wet,2022,1.853,0.706,1.634,-4.221 to 10.395,umol m-2 s-1,0.7953,0.2523,0.4079,-0.2886 to 3.6309,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=19; n_CO2=19; CH4_below_MDF=0/19; CH4_flagged=17/19; CH4_median_SNR=48.8; CO2_below_MDF=0/19; CO2_flagged=10/19; CO2_median_SNR=263.3; mean_height_cm=0; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,NA,NA,seasonal,dry,2023,2.036,0.931,0.943,0.25 to 29.719,umol m-2 s-1,0.1603,0.0769,0.095,-0.1655 to 2.4007,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=31; n_CO2=31; CH4_below_MDF=1/31; CH4_flagged=31/31; CH4_median_SNR=11.8; CO2_below_MDF=0/31; CO2_flagged=7/31; CO2_median_SNR=257.6; mean_height_cm=99; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,no,NA,seasonal,wet,2022,0.851,0.086,0.932,-0.185 to 1.671,umol m-2 s-1,0.0921,0.0147,0.0752,0.0124 to 0.4218,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=27; n_CO2=27; CH4_below_MDF=0/27; CH4_flagged=26/27; CH4_median_SNR=9.2; CO2_below_MDF=1/27; CO2_flagged=10/27; CO2_median_SNR=236.7; mean_height_cm=50; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Avicennia germinans,rigid,closed chamber,field,light,variable (tidal),variable,root,NA,no,NA,seasonal,wet,2022,0.286,NA,0.286,0.286 to 0.286,umol m-2 s-1,0.1481,NA,0.1481,0.1481 to 0.1481,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=1; n_CO2=1; CH4_below_MDF=0/1; CH4_flagged=1/1; CH4_median_SNR=17.3; CO2_below_MDF=0/1; CO2_flagged=0/1; CO2_median_SNR=144.2; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Avicennia germinans,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,NA,NA,seasonal,dry,"2022, 2023",2.618,0.439,2.218,0.575 to 6.169,umol m-2 s-1,0.1965,0.0482,0.152,0.0309 to 0.8149,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=17; n_CO2=17; CH4_below_MDF=0/17; CH4_flagged=15/17; CH4_median_SNR=15.5; CO2_below_MDF=0/17; CO2_flagged=7/17; CO2_median_SNR=363.9; mean_height_cm=56; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
