site,season,sample_type,source,n,CH4_uM_mean,CH4_uM_sd,CO2_uM_mean,CO2_uM_sd,n_sal,PSU_mean,PSU_sd
BL60,dry (Mar 2023),porewater,GC,7,24.782747579231927,2.38435558968005,3420.209302933658,250.44941124400387,7,37.61,2.4952621772738284
BL60,wet (Oct 2022),porewater,GC,3,47.24573212732573,55.03071271741701,3172.90362631946,73.7000768179585,3,37.68,3.2933114034357582
BL60,wet (Oct 2022),surface_water,GC,3,20.710436957798965,9.944961596891282,1397.754036200999,679.5003464520496,3,15.163333333333334,0.7759725081040784
CP40,dry (Mar 2023),porewater,GC,3,61.85565162996173,4.626194453351364,1237.85509880444,137.1500025935145,6,62.556666666666665,1.9198923580937197
CP40,dry (Mar 2023),surface_water,GC,3,0.8024316738010064,0.18944869886262244,163.41593886330264,81.34836060450195,3,45.053333333333335,0.6633500835406111
CP40,wet (Oct 2022),porewater,GC,3,4.090433348146556,1.531458674587321,64.86493698933316,31.589984263311074,5,58.682,1.4691562204204143
CP40,wet (Oct 2022),surface_water,GC,6,0.024976623057152068,0.019523647518151103,6.060784338740969,1.3428978479869582,5,39.836,1.3351516767768385
FLM30,dry (Mar 2023),porewater,GC,3,59.9437382813801,6.668043100745832,1642.474580516512,28.888250097437446,3,60.876666666666665,0.5965176722724423
FLM30,dry (Mar 2023),surface_water,GC,3,2.4750805358112853,0.3846588324104483,47.99033321113228,21.298591474940793,3,53.59,1.1951150572225255
FLM30,wet (Oct 2022),porewater,GC,3,85.70233436728887,79.88065492143866,2430.8311116646832,158.17251582657505,3,64.159946045,3.358472290336271
FLM30,wet (Oct 2022),surface_water,GC,10,1.235960678854294,0.5854457894499389,47.603247525270845,15.834491275459625,3,31.426811552999997,0.5443525985690856
SE1,dry (Mar 2023),porewater,GC,3,0.10756261514826101,0.08588153178224041,23.31419018932165,15.890074560112847,3,7.543333333333333,0.20550750189064473
SE1,dry (Mar 2023),surface_water,GC,3,0.7146529381749523,0.6219426170988241,329.93083408343534,275.7047211608043,3,16.416666666666668,0.47961790347456
SRS5,wet (Oct 2022),porewater,GC,4,4.401696672585365,6.3338177277752346,2369.6366406872,355.15799874299324,3,20.193525746,0.7376895376743038
SRS5,wet (Oct 2022),surface_water,GC,4,0.13373072320126458,0.09031176825158985,132.3936955674923,27.720105730044473,1,0.85,NA
SRS6,wet (Oct 2022),porewater,GC,3,9.520325572753055,9.024087075421441,1843.7725329332118,160.12119383091306,4,26.560526472937497,0.5026339604276862
BL60,Oct 2025,porewater,Picarro,4,13.857699354537962,7.884306928109978,4454.842161636085,559.2731755950488,4,34.505,0.9967447015158892
BL60,Oct 2025,surface_water,Picarro,1,86.62314846023602,NA,1097.9136354366035,NA,1,3.4,NA
CP40,Oct 2025,porewater,Picarro,4,42.143238836766116,15.373691002363051,2018.5794929917097,363.0981419220085,4,49.465,5.676838909111302
CP40,Oct 2025,surface_water,Picarro,1,2.746804009439345,NA,37.09382361376752,NA,1,20.84,NA
SRS5,Oct 2025,porewater,Picarro,4,3.385551792301125,1.8845252800140442,2634.2854657302764,682.8163749887356,4,19.8525,6.327702979754976
SRS5,Oct 2025,surface_water,Picarro,1,0.2965567295151733,NA,577.3380043258448,NA,1,NA,NA
SRS6,Oct 2025,porewater,Picarro,4,0.8764754315531511,0.606530459755529,1866.3944057338006,1013.6347176362607,4,29.465,4.220975400702227
SRS6,Oct 2025,surface_water,Picarro,1,0.46741603420716704,NA,590.986331968855,NA,1,NA,NA
