flux_id,index,plot,date,start_time,end_time,measurement_type,component,analyzer_source,data_source,species,status,height,height_corrected,diameter,lenticels,above,chamber_class,surface_type,collar_id,collar_location,chamber_id,pneumatophore_count,collar_offset_cm,collar_volume_cm3,air_temp,stem_temp,soil_temp,water_temp,water_depth,pressure_start,rh_start,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,total_system_volume_L,analyzer_cell_volume_cm3,tubing_volume_cm3,CH4_best.flux,CH4_model,CH4_quality.check,CH4_flux_status,CH4_below_MDF,CH4_flagged,CH4_SNR,CH4_LM.flux,CH4_LM.SE,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.SE,CH4_HM.r2,CH4_MDF,CH4_prec,CH4_nb.obs,CH4_flux.term,CH4_LM.diagnose,CH4_HM.diagnose,CH4_LM.score,CH4_HM.score,CH4_g.fact,CH4_k.ratio.lim,CH4_MDF.lim,CH4_warn.nb.obs,CO2_best.flux,CO2_model,CO2_quality.check,CO2_flux_status,CO2_below_MDF,CO2_flagged,CO2_SNR,CO2_LM.flux,CO2_LM.SE,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.SE,CO2_HM.r2,CO2_MDF,CO2_prec,CO2_nb.obs,CO2_flux.term,CO2_LM.diagnose,CO2_HM.diagnose,CO2_LM.score,CO2_HM.score,CO2_g.fact,CO2_k.ratio.lim,CO2_MDF.lim,CO2_warn.nb.obs,year,month,month_year,season,disturbance_level,pneumatophore_density,flux_status,notes,source_file,CH4_ebull_flux,CH4_diffusive_flux,CH4_ebullitive_fraction,CH4_n_ebull_events,ebullition_reprocessed
45003_FLM30_Water_145,145,FLM30,2023-03-18,11:03:00,NA,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,27.025,NA,NA,NA,20,NA,NA,3370,324.3,4318,4.318,70,29,3.8111037880554215,HM,NA,valid,FALSE,FALSE,195.39672804853555,2.8910035946822488,0.00951541367541418,0.993435040646149,0,3.8111037880554215,0.01950444015167318,0.9988610423633274,0.00800803664813462,0.9,611,5.409873646739832,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.3182632477751386,1,0.008,60,0.5004426729077596,HM,NA,valid,FALSE,FALSE,65.62432379219747,0.4345367640491971,0.00184204476682369,0.9891569836287216,0,0.5004426729077596,0.00762587168886395,0.9905992879568782,0.00311423647427457,0.35,611,5.409873646739832,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.1516693506998656,1,0.0031,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 25.6,LGR1_final_complete_dataset_soil.csv,0,3.8111037880554215,0,0,FALSE
45003_FLM30_Water_146,146,FLM30,2023-03-18,NA,NA,surface,water,LGR1,rescued,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,NA,NA,NA,NA,NA,NA,NA,3370,324.3,4318,4.318,70,29,1.8787279557666032,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,458.7097347584274,1.8787279557666032,0.00409567927908922,0.9964105030017446,0,1.8965942240366185,0.01679840240558387,0.9962694111035792,0.00649851879558502,0.9,759,5.444314635412346,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),1,3,1.0095097686789491,1,0.0065,60,0.10173641904572428,HM,AICc,valid,FALSE,TRUE,22.693564859612682,0.1001321516663842,0.00110977535654685,0.9148121822329436,0,0.10173641904572428,0.00448305145864424,0.9148139871141004,0.00252720175383862,0.35,759,5.444314635412346,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),3,1,1.0160215011127005,1,0.0025,60,2023,3,2023-03,dry,ghost,NA,valid,NA,LGR1_final_complete_dataset_soil.csv,0,1.8787279557666032,0,0,FALSE
45003_FLM30_Water_147,147,FLM30,2023-03-18,12:47:00,12:50:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.375,NA,28.1,NA,NA,NA,NA,3370,324.3,4318,4.318,70,29,7.307704734132427,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,280.881181829715,7.004692163104839,0.0249382750295869,0.9933519044087618,0,7.0358771219944,0.10161474375024712,0.9931490022100116,0.00921149301744083,0.9,529,5.383605919082089,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),0,4,1.004452009904706,1,0.0092,60,0.39522811957345705,HM,NA,valid,FALSE,FALSE,58.89834287983773,0.3436536973831663,0.00160892467741748,0.9885587025432934,0,0.39522811957345705,0.00671034362341547,0.9899015596500186,0.00358224728456032,0.35,529,5.383605919082089,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.150076727190822,1,0.0036,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 30,LGR1_final_complete_dataset_soil.csv,0,7.307704734132427,0,0,TRUE
45003_FLM30_Water_148,148,FLM30,2023-03-18,12:55:00,12:58:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.30909090909091,NA,NA,NA,2,NA,NA,3370,324.3,4318,4.318,70,29,5.339644858816975,HM,NA,valid,FALSE,FALSE,77.95089346837256,5.046599638295358,0.01645144880887828,0.9975828757757252,3.248854864879562e-292,5.184121538081438,0.06650496623473368,0.9976309832603726,0.02134448145694474,0.9,229,5.383552545251618,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0272504081248126,1,0.021,60,0.3247659627353386,HM,AICc,valid,FALSE,TRUE,15.09179240588312,0.3207217299451079,0.00532137266520251,0.9409254861447228,1.1850601776963745e-141,0.3247659627353386,0.02151937649292986,0.9408479876500124,0.00830063167770073,0.35,229,5.383552545251618,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),3,1,1.0126097872785946,1,0.0083,60,2023,3,2023-03,dry,ghost,NA,valid,very shallow water,LGR1_final_complete_dataset_soil.csv,0,5.339644858816975,0,0,TRUE
45003_FLM30_Water_149,149,FLM30,2023-03-18,13:01:00,13:04:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.363636363636363,NA,NA,NA,17,NA,NA,3370,324.3,4318,4.318,70,29,8.944006287820487,HM,SE,valid,FALSE,TRUE,122.85001777884445,6.692506359544429,0.02135335805819523,0.9943816956258376,0,8.307549279502554,0.06762350897219949,0.9974547569441552,0.00876267136762836,0.9,556,5.3841747403316536,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),3,1,1.241321088571676,1,0.0088,60,0.4931045912599374,HM,NA,valid,FALSE,FALSE,51.5961889871596,0.4750634470058268,0.00233172212903674,0.9868057282924172,0,0.4931045912599374,0.00955699637782653,0.9869023686139332,0.00340770553185547,0.35,556,5.3841747403316536,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0379762837318216,1,0.0034,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 30.5,LGR1_final_complete_dataset_soil.csv,0,8.944006287820487,0,0,TRUE
45003_FLM30_Water_150,150,FLM30,2023-03-18,13:05:00,13:08:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.39090909090909,NA,NA,NA,25,NA,NA,3370,324.3,4318,4.318,70,29,7.895836333034574,HM,SE,valid,FALSE,TRUE,115.85701172947076,6.624009396837176,0.01959491281035565,0.9952101034838444,0,7.895836333034574,0.06815156212963239,0.9972163843611066,0.00884106534613599,0.9,551,5.383226455202807,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),3,1,1.1920025863496917,1,0.0088,60,0.5027425330541611,HM,NA,valid,FALSE,FALSE,50.7526138888017,0.4737184903324946,0.00239059952236847,0.986186433253576,0,0.5027425330541611,0.0099057466115078,0.9864340564544252,0.00343819207905288,0.35,551,5.383226455202807,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0612685451676058,1,0.0034,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 30.7,LGR1_final_complete_dataset_soil.csv,0,7.895836333034574,0,0,FALSE
45003_FLM30_Water_151,151,FLM30,2023-03-18,13:12:00,13:15:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.418181818181814,NA,NA,NA,21,NA,NA,3370,324.3,4318,4.318,70,29,8.72949036624652,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,215.9511822697711,8.834723833400444,0.04091074538487086,0.9940316220262396,1.56758927077e-296,8.88637823365552,0.16639457723029602,0.9938469360185695,0.01729954822134633,0.9,281,5.382081668863303,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),0,4,1.0058467475870374,1,0.017,60,0.48237246526184174,HM,NA,valid,FALSE,FALSE,27.140821195165508,0.4090497653156029,0.00409149500269987,0.972747075139376,1.6145631786402395e-220,0.48237246526184174,0.01777295026532819,0.9747074265906578,0.00672760208607912,0.35,281,5.382081668863303,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.1792512944963227,1,0.0067,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 30.1,LGR1_final_complete_dataset_soil.csv,0,8.72949036624652,0,0,TRUE
45003_FLM30_Water_152,152,FLM30,2023-03-18,13:21:00,13:24:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.60909090909091,NA,NA,NA,12,NA,NA,3370,324.3,4318,4.318,70,29,7.628609466686957,HM,NA,valid,FALSE,FALSE,50.55946063702722,5.552776966628979,0.03398813692448435,0.9911248265801378,2.1451591554701056e-246,6.7611116567942755,0.13372594508737254,0.9936023948491092,0.02025472738818393,0.9,240,5.37875538419551,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.2176090805424264,1,0.02,60,0.39010315031383774,HM,AICc,valid,FALSE,TRUE,19.99291456790438,0.3842932601221128,0.00482242520182833,0.9637235891084328,1.2581082379371214e-173,0.39010315031383774,0.01951207008807459,0.9636878196311858,0.00787683842873819,0.35,240,5.37875538419551,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),3,1,1.015118376496842,1,0.0079,60,2023,3,2023-03,dry,ghost,NA,valid,"water temp = 31.4, near root (dead)",LGR1_final_complete_dataset_soil.csv,0,7.628609466686957,0,0,TRUE
45003_FLM30_Water_153,153,FLM30,2023-03-18,13:27:00,13:33:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.990909090909092,NA,NA,NA,20,NA,NA,3370,324.3,4318,4.318,70,29,5.702959380472753,LM,RMSE | SE | AICc | Intercept,valid,FALSE,TRUE,199.95166257531864,5.6900201154445345,0.02845697826243977,0.9907810491764124,0,5.75777390563017,0.11503923232340928,0.9907247219767664,0.01303261925434141,0.9,373,5.372335270400737,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),1,3,1.011907478147877,1,0.013,60,0.4676142402787565,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,178.9574541859426,0.4676142402787565,0.00261299112912553,0.9885173728021304,0,0.4717152540901599,0.01058019576392152,0.9883642769730788,0.00506824082113277,0.35,373,5.372335270400737,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),1,3,1.008770078962862,1,0.0051,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 31.3,LGR1_final_complete_dataset_soil.csv,0,5.702959380472753,0,0,TRUE
45003_FLM30_Water_154,154,FLM30,2023-03-18,13:36:00,14:06:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,29.34,NA,NA,NA,27,NA,NA,3370,324.3,4318,4.318,70,29,3.7794136646661016,HM,NA,valid,FALSE,FALSE,180.10845153108235,4.289304922551265,0.00838458931051758,0.9976669266867376,0,4.861084485898551,0.02698976335965914,0.99874078309,0.0079290707603464,0.9,613,5.365337881167735,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.1333035477009623,1,0.0079,60,0.6699548052135335,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,367.4343381488795,0.6699548052135335,0.00182333205053382,0.9954873579271776,0,0.6740790711006408,0.00745319027375551,0.995313555421242,0.00308352751791249,0.35,613,5.365337881167735,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),1,3,1.006156035981849,1,0.0031,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 32.9,LGR1_final_complete_dataset_soil.csv,0,3.7794136646661016,0,0,TRUE
