flux_id,date,plot,measurement_type,component,surface_type,analyzer_source,data_source,start_time,end_time,year,month,season,air_temp,soil_temp,water_temp,water_depth,pressure_start,rh_start,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,CH4_best.flux,CH4_model,CH4_quality.check,CH4_flux_status,CH4_below_MDF,CH4_flagged,CH4_SNR,CH4_LM.flux,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.r2,CO2_best.flux,CO2_model,CO2_quality.check,CO2_flux_status,CO2_below_MDF,CO2_flagged,CO2_SNR,CO2_LM.flux,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.r2,CH4_ebull_flux,CH4_diffusive_flux,CH4_ebullitive_fraction,CH4_n_ebull_events,ebullition_reprocessed,flux_status,disturbance_level,notes
45003_FLM30_Water_145,2023-03-18,FLM30,surface,water,water,LGR1,original,11:03:00,NA,2023,3,dry,27.025,NA,NA,20,NA,NA,3370,324.3,4318,3.8111037880554215,HM,NA,valid,FALSE,FALSE,195.39672804853555,2.8910035946822488,0.993435040646149,0,3.8111037880554215,0.9988610423633274,0.5004426729077596,HM,NA,valid,FALSE,FALSE,65.62432379219747,0.4345367640491971,0.9891569836287216,0,0.5004426729077596,0.9905992879568782,0,3.8111037880554215,0,0,FALSE,valid,ghost,water temp = 25.6
45003_FLM30_Water_146,2023-03-18,FLM30,surface,water,water,LGR1,rescued,NA,NA,2023,3,dry,NA,NA,NA,NA,NA,NA,3370,324.3,4318,1.8787279557666032,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,458.7097347584274,1.8787279557666032,0.9964105030017446,0,1.8965942240366185,0.9962694111035792,0.10173641904572428,HM,AICc,valid,FALSE,TRUE,22.693564859612682,0.1001321516663842,0.9148121822329436,0,0.10173641904572428,0.9148139871141004,0,1.8787279557666032,0,0,FALSE,valid,ghost,NA
45003_FLM30_Water_147,2023-03-18,FLM30,surface,water,water,LGR1,original,12:47:00,12:50:00,2023,3,dry,28.375,28.1,NA,NA,NA,NA,3370,324.3,4318,7.307704734132427,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,280.881181829715,7.004692163104839,0.9933519044087618,0,7.0358771219944,0.9931490022100116,0.39522811957345705,HM,NA,valid,FALSE,FALSE,58.89834287983773,0.3436536973831663,0.9885587025432934,0,0.39522811957345705,0.9899015596500186,0,7.307704734132427,0,0,TRUE,valid,ghost,water temp = 30
45003_FLM30_Water_148,2023-03-18,FLM30,surface,water,water,LGR1,original,12:55:00,12:58:00,2023,3,dry,28.30909090909091,NA,NA,2,NA,NA,3370,324.3,4318,5.339644858816975,HM,NA,valid,FALSE,FALSE,77.95089346837256,5.046599638295358,0.9975828757757252,3.248854864879562e-292,5.184121538081438,0.9976309832603726,0.3247659627353386,HM,AICc,valid,FALSE,TRUE,15.09179240588312,0.3207217299451079,0.9409254861447228,1.1850601776963745e-141,0.3247659627353386,0.9408479876500124,0,5.339644858816975,0,0,TRUE,valid,ghost,very shallow water
45003_FLM30_Water_149,2023-03-18,FLM30,surface,water,water,LGR1,original,13:01:00,13:04:00,2023,3,dry,28.363636363636363,NA,NA,17,NA,NA,3370,324.3,4318,8.944006287820487,HM,SE,valid,FALSE,TRUE,122.85001777884445,6.692506359544429,0.9943816956258376,0,8.307549279502554,0.9974547569441552,0.4931045912599374,HM,NA,valid,FALSE,FALSE,51.5961889871596,0.4750634470058268,0.9868057282924172,0,0.4931045912599374,0.9869023686139332,0,8.944006287820487,0,0,TRUE,valid,ghost,water temp = 30.5
45003_FLM30_Water_150,2023-03-18,FLM30,surface,water,water,LGR1,original,13:05:00,13:08:00,2023,3,dry,28.39090909090909,NA,NA,25,NA,NA,3370,324.3,4318,7.895836333034574,HM,SE,valid,FALSE,TRUE,115.85701172947076,6.624009396837176,0.9952101034838444,0,7.895836333034574,0.9972163843611066,0.5027425330541611,HM,NA,valid,FALSE,FALSE,50.7526138888017,0.4737184903324946,0.986186433253576,0,0.5027425330541611,0.9864340564544252,0,7.895836333034574,0,0,FALSE,valid,ghost,water temp = 30.7
45003_FLM30_Water_151,2023-03-18,FLM30,surface,water,water,LGR1,original,13:12:00,13:15:00,2023,3,dry,28.418181818181814,NA,NA,21,NA,NA,3370,324.3,4318,8.72949036624652,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,215.9511822697711,8.834723833400444,0.9940316220262396,1.56758927077e-296,8.88637823365552,0.9938469360185695,0.48237246526184174,HM,NA,valid,FALSE,FALSE,27.140821195165508,0.4090497653156029,0.972747075139376,1.614563178640238e-220,0.48237246526184174,0.9747074265906578,0,8.72949036624652,0,0,TRUE,valid,ghost,water temp = 30.1
45003_FLM30_Water_152,2023-03-18,FLM30,surface,water,water,LGR1,original,13:21:00,13:24:00,2023,3,dry,28.60909090909091,NA,NA,12,NA,NA,3370,324.3,4318,7.628609466686957,HM,NA,valid,FALSE,FALSE,50.55946063702722,5.552776966628979,0.9911248265801378,2.1451591554701056e-246,6.7611116567942755,0.9936023948491092,0.39010315031383774,HM,AICc,valid,FALSE,TRUE,19.99291456790438,0.3842932601221128,0.9637235891084328,1.2581082379371214e-173,0.39010315031383774,0.9636878196311858,0,7.628609466686957,0,0,TRUE,valid,ghost,"water temp = 31.4, near root (dead)"
45003_FLM30_Water_153,2023-03-18,FLM30,surface,water,water,LGR1,original,13:27:00,13:33:00,2023,3,dry,28.990909090909092,NA,NA,20,NA,NA,3370,324.3,4318,5.702959380472753,LM,RMSE | SE | AICc | Intercept,valid,FALSE,TRUE,199.95166257531864,5.6900201154445345,0.9907810491764124,0,5.75777390563017,0.9907247219767664,0.4676142402787565,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,178.9574541859426,0.4676142402787565,0.9885173728021304,0,0.4717152540901599,0.9883642769730788,0,5.702959380472753,0,0,TRUE,valid,ghost,water temp = 31.3
45003_FLM30_Water_154,2023-03-18,FLM30,surface,water,water,LGR1,original,13:36:00,14:06:00,2023,3,dry,29.34,NA,NA,27,NA,NA,3370,324.3,4318,5.177250496547006,HM,NA,valid,FALSE,FALSE,180.10845153108235,4.289304922551265,0.9976669266867376,0,4.861084485898551,0.99874078309,0.6699548052135335,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,367.4343381488795,0.6699548052135335,0.9954873579271776,0,0.6740790711006408,0.995313555421242,0,5.177250496547006,0,0,TRUE,valid,ghost,water temp = 32.9
