"class","pending","term","category","role","value","source","citation"
"Healthy",FALSE,"GPP (uptake)","vertical","uptake_flux",-3283.83388629394,"measured","tower + chambers"
"Healthy",FALSE,"Reco (CO2)","vertical","source_flux",1999.51598323207,"measured","chambers x TLS"
"Healthy",FALSE,"CH4 emission","vertical","source_flux",1.60442720188563,"measured","chambers x TLS"
"Healthy",TRUE,"Lateral DIC","lateral","source_flux",NA,"literature","TODO"
"Healthy",TRUE,"Lateral DOC","lateral","source_flux",NA,"literature","TODO"
"Healthy",TRUE,"Lateral POC","lateral","source_flux",NA,"literature","TODO"
"Healthy",TRUE,"Lateral CH4 (aq)","lateral","source_flux",NA,"literature","TODO"
"Healthy",TRUE,"Soil C burial","storage","storage_accum",NA,"literature","TODO"
"Healthy",TRUE,"dBiomass C","storage","storage_accum",NA,"literature","TODO"
"Ghost",FALSE,"GPP (uptake)","vertical","uptake_flux",0,"measured","tower + chambers"
"Ghost",FALSE,"Reco (CO2)","vertical","source_flux",393.447297696017,"measured","chambers x TLS"
"Ghost",FALSE,"CH4 emission","vertical","source_flux",8.81837429862546,"measured","chambers x TLS"
"Ghost",TRUE,"Lateral DIC","lateral","source_flux",NA,"literature","TODO"
"Ghost",TRUE,"Lateral DOC","lateral","source_flux",NA,"literature","TODO"
"Ghost",TRUE,"Lateral POC","lateral","source_flux",NA,"literature","TODO"
"Ghost",TRUE,"Lateral CH4 (aq)","lateral","source_flux",NA,"literature","TODO"
"Ghost",TRUE,"Soil C burial","storage","storage_accum",NA,"literature","TODO"
"Ghost",TRUE,"dBiomass C","storage","storage_accum",NA,"literature","TODO"
