"plot","campaign","mean_water_depth_cm","n_wd","flooded","frac_water","frac_soil"
"CP40","Oct 2022",10.76,50,TRUE,1,0
"CP40","Mar 2023",8.67741935483871,31,TRUE,1,0
"FLM30","Oct 2022",16.1333333333333,48,TRUE,1,0
"FLM30","Mar 2023",6.58620689655172,58,TRUE,1,0
"SRS5","Oct 2022",8.8804347826087,46,TRUE,1,0
"SRS5","Mar 2023",1.69565217391304,92,TRUE,1,0
"SRS6","Oct 2022",0.2,11,TRUE,1,0
"SRS6","Mar 2023",19.7931034482759,58,TRUE,1,0
"FLM30","Mar 2022",0,0,FALSE,0,1
"SRS6","Mar 2022",0,0,FALSE,0,1
