"site","campaign","frac_flooded","total_mg_m2_d","soil_mg","water_mg"
"SRS5","Oct 2022",0,2.02320452639117,1.723041728116,0
"SRS6","Oct 2022",0,29.8270419786995,25.2125545319102,0
"SRS5","Mar 2023",0,0.893795184667849,0.457275882067457,0
"SRS6","Mar 2023",0,5.17707549251526,4.93928393306355,0
"SRS5","Oct 2022",0.05,1.96750408154896,1.6368896417102,0.0304516415635856
"SRS6","Oct 2022",0.05,28.5968533836835,23.9519268053147,0.0304391315794816
"SRS5","Mar 2023",0.05,0.90297373115941,0.434412087964084,0.0320423405949347
"SRS6","Mar 2023",0.05,5.0101904656923,4.69231973641038,0.0800791698302193
"SRS5","Oct 2022",0.1,1.91180363670674,1.5507375553044,0.0609032831271713
"SRS6","Oct 2022",0.1,27.3666647886674,22.6912990787192,0.0608782631589632
"SRS5","Mar 2023",0.1,0.912152277650972,0.411548293860711,0.0640846811898693
"SRS6","Mar 2023",0.1,4.84330543886934,4.4453555397572,0.160158339660439
"SRS5","Oct 2022",0.15,1.85610319186453,1.4645854688986,0.0913549246907569
"SRS6","Oct 2022",0.15,26.1364761936514,21.4306713521237,0.0913173947384447
"SRS5","Mar 2023",0.15,0.921330824142534,0.388684499757338,0.096127021784804
"SRS6","Mar 2023",0.15,4.67642041204638,4.19839134310402,0.240237509490658
"SRS5","Oct 2022",0.2,1.80040274702231,1.3784333824928,0.121806566254343
"SRS6","Oct 2022",0.2,24.9062875986354,20.1700436255281,0.121756526317926
"SRS5","Mar 2023",0.2,0.930509370634096,0.365820705653966,0.128169362379739
"SRS6","Mar 2023",0.2,4.50953538522343,3.95142714645084,0.320316679320877
"SRS5","Oct 2022",0.25,1.7447023021801,1.292281296087,0.152258207817928
"SRS6","Oct 2022",0.25,23.6760990036194,18.9094158989326,0.152195657897408
"SRS5","Mar 2023",0.25,0.939687917125658,0.342956911550593,0.160211702974673
"SRS6","Mar 2023",0.25,4.34265035840047,3.70446294979767,0.400395849151097
"SRS5","Oct 2022",0.3,1.68900185733789,1.2061292096812,0.182709849381514
"SRS6","Oct 2022",0.3,22.4459104086033,17.6487881723371,0.182634789476889
"SRS5","Mar 2023",0.3,0.948866463617219,0.32009311744722,0.192254043569608
"SRS6","Mar 2023",0.3,4.17576533157751,3.45749875314449,0.480475018981316
"SRS5","Oct 2022",0.35,1.63330141249567,1.1199771232754,0.213161490945099
"SRS6","Oct 2022",0.35,21.2157218135873,16.3881604457416,0.213073921056371
"SRS5","Mar 2023",0.35,0.958045010108781,0.297229323343847,0.224296384164543
"SRS6","Mar 2023",0.35,4.00888030475455,3.21053455649131,0.560554188811536
"SRS5","Oct 2022",0.4,1.57760096765346,1.0338250368696,0.243613132508685
"SRS6","Oct 2022",0.4,19.9855332185713,15.1275327191461,0.243513052635853
"SRS5","Mar 2023",0.4,0.967223556600343,0.274365529240474,0.256338724759477
"SRS6","Mar 2023",0.4,3.84199527793159,2.96357035983813,0.640633358641755
"SRS5","Oct 2022",0.45,1.52190052281124,0.9476729504638,0.274064774072271
"SRS6","Oct 2022",0.45,18.7553446235552,13.8669049925506,0.273952184215334
"SRS5","Mar 2023",0.45,0.976402103091905,0.251501735137101,0.288381065354412
"SRS6","Mar 2023",0.45,3.67511025110863,2.71660616318495,0.720712528471974
"SRS5","Oct 2022",0.5,1.46620007796903,0.861520864058,0.304516415635856
"SRS6","Oct 2022",0.5,17.5251560285392,12.6062772659551,0.304391315794816
"SRS5","Mar 2023",0.5,0.985580649583467,0.228637941033729,0.320423405949347
"SRS6","Mar 2023",0.5,3.50822522428568,2.46964196653178,0.800791698302193
"SRS5","Oct 2022",0.55,1.41049963312681,0.7753687776522,0.334968057199442
"SRS6","Oct 2022",0.55,16.2949674335232,11.3456495393596,0.334830447374297
"SRS5","Mar 2023",0.55,0.994759196075028,0.205774146930356,0.352465746544281
"SRS6","Mar 2023",0.55,3.34134019746272,2.2226777698786,0.880870868132413
"SRS5","Oct 2022",0.6,1.3547991882846,0.6892166912464,0.365419698763028
"SRS6","Oct 2022",0.6,15.0647788385072,10.0850218127641,0.365269578953779
"SRS5","Mar 2023",0.6,1.00393774256659,0.182910352826983,0.384508087139216
"SRS6","Mar 2023",0.6,3.17445517063976,1.97571357322542,0.960950037962632
"SRS5","Oct 2022",0.65,1.29909874344239,0.6030646048406,0.395871340326613
"SRS6","Oct 2022",0.65,13.8345902434911,8.82439408616856,0.39570871053326
"SRS5","Mar 2023",0.65,1.01311628905815,0.16004655872361,0.416550427734151
"SRS6","Mar 2023",0.65,3.0075701438168,1.72874937657224,1.04102920779285
"SRS5","Oct 2022",0.7,1.24339829860017,0.5169125184348,0.426322981890199
"SRS6","Oct 2022",0.7,12.6044016484751,7.56376635957305,0.426147842112742
"SRS5","Mar 2023",0.7,1.02229483554971,0.137182764620237,0.448592768329085
"SRS6","Mar 2023",0.7,2.84068511699384,1.48178517991907,1.12110837762307
"SRS5","Oct 2022",0.75,1.18769785375796,0.430760432029,0.456774623453784
"SRS6","Oct 2022",0.75,11.3742130534591,6.30313863297755,0.456586973692224
"SRS5","Mar 2023",0.75,1.03147338204128,0.114318970516864,0.48063510892402
"SRS6","Mar 2023",0.75,2.67380009017088,1.23482098326589,1.20118754745329
"SRS5","Oct 2022",0.8,1.13199740891574,0.3446083456232,0.48722626501737
"SRS6","Oct 2022",0.8,10.144024458443,5.04251090638204,0.487026105271705
"SRS5","Mar 2023",0.8,1.04065192853284,0.0914551764134914,0.512677449518955
"SRS6","Mar 2023",0.8,2.50691506334793,0.987856786612711,1.28126671728351
"SRS5","Oct 2022",0.85,1.07629696407353,0.2584562592174,0.517677906580956
"SRS6","Oct 2022",0.85,8.91383586342702,3.78188317978652,0.517465236851187
"SRS5","Mar 2023",0.85,1.0498304750244,0.0685913823101185,0.544719790113889
"SRS6","Mar 2023",0.85,2.34003003652497,0.740892589959533,1.36134588711373
"SRS5","Oct 2022",0.9,1.02059651923131,0.1723041728116,0.548129548144541
"SRS6","Oct 2022",0.9,7.683647268411,2.52125545319102,0.547904368430668
"SRS5","Mar 2023",0.9,1.05900902151596,0.0457275882067457,0.576762130708824
"SRS6","Mar 2023",0.9,2.17314500970201,0.493928393306355,1.44142505694395
"SRS5","Oct 2022",0.95,0.964896074389099,0.0861520864057999,0.578581189708127
"SRS6","Oct 2022",0.95,6.45345867339497,1.26062772659551,0.57834350001015
"SRS5","Mar 2023",0.95,1.06818756800752,0.0228637941033728,0.608804471303759
"SRS6","Mar 2023",0.95,2.00625998287905,0.246964196653177,1.52150422677417
"SRS5","Oct 2022",1,0.909195629546885,0,0.609032831271713
"SRS6","Oct 2022",1,5.22327007837894,0,0.608782631589631
"SRS5","Mar 2023",1,1.07736611449908,0,0.640846811898693
"SRS6","Mar 2023",1,1.83937495605609,0,1.60158339660439
