"site","campaign","component","flux_rate","ci_lo","ci_hi","n_obs","fill_source"
"CP40","Oct 2022","root",0.255268350964717,0.1740216566559,0.340733708101337,4,"gap: FLM30 root"
"CP40","Oct 2022","soil",NA,NA,NA,0,"missing"
"CP40","Oct 2022","water",53.8023437936998,33.4143667329028,76.4169332671095,13,"site"
"CP40","Oct 2022","cwd",5.00413340670476,0.478288914504081,12.4965163536855,5,"site"
"FLM30","Oct 2022","root",0.255268350964717,0.1740216566559,0.340733708101337,4,"site"
"FLM30","Oct 2022","soil",NA,NA,NA,0,"missing"
"FLM30","Oct 2022","water",19.1534311341878,12.2762210281157,27.0616073496047,6,"site"
"FLM30","Oct 2022","cwd",NA,NA,NA,0,"missing"
"SRS5","Oct 2022","root",0.802312400115108,0.368261872370231,1.32067473067198,19,"site"
"SRS5","Oct 2022","soil",1.24778756535746,0.883637280655833,1.55077562696811,8,"site"
"SRS5","Oct 2022","water",0.441047701489055,0.108545835061707,1.08388264901789,3,"site"
"SRS5","Oct 2022","cwd",0.711292405071291,NA,NA,1,"site"
"SRS6","Oct 2022","root",17.5769459731676,0.490650667692923,50.7434504542083,9,"site"
"SRS6","Oct 2022","soil",18.2658614880823,8.71932593429018,33.62258052659,20,"site"
"SRS6","Oct 2022","water",0.441047701489055,0.108545835061707,1.08388264901789,3,"gap: SRS5 water Oct 2022"
"SRS6","Oct 2022","cwd",0.732087892444352,0.272580751502032,1.16320496789042,3,"site"
"CP40","Mar 2023","root",0.255268350964717,0.1740216566559,0.340733708101337,4,"gap: FLM30 root Oct 2022"
"CP40","Mar 2023","soil",NA,NA,NA,0,"missing"
"CP40","Mar 2023","water",14.3694948336109,4.15246424684221,32.6317483546674,13,"site"
"CP40","Mar 2023","cwd",0.186840758151568,0.0715534621893296,0.320697275428179,5,"site"
"FLM30","Mar 2023","root",0.255268350964717,0.1740216566559,0.340733708101337,4,"gap: FLM30 root Oct 2022"
"FLM30","Mar 2023","soil",NA,NA,NA,0,"missing"
"FLM30","Mar 2023","water",5.50620529504097,4.39895773891662,6.72321668805652,28,"site"
"FLM30","Mar 2023","cwd",NA,NA,NA,0,"missing"
"SRS5","Mar 2023","root",1.21017473726185,0.372924709706262,2.73655318169515,15,"site"
"SRS5","Mar 2023","soil",0.331148776185196,0.112042258740353,0.605762360167622,16,"site"
"SRS5","Mar 2023","water",0.464086661476562,0.259533900274631,0.710088535676503,9,"site"
"SRS5","Mar 2023","cwd",0.22658448183323,0.109407085621661,0.343196397279547,5,"site"
"SRS6","Mar 2023","root",0.704864419755116,0.0914756641812197,1.6095461202075,6,"site"
"SRS6","Mar 2023","soil",3.57838695232022,2.23513753795299,5.37875734235164,10,"site"
"SRS6","Mar 2023","water",1.1603068799301,0.871420318470857,1.41554211216895,6,"site"
"SRS6","Mar 2023","cwd",0.291390193872117,0.0378170330819012,0.604621842885506,5,"site"
