"site","campaign","component","flux_rate","ci_lo","ci_hi","n_obs","fill_source"
"CP40","Mar 2022","root",0.255229824730459,0.1740216566559,0.340733708101337,4,"class_ghost_pooled"
"CP40","Mar 2022","soil",62.3755752022335,30.3509727667741,102.749997976342,10,"class_ghost_campaign"
"CP40","Mar 2022","water",19.3013035974293,12.2343562549357,27.8238697245524,60,"class_ghost_pooled"
"CP40","Mar 2022","cwd",2.63222637461189,0.265295760380737,6.53351759920652,10,"class_ghost_pooled"
"FLM30","Mar 2022","root",0.255779146577048,0.1740216566559,0.340733708101337,4,"class_ghost_pooled"
"FLM30","Mar 2022","soil",62.5486490672572,29.6714987855153,101.861501695144,10,"site"
"FLM30","Mar 2022","water",19.2030160643964,11.9497456883837,27.6696488165803,60,"class_ghost_pooled"
"FLM30","Mar 2022","cwd",2.5922007606393,0.254689914293254,6.49905402121566,10,"class_ghost_pooled"
"SRS5","Mar 2022","root",0.477378358360356,NA,NA,1,"class_healthy_campaign"
"SRS5","Mar 2022","soil",7.59208951167181,3.66800252625623,13.7275951385254,54,"class_healthy_pooled"
"SRS5","Mar 2022","water",0.692919919728589,0.472912955824063,0.922468023346156,18,"class_healthy_pooled"
"SRS5","Mar 2022","cwd",0.39398197136928,0.219899457393604,0.580085130401372,14,"class_healthy_pooled"
"SRS6","Mar 2022","root",0.477378358360356,NA,NA,1,"site"
"SRS6","Mar 2022","soil",7.64548852849846,3.63154848799241,14.2751891068856,54,"class_healthy_pooled"
"SRS6","Mar 2022","water",0.687570396891836,0.46684046135003,0.911194728887937,18,"class_healthy_pooled"
"SRS6","Mar 2022","cwd",0.392611811154024,0.221389251957766,0.580885303974536,14,"class_healthy_pooled"
"CP40","Oct 2022","root",0.255860453001919,0.1740216566559,0.340733708101337,4,"class_ghost_campaign"
"CP40","Oct 2022","soil",62.7325424305291,30.4295301792071,102.367967945954,10,"class_ghost_pooled"
"CP40","Oct 2022","water",53.8023437936998,33.4143667329028,76.4169332671095,13,"site"
"CP40","Oct 2022","cwd",5.00413340670476,0.478288914504081,12.4965163536855,5,"site"
"FLM30","Oct 2022","root",0.255421238582638,0.1740216566559,0.340733708101337,4,"site"
"FLM30","Oct 2022","soil",62.3220775546888,29.4873267237887,102.501011820648,10,"class_ghost_pooled"
"FLM30","Oct 2022","water",19.105956109461,12.2762210281157,27.0049736067858,6,"site"
"FLM30","Oct 2022","cwd",5.08335516656189,0.478288914504081,12.4965163536855,5,"class_ghost_campaign"
"SRS5","Oct 2022","root",0.79449893848957,0.35671225710637,1.3087186016956,19,"site"
"SRS5","Oct 2022","soil",1.25130344374106,0.881074112032589,1.56055871270107,8,"site"
"SRS5","Oct 2022","water",0.43996300662305,0.108545835061707,1.08388264901789,3,"site"
"SRS5","Oct 2022","cwd",0.711292405071291,NA,NA,1,"site"
"SRS6","Oct 2022","root",17.2720002013751,0.309598764264973,50.7595253947194,9,"site"
"SRS6","Oct 2022","soil",18.0330758556803,8.64454679322723,33.1678283859596,20,"site"
"SRS6","Oct 2022","water",0.438038536346676,0.108545835061707,1.08388264901789,3,"class_healthy_campaign"
"SRS6","Oct 2022","cwd",0.730376767129155,0.272580751502032,1.16320496789042,3,"site"
"CP40","Mar 2023","root",0.255702483050393,0.1740216566559,0.340733708101337,4,"class_ghost_pooled"
"CP40","Mar 2023","soil",61.8656270171145,29.4239033783236,102.718602960524,10,"class_ghost_pooled"
"CP40","Mar 2023","water",14.3694948336109,4.15246424684221,32.6317483546674,13,"site"
"CP40","Mar 2023","cwd",0.186840758151568,0.0715534621893296,0.320697275428179,5,"site"
"FLM30","Mar 2023","root",0.256620283961426,0.1740216566559,0.340733708101337,4,"class_ghost_pooled"
"FLM30","Mar 2023","soil",61.9965815035083,29.1232237499376,101.76797398482,10,"class_ghost_pooled"
"FLM30","Mar 2023","water",5.49602311103438,4.37536689425943,6.74889886052768,28,"site"
"FLM30","Mar 2023","cwd",0.187659528240968,0.0715534621893296,0.32073108033481,5,"class_ghost_campaign"
"SRS5","Mar 2023","root",1.21965501811485,0.379713673926292,2.7388215882026,15,"site"
"SRS5","Mar 2023","soil",0.329223602976518,0.10869564016514,0.598348930698131,16,"site"
"SRS5","Mar 2023","water",0.466577632374906,0.260289536344744,0.712980346480842,9,"site"
"SRS5","Mar 2023","cwd",0.22489901861695,0.109407085621661,0.338420450379949,5,"site"
"SRS6","Mar 2023","root",0.710337304648394,0.0914756641812197,1.63119593305793,6,"site"
"SRS6","Mar 2023","soil",3.57736825623878,2.23435590124167,5.34629383885352,10,"site"
"SRS6","Mar 2023","water",1.1630887515613,0.868541323413549,1.40753921562044,6,"site"
"SRS6","Mar 2023","cwd",0.291922904744219,0.0378170330819012,0.61523608242451,5,"site"
