"site","campaign","tide_state","component","mc_mean","mc_se","mc_ci_lo","mc_ci_hi","disturbance_level"
"CP40","Oct 2022","fixed","soil",0,0,0,0,"ghost"
"CP40","Oct 2022","fixed","water",74.3692279696441,15.1695312762468,45.4612711223177,103.592540766324,"ghost"
"CP40","Oct 2022","fixed","root",0.010787597375215,0.0028404383437477,0.00610473604272215,0.0170905271241249,"ghost"
"CP40","Oct 2022","fixed","cwd",0.0371461032391428,0.0477972168636506,-0.0051426434914077,0.162839516602652,"ghost"
"CP40","Oct 2022","fixed","stem_measured",0.270323198389054,0.0812224295235243,0.146394081930054,0.458258905089941,"ghost"
"CP40","Oct 2022","fixed","stem_extrapolated",0.000332534618932263,0.000311825895206447,5.18464322126925e-05,0.00119639157966251,"ghost"
"CP40","Oct 2022","fixed","total",74.6878174032664,15.1674413052519,45.8441834918704,103.935780951577,"ghost"
"FLM30","Oct 2022","fixed","soil",0,0,0,0,"ghost"
"FLM30","Oct 2022","fixed","water",26.4737497755865,5.27817323618857,16.3346354423609,37.0034441965283,"ghost"
"FLM30","Oct 2022","fixed","root",0.00818730312813466,0.00217713482982646,0.00464103379752357,0.0129947591930616,"ghost"
"FLM30","Oct 2022","fixed","cwd",0,0,0,0,"ghost"
"FLM30","Oct 2022","fixed","stem_measured",0.112825636499629,0.0396117119397388,0.0548277492140545,0.205929583090977,"ghost"
"FLM30","Oct 2022","fixed","stem_extrapolated",0.00040511652905996,0.00108395276643945,1.70866607408602e-05,0.00209457001695681,"ghost"
"FLM30","Oct 2022","fixed","total",26.5951678317433,5.27897430835887,16.4538402469806,37.1038395690312,"ghost"
"SRS5","Oct 2022","high_tide","soil",0,0,0,0,"healthy"
"SRS5","Oct 2022","high_tide","water",0.613256449312305,0.349790184481614,-0.0579255674027364,1.30326257840176,"healthy"
"SRS5","Oct 2022","high_tide","root",0.262378512767577,0.0948422823762511,0.0981058218427905,0.46428498561198,"healthy"
