"site","campaign","component","surface_area_m2","sa_source","flux_nmol_m2_s","total_flux_nmol_s","ci_lo_total","ci_hi_total","n_obs"
"FLM30","Mar 2022","soil",2100.55705721716,"ground_area × frac_soil=1",62.5486490672572,131387.006217627,62326.6761721246,213965.896244472,10
"SRS6","Mar 2022","root",412.742261602,"TLS root SA",0.477378358360356,197.034223269503,NA,NA,1
"CP40","Oct 2022","water",1900.58572244351,"ground_area × frac_water=1",53.8023437936998,102255.966448303,63506.8683370464,145236.932320387,13
"CP40","Oct 2022","cwd",NA,"NOT SCALED — no TLS CWD SA available",5.00413340670476,NA,NA,NA,5
"FLM30","Oct 2022","root",48.621929165,"TLS root SA",0.255421238582638,12.4190733696016,8.46126866309912,16.567130219431,4
"FLM30","Oct 2022","water",2100.55705721716,"ground_area × frac_water=1",19.105956109461,40133.1509406096,25786.9027165661,56725.4878896971,6
"SRS5","Oct 2022","root",418.979726275,"TLS root SA",0.79449893848957,332.878947774138,149.455203841364,548.326561509423,19
"SRS5","Oct 2022","soil",0,"ground_area × frac_soil=0",1.25130344374106,0,0,0,8
"SRS5","Oct 2022","water",1762.98059719463,"ground_area × frac_water=1",0.43996300662305,775.646244159848,191.364201120078,1910.86407985446,3
"SRS5","Oct 2022","cwd",NA,"NOT SCALED — no TLS CWD SA available",0.711292405071291,NA,NA,NA,1
"SRS6","Oct 2022","root",412.742261602,"TLS root SA",17.2720002013751,7128.88442550574,127.78449415191,20950.6013092606,9
"SRS6","Oct 2022","soil",0,"ground_area × frac_soil=0",18.0330758556803,0,0,0,20
"SRS6","Oct 2022","cwd",NA,"NOT SCALED — no TLS CWD SA available",0.730376767129155,NA,NA,NA,3
"CP40","Mar 2023","water",1900.58572244351,"ground_area × frac_water=1",14.3694948336109,27310.4567194867,7892.11426050545,62019.4350212504,13
"CP40","Mar 2023","cwd",NA,"NOT SCALED — no TLS CWD SA available",0.186840758151568,NA,NA,NA,5
"FLM30","Mar 2023","water",2100.55705721716,"ground_area × frac_water=1",5.49602311103438,11544.7101325119,9190.70780765096,14176.4471299263,28
"SRS5","Mar 2023","root",418.979726275,"TLS root SA",1.21965501811485,511.010725639691,159.092331164512,1147.51071934119,15
"SRS5","Mar 2023","soil",0,"ground_area × frac_soil=0",0.329223602976518,0,0,0,16
"SRS5","Mar 2023","water",1762.98059719463,"ground_area × frac_water=1",0.466577632374906,822.567312961967,458.88540222857,1256.97051702683,9
"SRS5","Mar 2023","cwd",NA,"NOT SCALED — no TLS CWD SA available",0.22489901861695,NA,NA,NA,5
"SRS6","Mar 2023","root",412.742261602,"TLS root SA",0.710337304648394,293.186225620847,37.7558725157017,673.263498526314,6
"SRS6","Mar 2023","soil",0,"ground_area × frac_soil=0",3.57736825623878,0,0,0,10
"SRS6","Mar 2023","water",2186.44299546665,"ground_area × frac_water=1",1.1630887515613,2543.02725395724,1899.01609285089,3077.50425883792,6
"SRS6","Mar 2023","cwd",NA,"NOT SCALED — no TLS CWD SA available",0.291922904744219,NA,NA,NA,5
