"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"CP40","Mar 2022",0,0.25,46.74574591,NA,NA,"exponential"
"CP40","Mar 2022",0.5,0.75,28.95552353,NA,NA,"exponential"
"CP40","Mar 2022",1,1.25,23.20125921,NA,NA,"exponential"
"CP40","Mar 2022",1.5,1.75,29.328222484,NA,NA,"exponential"
"CP40","Mar 2022",2,2.25,26.96826386,NA,NA,"exponential"
"CP40","Mar 2022",2.5,2.75,28.32326539,NA,NA,"exponential"
"CP40","Mar 2022",3,3.25,22.64762369,NA,NA,"exponential"
"CP40","Mar 2022",3.5,3.75,22.323977948,NA,NA,"exponential"
"CP40","Mar 2022",4,4.25,21.659234474,NA,NA,"exponential"
"CP40","Mar 2022",4.5,4.75,21.398478075,NA,NA,"exponential"
"CP40","Mar 2022",5,5.25,19.995737916,NA,NA,"exponential"
"CP40","Mar 2022",5.5,5.75,19.732948216,NA,NA,"exponential"
"CP40","Mar 2022",6,6.25,19.194600626,NA,NA,"exponential"
"CP40","Mar 2022",6.5,6.75,17.010922738,NA,NA,"exponential"
"CP40","Mar 2022",7,7.25,14.48891203,NA,NA,"exponential"
"CP40","Mar 2022",7.5,7.75,12.644456098,NA,NA,"exponential"
"CP40","Mar 2022",8,8.25,15.232143672,NA,NA,"exponential"
"CP40","Mar 2022",8.5,8.75,9.721603803,NA,NA,"exponential"
"CP40","Mar 2022",9,9.25,7.785579611,NA,NA,"exponential"
"CP40","Mar 2022",9.5,9.75,5.162688347,NA,NA,"exponential"
"CP40","Mar 2022",10,10.25,4.19555219,NA,NA,"exponential"
"CP40","Mar 2022",10.5,10.75,1.770607714,NA,NA,"exponential"
"CP40","Mar 2022",11,11.25,0.582547913,NA,NA,"exponential"
"CP40","Mar 2022",11.5,11.75,0.036946261,NA,NA,"exponential"
"FLM30","Mar 2022",0,0.25,59.12687936,2.96444812906355,175.278566896118,"exponential"
"FLM30","Mar 2022",0.5,0.75,36.279548959,0.796275690068243,28.8885228826923,"exponential"
"FLM30","Mar 2022",1,1.25,33.185797234,0.213886344772695,7.09798886874807,"exponential"
