"site","campaign","disturbance_level","scenario","stem","soil","root","water","total"
"CP40","Mar 2022","ghost","exponential",0,0,0,0,0
"CP40","Mar 2023","ghost","exponential",0.117462716844892,0,0,19.9010873149795,20.0185500318244
"CP40","Oct 2022","ghost","exponential",0.260486322434169,0,0,74.5137636352039,74.7742499576381
"FLM30","Mar 2022","ghost","exponential",0.140774533115852,86.6348967765382,0,0,86.7756713096541
"FLM30","Mar 2023","ghost","exponential",0.117159926194791,0,0,7.61243291432147,7.72959284051626
"FLM30","Oct 2022","ghost","exponential",0.105912758623199,0,0.00818897675203549,26.4632819420349,26.5773836774101
"SRS5","Mar 2022","healthy","exponential",0,0,0,0,0
"SRS5","Mar 2023","healthy","exponential",0.037141287078102,0,0.400715955791103,0.645027257702774,1.08288450057198
"SRS5","Oct 2022","healthy","exponential",0.0309864824079102,0,0.261031518571496,0.608233468476052,0.900251469455458
"SRS6","Mar 2022","healthy","exponential",0.0396637607617036,0,0.124649376157485,0,0.164313136919188
"SRS6","Mar 2023","healthy","exponential",0.051899351323405,0,0.185477829765742,1.60879036898924,1.84616755007838
"SRS6","Oct 2022","healthy","exponential",0.0202987097986239,0,4.50993224219053,0,4.53023095198915
"CP40","Mar 2022","ghost","zero_above_max",0,0,0,0,0
"CP40","Mar 2023","ghost","zero_above_max",0.52644149531849,0,0,19.9010873149795,20.427528810298
"CP40","Oct 2022","ghost","zero_above_max",1.74589274256198,0,0,74.5137636352039,76.2596563777659
"FLM30","Mar 2022","ghost","zero_above_max",0.67513145192343,86.6348967765382,0,0,87.3100282284617
"FLM30","Mar 2023","ghost","zero_above_max",0.852813607056192,0,0,7.61243291432147,8.46524652137767
"FLM30","Oct 2022","ghost","zero_above_max",1.76192272427841,0,0.00818897675203549,26.4632819420349,28.2333936430653
"SRS5","Mar 2022","healthy","zero_above_max",0,0,0,0,0
"SRS5","Mar 2023","healthy","zero_above_max",0.0259213234279044,0,0.400715955791103,0.645027257702774,1.07166453692178
"SRS5","Oct 2022","healthy","zero_above_max",0.020252885229785,0,0.261031518571496,0.608233468476052,0.889517872277333
"SRS6","Mar 2022","healthy","zero_above_max",0.0597571924209219,0,0.124649376157485,0,0.184406568578407
"SRS6","Mar 2023","healthy","zero_above_max",0.034956717849159,0,0.185477829765742,1.60879036898924,1.82922491660414
"SRS6","Oct 2022","healthy","zero_above_max",0.230058895546953,0,4.50993224219053,0,4.73999113773748
