"plot","class","campaign","position","location","water_depth_cm","CH4"
"BL60","regen","Oct 2022","unlabeled","",14,67.24
"BL60","regen","Oct 2022","unlabeled","",15,60.6
"BL60","regen","Oct 2022","unlabeled","",14,38.13
"BL60","regen","Oct 2022","unlabeled","",14,23.03
"BL60","regen","Oct 2022","unlabeled","",NA,94.11
"CP40","ghost","Oct 2022","in-plot","near tree 808",23,28.72
"CP40","ghost","Oct 2022","in-plot","near tree 801",23,18.18
"CP40","ghost","Oct 2022","in-plot","near tree 801",23,38.89
"CP40","ghost","Oct 2022","in-plot","slightly outisde plot to NE",NA,36.67
"CP40","ghost","Oct 2022","off-plot / open water","slightly outside plot to east",23,18.65
"CP40","ghost","Oct 2022","unlabeled","",NA,75.83
"CP40","ghost","Oct 2022","unlabeled","",NA,125.53
"CP40","ghost","Oct 2022","unlabeled","",NA,22.01
"CP40","ghost","Oct 2022","unlabeled","",NA,130.03
"CP40","ghost","Oct 2022","unlabeled","",NA,115.57
"CP40","ghost","Oct 2022","unlabeled","",NA,31.83
"CP40","ghost","Oct 2022","unlabeled","",NA,24.39
"CP40","ghost","Oct 2022","unlabeled","",NA,35.22
"FLM30","ghost","Oct 2022","unlabeled","",10,12.79
"FLM30","ghost","Oct 2022","unlabeled","",10,13.1
"FLM30","ghost","Oct 2022","unlabeled","",10,15.5
"FLM30","ghost","Oct 2022","unlabeled","",NA,35.22
"FLM30","ghost","Oct 2022","unlabeled","",NA,9.74
"FLM30","ghost","Oct 2022","unlabeled","",NA,28.43
"SRS5","healthy","Oct 2022","in-plot","plot center",6,0.13
"SRS5","healthy","Oct 2022","off-plot / open water","plot edge (river)",9,1.08
"SRS5","healthy","Oct 2022","off-plot / open water","plot river interface",12,0.11
"BL60","regen","Mar 2023","unlabeled","",NA,0.82
"BL60","regen","Mar 2023","unlabeled","",NA,17.84
"BL60","regen","Mar 2023","unlabeled","",NA,4.68
"BL60","regen","Mar 2023","unlabeled","",NA,3.94
"CP40","ghost","Mar 2023","unlabeled","",NA,2.65
"CP40","ghost","Mar 2023","unlabeled","",NA,3.59
"CP40","ghost","Mar 2023","unlabeled","",NA,121.79
"CP40","ghost","Mar 2023","unlabeled","",NA,12.56
"CP40","ghost","Mar 2023","unlabeled","",NA,4.22
"CP40","ghost","Mar 2023","unlabeled","",NA,2.94
"CP40","ghost","Mar 2023","unlabeled","",NA,3.72
"CP40","ghost","Mar 2023","unlabeled","",NA,4.99
"CP40","ghost","Mar 2023","unlabeled","",NA,2.26
"CP40","ghost","Mar 2023","unlabeled","",NA,6.8
"CP40","ghost","Mar 2023","unlabeled","",NA,6.36
"CP40","ghost","Mar 2023","unlabeled","",NA,4.86
"CP40","ghost","Mar 2023","unlabeled","",NA,7.81
"FLM30","ghost","Mar 2023","unlabeled","",20,3.81
